"year","season_id","team_id","date","home_team","home_team_id","home_team_score","home_team_conference","home_team_conference_id","home_team_division","away_team","away_team_id","away_team_score","away_team_conference","away_team_conference_id","away_team_division","neutral_site","game_result","innings","slug","game_info_url","contest_id","division"
2025,16779,596471,"02/14/2025","A&M-Corpus Christi",596471,5,"Southland",914,1,"Kansas",596575,8,"Big 12",25354,1,NA,"L","10","/contests/6357953/box_score","https://stats.ncaa.org/contests/6357953/box_score",6357953,1
2025,16779,596471,"02/15/2025","A&M-Corpus Christi",596471,1,"Southland",914,1,"Kansas",596575,12,"Big 12",25354,1,NA,"L",NA,"/contests/6356679/box_score","https://stats.ncaa.org/contests/6356679/box_score",6356679,1
2025,16779,596471,"02/16/2025","A&M-Corpus Christi",596471,0,"Southland",914,1,"Kansas",596575,8,"Big 12",25354,1,NA,"L",NA,"/contests/6356680/box_score","https://stats.ncaa.org/contests/6356680/box_score",6356680,1
2025,16779,596471,"02/17/2025","A&M-Corpus Christi",596471,0,"Southland",914,1,"Kansas",596575,16,"Big 12",25354,1,NA,"L",NA,"/contests/6356681/box_score","https://stats.ncaa.org/contests/6356681/box_score",6356681,1
2025,16779,596471,"02/21/2025","A&M-Corpus Christi",596471,4,"Southland",914,1,"UCLA",596514,3,"Big Ten",827,1,NA,"W",NA,"/contests/6300917/box_score","https://stats.ncaa.org/contests/6300917/box_score",6300917,1
2025,16779,596471,"02/22/2025","A&M-Corpus Christi",596471,3,"Southland",914,1,"Michigan St.",596601,8,"Big Ten",827,1,NA,"L",NA,"/contests/6311210/box_score","https://stats.ncaa.org/contests/6311210/box_score",6311210,1
2025,16779,596471,"02/23/2025","A&M-Corpus Christi",596471,8,"Southland",914,1,"Washington St.",596442,6,"Mountain West",5486,1,NA,"W",NA,"/contests/6313040/box_score","https://stats.ncaa.org/contests/6313040/box_score",6313040,1
2025,16779,596471,"02/24/2025","A&M-Corpus Christi",596471,8,"Southland",914,1,"Washington St.",596442,2,"Mountain West",5486,1,NA,"W",NA,"/contests/6313044/box_score","https://stats.ncaa.org/contests/6313044/box_score",6313044,1
2025,16779,596471,"02/26/2025","Houston-Victoria",NA,6,NA,NA,NA,"A&M-Corpus Christi",596471,4,"Southland",914,1,NA,"L",NA,"/contests/6357954/box_score","https://stats.ncaa.org/contests/6357954/box_score",6357954,1
2025,16779,596471,"02/28/2025","A&M-Corpus Christi",596471,14,"Southland",914,1,"Prairie View",596651,4,"SWAC",916,1,NA,"W",NA,"/contests/6312923/box_score","https://stats.ncaa.org/contests/6312923/box_score",6312923,1
