"year","season_id","team_id","date","home_team","home_team_id","home_team_score","home_team_conference","home_team_conference_id","home_team_division","away_team","away_team_id","away_team_score","away_team_conference","away_team_conference_id","away_team_division","neutral_site","game_result","innings","slug","game_info_url","contest_id","division"
2025,16779,597099,"02/14/2025","Kean",597310,4,"NJAC",891,3,"Arcadia",597099,3,"MAC Freedom",28745,3,NA,"L",NA,"/contests/6339799/box_score","https://stats.ncaa.org/contests/6339799/box_score",6339799,3
2025,16779,597267,"02/15/2025","Kean",597310,7,"NJAC",891,3,"Drew",597267,5,"Landmark",30101,3,NA,"L",NA,"/contests/6339893/box_score","https://stats.ncaa.org/contests/6339893/box_score",6339893,3
2025,16779,597271,"02/10/2025","Mary Washington",597325,10,"C2C",15810,3,"East. Mennonite",597271,0,"ODAC",903,3,NA,"L",NA,"/contests/6358247/box_score","https://stats.ncaa.org/contests/6358247/box_score",6358247,3
2025,16779,597062,"02/15/2025","Marymount (VA)",597326,15,"Atlantic East",30233,3,"Washington Col.",597062,6,"Centennial",9683,3,NA,"L",NA,"/contests/6358887/box_score","https://stats.ncaa.org/contests/6358887/box_score",6358887,3
2025,16779,597064,"02/14/2025","Rhodes",597011,5,"SAA",30169,3,"Webster",597064,4,"SLIAC",12974,3,NA,"L",NA,"/contests/6340118/box_score","https://stats.ncaa.org/contests/6340118/box_score",6340118,3
