player_name,class,position,games_played,games_started,number,height,bats,throws,hometown,high_school,player_url,team_id,year,team_name,conference_id,conference,division,season_id,prev_team_id,player_id
A 7Goedhard,---,ph,1.0,0.0,0.0,-,,,,,https://stats.ncaa.org/players/8686924,574634.0,2024,Minn.-Morris,30115.0,UMAC,3.0,16580.0,1226.0,8686924
A. Boyle,---,p,4.0,0.0,9.0,-,,,,,https://stats.ncaa.org/players/8681295,574755.0,2024,Carthage,836.0,CCIW,3.0,16580.0,121.0,8681295
A. Enjem,Fr.,2b,2.0,0.0,59.0,-,,,,,https://stats.ncaa.org/players/8686421,574837.0,2024,Manhattanville,13054.0,Skyline,3.0,16580.0,382.0,8686421
A. Fischer,Fr.,p,6.0,4.0,26.0,-,,,,,https://stats.ncaa.org/players/8588048,574670.0,2024,Fontbonne,12974.0,SLIAC,3.0,16580.0,11538.0,8588048
A. Flores,---,c,5.0,2.0,39.0,-,,,,,https://stats.ncaa.org/players/8683192,574708.0,2024,Penn St. Harrisburg,30071.0,United East,3.0,16580.0,30081.0,8683192
A. Gomez,Fr.,dh,38.0,27.0,6.0,-,,,,,https://stats.ncaa.org/players/8596684,574768.0,2024,Coe,864.0,American Rivers,3.0,16580.0,150.0,d3d-8596684
A. Horwath,---,p,11.0,0.0,34.0,-,,,,,https://stats.ncaa.org/players/8595836,574722.0,2024,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16580.0,4.0,8595836
A. Jackson,---,p,3.0,1.0,17.0,-,,,,,https://stats.ncaa.org/players/8678810,574566.0,2024,Va. Wesleyan,903.0,ODAC,3.0,16580.0,745.0,8678810
A. Kerr,---,p,8.0,0.0,17.0,-,,,,,https://stats.ncaa.org/players/8679845,574506.0,2024,Oswego St.,917.0,SUNYAC,3.0,16580.0,530.0,8679845
A. Marsden,---,c,19.0,15.0,24.0,-,,,,,https://stats.ncaa.org/players/8681995,574844.0,2024,Mass. Maritime,870.0,MASCAC,3.0,16580.0,399.0,8681995
A. Merrifiel,---,ph,3.0,0.0,4.0,-,,,,,https://stats.ncaa.org/players/8682021,574532.0,2024,St. Joseph's (ME),23257.0,Great Northeast,3.0,16580.0,605.0,8682021
