player_name,class,position,games_played,games_started,number,height,bats,throws,hometown,high_school,player_url,team_id,year,team_name,conference_id,conference,division,season_id,prev_team_id,player_id
Griffin Murphy,So.,C,40.0,24.0,21.0,-,,,,,https://stats.ncaa.org/players/7814529,548693.0,2023,Arcadia,28745.0,MAC Freedom,3.0,16340.0,966.0,d3-playerid-12752
Griffin Pontbriant,So.,P,0.0,0.0,14.0,6-4,RIGHT,RIGHT,"Bozrah, CT",Norwich Free Academy,https://stats.ncaa.org/players/7819939,548868.0,2023,Eastern Conn. St.,867.0,Little East,3.0,16340.0,200.0,d3-playerid-12755
Griffin Robinson,So.,INF,28.0,20.0,3.0,5-10,RIGHT,RIGHT,"Montgomery, AL",Pike Road,https://stats.ncaa.org/players/8017331,548713.0,2023,Lakeland,30097.0,NACC,3.0,16340.0,1164.0,d3-playerid-12758
Griffin Ruffner,So.,ph,0.0,0.0,28.0,-,,,,,https://stats.ncaa.org/players/7820985,548902.0,2023,Ithaca,24197.0,Liberty League,3.0,16340.0,313.0,d3-playerid-12760
Griffin Sandstrum,So.,OF,12.0,3.0,34.0,6-2,,,"Wilmington, NC",,https://stats.ncaa.org/players/7816689,548760.0,2023,William Peace,842.0,USA South,3.0,16340.0,17094.0,d3-playerid-12761
Griffin Self,So.,C,10.0,2.0,5.0,-,,,,,https://stats.ncaa.org/players/7811183,548582.0,2023,North Park,836.0,CCIW,3.0,16340.0,496.0,d3-playerid-12762
Griffin Snyder,Sr.,OF,23.0,15.0,25.0,6-3,,,,,https://stats.ncaa.org/players/7816856,548766.0,2023,JWU (Providence),23257.0,Great Northeast,3.0,16340.0,22626.0,d3-playerid-12765
Griffin Spranger,Fr.,P,0.0,0.0,17.0,6-0,LEFT,LEFT,"Gurnee, IL",Warren Township,https://stats.ncaa.org/players/7998730,548914.0,2023,La Verne,910.0,SCIAC,3.0,16340.0,341.0,d3-playerid-12767
Griffin Tunison,So.,INF,3.0,1.0,12.0,-,RIGHT,RIGHT,"Luthvle Timon, MD",Dulaney,https://stats.ncaa.org/players/7817361,548782.0,2023,Mount Aloysius,30022.0,AMCC,3.0,16340.0,30036.0,d3-playerid-12770
Griffin Wheeler,So.,INF,15.0,7.0,2.0,-,,,,,https://stats.ncaa.org/players/7819525,548855.0,2023,Colby-Sawyer,23257.0,Great Northeast,3.0,16340.0,152.0,d3-playerid-12772
Griffin Wolf,Fr.,1B,46.0,45.0,7.0,-,LEFT,LEFT,"Carmel, IN",Carmel,https://stats.ncaa.org/players/7998995,548689.0,2023,Anderson (IN),9174.0,HCAC,3.0,16340.0,939.0,d3-playerid-12773
Griffin Yastremski,So.,OF,39.0,34.0,27.0,6-4,LEFT,RIGHT,"Bath, NY",Haverling,https://stats.ncaa.org/players/8003645,548789.0,2023,Keystone,21062.0,CSAC,3.0,16340.0,30047.0,d3-playerid-12774
Griffin Zitko,Fr.,C,10.0,6.0,21.0,5-11,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7979384,548835.0,2023,Cal Lutheran,910.0,SCIAC,3.0,16340.0,105.0,d3-playerid-12776
Gunnar Kuehl,Sr.,P,0.0,0.0,2.0,6-2,LEFT,LEFT,"Colbert, WA",Northwest Christian,https://stats.ncaa.org/players/7815791,548733.0,2023,Whitworth,25300.0,NWC,3.0,16340.0,1454.0,d3-playerid-12781
Gunnar Sebright,Jr.,C,5.0,0.0,35.0,6-0,RIGHT,RIGHT,"Spokane, WA",North Central,https://stats.ncaa.org/players/7815429,548722.0,2023,Pacific Lutheran,25300.0,NWC,3.0,16340.0,1297.0,d3-playerid-12782
Gunnar Vachris,Sr.,INF,39.0,35.0,2.0,-,,,,,https://stats.ncaa.org/players/7811840,548605.0,2023,Rhodes,30169.0,SAA,3.0,16340.0,573.0,d3-playerid-12784
Gunner Gregg,So.,INF,38.0,38.0,17.0,5-10,RIGHT,RIGHT,"Graytown, OH",Oak Harbor,https://stats.ncaa.org/players/7814684,548698.0,2023,Defiance,9174.0,HCAC,3.0,16340.0,1050.0,d3-playerid-12786
Gunner Hopkins,Sr.,OF,6.0,0.0,7.0,-,LEFT,LEFT,"Dyersburg, TN",Dyersburg,https://stats.ncaa.org/players/7814971,548707.0,2023,Hendrix,30169.0,SAA,3.0,16340.0,1124.0,d3-playerid-12787
Gus Lappin,Jr.,INF,8.0,3.0,11.0,5-10,,,,,https://stats.ncaa.org/players/7816865,548766.0,2023,JWU (Providence),23257.0,Great Northeast,3.0,16340.0,22626.0,d3-playerid-12795
Gus Walker,So.,OF,39.0,38.0,15.0,6-1,LEFT,LEFT,"Albuquerque, NM",Sandia Prep,https://stats.ncaa.org/players/7815295,548717.0,2023,Marian (WI),30097.0,NACC,3.0,16340.0,1196.0,d3-playerid-12799
Haden Blanks,Fr.,P,0.0,0.0,17.0,-,,,,,https://stats.ncaa.org/players/7988790,548580.0,2023,N.C. Wesleyan,842.0,USA South,3.0,16340.0,491.0,d3-playerid-12811
Haden Hoff,Jr.,pr,8.0,7.0,12.0,5-11,RIGHT,RIGHT,"Westminster, MD",Westminster,https://stats.ncaa.org/players/7822095,548940.0,2023,Wilson,21062.0,CSAC,3.0,16340.0,12973.0,d3-playerid-12812
Haden Madagan,Sr.,OF,52.0,51.0,24.0,-,,,,,https://stats.ncaa.org/players/7812611,548628.0,2023,Shenandoah,903.0,ODAC,3.0,16340.0,637.0,d3-playerid-12814
Hady Bruno,Fr.,,7.0,0.0,40.0,5-9,LEFT,RIGHT,,,https://stats.ncaa.org/players/8012244,548869.0,2023,East. Mennonite,903.0,ODAC,3.0,16340.0,203.0,d3-playerid-12815
Haiden Graham,Fr.,UT,0.0,0.0,42.0,5-11,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7999761,548704.0,2023,Greenville,12974.0,SLIAC,3.0,16340.0,1111.0,d3-playerid-12817
Hal Walker Jr.,So.,1B,34.0,34.0,50.0,6-0,RIGHT,RIGHT,"Mentor, OH",Mentor,https://stats.ncaa.org/players/7820779,548896.0,2023,Hiram,897.0,NCAC,3.0,16340.0,281.0,d3-playerid-12819
Halen Otte,Fr.,,16.0,14.0,40.0,-,,,,,https://stats.ncaa.org/players/7990755,548668.0,2023,Whitman,25300.0,NWC,3.0,16340.0,780.0,d3-playerid-12821
Hall Billings,Sr.,INF,31.0,28.0,7.0,-,,,,,https://stats.ncaa.org/players/7815003,548708.0,2023,Huntingdon,30251.0,CCS,3.0,16340.0,1130.0,d3-playerid-12822
Hamilton Barnes,Fr.,INF,34.0,33.0,1.0,5-10,RIGHT,RIGHT,"Woodstock, CT",Woodstock Acad.,https://stats.ncaa.org/players/7980336,548910.0,2023,Keene St.,867.0,Little East,3.0,16340.0,330.0,d3-playerid-12824
Hamilton Finefrock,So.,P,25.0,0.0,8.0,6-0,RIGHT,RIGHT,"Santa Barbara, CA",Bishop Diego,https://stats.ncaa.org/players/7819362,548850.0,2023,Claremont-M-S,910.0,SCIAC,3.0,16340.0,142.0,d3-playerid-12825
Hampton Long,Sr.,P,1.0,0.0,32.0,6-0,LEFT,LEFT,,,https://stats.ncaa.org/players/7812707,548631.0,2023,Sewanee,30169.0,SAA,3.0,16340.0,652.0,d3-playerid-12827
