player_name,class,position,games_played,games_started,number,height,bats,throws,hometown,high_school,player_id,player_url,team_id,year,team_name,conference_id,conference,division,season_id,prev_team_id
Mario Galloway,Jr.,OF,16,2,12,5-10,RIGHT,RIGHT,,,7356934,https://stats.ncaa.org/players/7356934,526763,2022,AUM,858,Gulf South,2,15860,30093
Shelton Clevenger,Jr.,P,1,0,17,-,,,,,7354833,https://stats.ncaa.org/players/7354833,526763,2022,AUM,858,Gulf South,2,15860,30093
Tommy Vickers,So.,P,6,1,26,5-11,LEFT,LEFT,,,7352411,https://stats.ncaa.org/players/7352411,526763,2022,AUM,858,Gulf South,2,15860,30093
Corey Armstrong,Sr.,INF,11,3,30,-,,,,,7331312,https://stats.ncaa.org/players/7331312,526763,2022,AUM,858,Gulf South,2,15860,30093
Blake Sheffer,So.,P,3,0,36,-,,,,,7347783,https://stats.ncaa.org/players/7347783,526763,2022,AUM,858,Gulf South,2,15860,30093
Zach Feaster,Jr.,UT,44,41,22,-,,,,,7341544,https://stats.ncaa.org/players/7341544,526763,2022,AUM,858,Gulf South,2,15860,30093
Ethan Wells,Jr.,OF,6,3,5,-,,,,,7342974,https://stats.ncaa.org/players/7342974,526763,2022,AUM,858,Gulf South,2,15860,30093
Joseph Hartsfield,Sr.,INF,49,48,2,-,,,,,7332930,https://stats.ncaa.org/players/7332930,526763,2022,AUM,858,Gulf South,2,15860,30093
Matthew Marfice,Sr.,INF,21,16,20,-,,,,,7346673,https://stats.ncaa.org/players/7346673,526763,2022,AUM,858,Gulf South,2,15860,30093
Will Collins,Jr.,P,16,6,10,5-10,LEFT,LEFT,,,7330748,https://stats.ncaa.org/players/7330748,526763,2022,AUM,858,Gulf South,2,15860,30093
Sam Steigert,Sr.,P,17,0,3,-,,,,,7348564,https://stats.ncaa.org/players/7348564,526763,2022,AUM,858,Gulf South,2,15860,30093
Jax Morris,Jr.,P,19,3,37,-,,,,,7345962,https://stats.ncaa.org/players/7345962,526763,2022,AUM,858,Gulf South,2,15860,30093
Jackson Ceman,So.,P,43,39,1,5-10,RIGHT,RIGHT,"Montgomery, AL",,7345005,https://stats.ncaa.org/players/7345005,526763,2022,AUM,858,Gulf South,2,15860,30093
