player_name,class,position,games_played,games_started,number,height,bats,throws,hometown,high_school,player_url,team_id,year,team_name,conference_id,conference,division,season_id,prev_team_id,player_id
A. Angerstei,---,ss,8.0,2.0,17.0,-,,,,,https://stats.ncaa.org/players/7592307,526963.0,2022,Austin,835.0,SCAC,3.0,15860.0,953.0,7592307
A. Barbarino,So.,lf,0.0,0.0,36.0,-,,,,,https://stats.ncaa.org/players/7337139,526854.0,2022,Norwich,23257.0,Great Northeast,3.0,15860.0,511.0,7337139
A. Blevins,---,p,12.0,3.0,38.0,-,,,,,https://stats.ncaa.org/players/7588630,527162.0,2022,Greensboro,842.0,USA South,3.0,15860.0,263.0,7588630
A. Braughton,---,c,1.0,0.0,4.0,-,,,,,https://stats.ncaa.org/players/7598601,535212.0,2022,Asbury,99020.0,DIII Independent,3.0,15860.0,30243.0,7598601
A. Castellan,So.,C,0.0,0.0,15.0,-,,,,,https://stats.ncaa.org/players/7341241,526854.0,2022,Norwich,23257.0,Great Northeast,3.0,15860.0,511.0,7341241
A. Catterall,---,2b,5.0,0.0,13.0,-,,,,,https://stats.ncaa.org/players/7591401,526855.0,2022,Oberlin,897.0,NCAC,3.0,15860.0,515.0,7591401
A. Cook,---,p,5.0,1.0,30.0,-,,,,,https://stats.ncaa.org/players/7586191,527077.0,2022,Valley Forge,21062.0,CSAC,3.0,15860.0,30166.0,7586191
A. Donohue,---,p,7.0,3.0,7.0,-,,,,,https://stats.ncaa.org/players/7592867,527040.0,2022,JWU (Providence),23257.0,Great Northeast,3.0,15860.0,22626.0,7592867
A. Jaworski,Fr.,ss,11.0,0.0,8.0,-,,,,,https://stats.ncaa.org/players/7348986,527082.0,2022,Penn College,30071.0,United East,3.0,15860.0,30190.0,7348986
A. Lush,---,p,18.0,13.0,7.0,-,,,,,https://stats.ncaa.org/players/7583198,535212.0,2022,Asbury,99020.0,DIII Independent,3.0,15860.0,30243.0,7583198
A. Pugh,Fr.,1b,4.0,1.0,32.0,-,,,,,https://stats.ncaa.org/players/7354261,527077.0,2022,Valley Forge,21062.0,CSAC,3.0,15860.0,30166.0,d3d-7144547
A. Rivera-Si,---,c,8.0,4.0,28.0,-,,,,,https://stats.ncaa.org/players/7593860,527015.0,2022,Albertus Magnus,23257.0,Great Northeast,3.0,15860.0,2798.0,7593860
A. Spurgeon,---,p,9.0,0.0,15.0,-,,,,,https://stats.ncaa.org/players/7591397,526863.0,2022,Otterbein,901.0,OAC,3.0,15860.0,531.0,7591397
A. Varona,Fr.,p,4.0,0.0,0.0,-,,,,,https://stats.ncaa.org/players/7341585,527119.0,2022,Catholic,30101.0,Landmark,3.0,15860.0,124.0,d3d-7154281
A. Vazquez,---,p,1.0,1.0,20.0,-,,,,,https://stats.ncaa.org/players/7594268,527015.0,2022,Albertus Magnus,23257.0,Great Northeast,3.0,15860.0,2798.0,7594268
A.J. Bunnell,So.,P,3.0,0.0,30.0,-,LEFT,LEFT,"Westfield, IN",Westfield,https://stats.ncaa.org/players/7341985,526962.0,2022,Anderson (IN),9174.0,HCAC,3.0,15860.0,939.0,7341985
A.J. Cook,So.,INF,35.0,35.0,11.0,-,,,,,https://stats.ncaa.org/players/7356994,526864.0,2022,Elms,23257.0,Great Northeast,3.0,15860.0,532.0,d3d-7154032
A.J. Haines,Fr.,INF,31.0,27.0,5.0,5-9,RIGHT,RIGHT,"Arlington, VA",Bishop O'Connell,https://stats.ncaa.org/players/7575564,527017.0,2022,Hood,28744.0,MAC Commonwealth,3.0,15860.0,8404.0,7575564
A.J. Hatlestad,Sr.,P,10.0,9.0,13.0,-,,,,,https://stats.ncaa.org/players/7333536,527213.0,2022,Monmouth (IL),23119.0,MWC,3.0,15860.0,438.0,7333536
A.J. Kinney,Sr.,P,22.0,18.0,15.0,-,,,,,https://stats.ncaa.org/players/7354838,527158.0,2022,Fredonia,917.0,SUNYAC,3.0,15860.0,242.0,7354838
A.J. Kisting,Fr.,C,2.0,0.0,23.0,-,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7585459,526892.0,2022,St. Norbert,30097.0,NACC,3.0,15860.0,614.0,7585459
A.J. Luciano,Sr.,SS,39.0,35.0,8.0,-,,,,,https://stats.ncaa.org/players/7346195,527206.0,2022,Mass. Maritime,870.0,MASCAC,3.0,15860.0,399.0,7346195
A.J. Mancini,Jr.,P,0.0,0.0,45.0,-,,,,,https://stats.ncaa.org/players/7356491,527171.0,2022,Heidelberg,901.0,OAC,3.0,15860.0,278.0,7356491
A.J. McGettigan,Fr.,1B,6.0,1.0,40.0,5-11,LEFT,RIGHT,"Pennsauken, NJ",Neumann Goretti,https://stats.ncaa.org/players/7581504,526884.0,2022,Rutgers-Camden,891.0,NJAC,3.0,15860.0,588.0,7581504
A.J. Naha,So.,C,8.0,3.0,10.0,6-2,RIGHT,RIGHT,"Denver, CO",Mullen HS,https://stats.ncaa.org/players/7564453,526856.0,2022,Occidental,910.0,SCIAC,3.0,15860.0,516.0,d3d-7564453
A.J. Pietrafesa,So.,C,40.0,36.0,17.0,5-10,,,"Harwinton, CT",Lewis S. Mills,https://stats.ncaa.org/players/7356456,527206.0,2022,Mass. Maritime,870.0,MASCAC,3.0,15860.0,399.0,d3d-7154444
A.J. Sferlazza,Fr.,OF,0.0,0.0,96.0,5-8,LEFT,LEFT,"Staten Island, NY",Monsignor Farrell,https://stats.ncaa.org/players/7573974,526910.0,2022,Susquehanna,30101.0,Landmark,3.0,15860.0,685.0,7573974
A.J. Smith,Sr.,OF,46.0,45.0,22.0,0-0,,,,,https://stats.ncaa.org/players/7550833,526930.0,2022,Webster,12974.0,SLIAC,3.0,15860.0,759.0,7550833
A.J. Wylie,Fr.,UT,31.0,28.0,21.0,5-7,,,"Kings Mountain, NC",Kings Mountain HS,https://stats.ncaa.org/players/7582576,527079.0,2022,Berea,842.0,USA South,3.0,15860.0,30171.0,7582576
A.J. Zaccareo,Fr.,INF,10.0,0.0,51.0,6-4,RIGHT,RIGHT,"Montclair, NJ",Hotchkiss School (CT),https://stats.ncaa.org/players/7584797,527089.0,2022,Amherst,12817.0,NESCAC,3.0,15860.0,24.0,7584797
A.T. DiPina,So.,C,10.0,10.0,13.0,5-7,RIGHT,RIGHT,"Pawtucket, RI",Saint Raphael Academy,https://stats.ncaa.org/players/7351042,526932.0,2022,Wentworth,839.0,CCC,3.0,15860.0,762.0,d3d-7145751
Aaron Agee,Jr.,INF,24.0,0.0,3.0,5-10,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7569868,527211.0,2022,Millikin,836.0,CCIW,3.0,15860.0,424.0,7569868
Aaron Alvarez,So.,P,10.0,9.0,1.0,-,,,,,https://stats.ncaa.org/players/7346651,526885.0,2022,Rutgers-Newark,891.0,NJAC,3.0,15860.0,589.0,d3d-7154254
Aaron Archer,Fr.,C,0.0,0.0,25.0,6-0,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7561772,526968.0,2022,Bluffton,9174.0,HCAC,3.0,15860.0,987.0,7561772
Aaron Berkowitz,Jr.,C,16.0,16.0,31.0,-,,,,,https://stats.ncaa.org/players/7336953,527114.0,2022,Carleton,882.0,MIAC,3.0,15860.0,118.0,d3d-6733989
Aaron Blake,Sr.,P,15.0,0.0,14.0,-,,,,,https://stats.ncaa.org/players/7581699,527043.0,2022,Spalding,12974.0,SLIAC,3.0,15860.0,23260.0,7581699
Aaron Bode,So.,P,5.0,0.0,13.0,-,,,,,https://stats.ncaa.org/players/7350654,527022.0,2022,Martin Luther,30115.0,UMAC,3.0,15860.0,8597.0,7350654
Aaron Bollinger,So.,INF,33.0,29.0,11.0,6-0,RIGHT,RIGHT,"Millerstown, PA",Greenwood,https://stats.ncaa.org/players/7331999,527184.0,2022,Juniata,30101.0,Landmark,3.0,15860.0,325.0,7331999
Aaron Boster,So.,P,13.0,12.0,39.0,6-3,LEFT,LEFT,"Mason, OH",Kings HS,https://stats.ncaa.org/players/7332258,527008.0,2022,Wilmington (OH),901.0,OAC,3.0,15860.0,1461.0,7332258
Aaron Brown,So.,OF,1.0,0.0,5.0,5-9,LEFT,RIGHT,"Lima, OH",Shawnee,https://stats.ncaa.org/players/7569919,526857.0,2022,Ohio Northern,901.0,OAC,3.0,15860.0,517.0,7569919
Aaron Burns,Sr.,C,38.0,38.0,25.0,-,,,,,https://stats.ncaa.org/players/7336201,527008.0,2022,Wilmington (OH),901.0,OAC,3.0,15860.0,1461.0,7336201
Aaron Castillo,Jr.,SS,21.0,14.0,39.0,-,,,,,https://stats.ncaa.org/players/7354594,526859.0,2022,Old Westbury,13054.0,Skyline,3.0,15860.0,524.0,7354594
Aaron Chazin,Fr.,OF,9.0,2.0,2.0,-,,,,,https://stats.ncaa.org/players/7555527,526843.0,2022,Neb. Wesleyan,864.0,American Rivers,3.0,15860.0,462.0,7555527
