Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
Quinterrious Arrington,7090512?year_stat_category_id=14841,0.0,AUM,Gulf South,36,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sr,0,0,,,,,2,2021
Casey Henderson,7090516?year_stat_category_id=14841,0.0,AUM,Gulf South,41,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sr,0,0,,,,,2,2021
P. Hope,7090530?year_stat_category_id=14841,0.0,AUM,Gulf South,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jr,0,0,,,,,2,2021
Ethan Wells,7090538?year_stat_category_id=14841,0.0,AUM,Gulf South,27,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,So,0,0,,,,,2,2021
Tommy Vickers,6913800?year_stat_category_id=14841,0.0,AUM,Gulf South,12,0,10.8,10.0,16,13,12,4,9,2,8,1,2,53,9,11,194,0.0,8.1,3.6,1.8,11.700000000000001,14.4,0.0,16.9811320754717,7.547169811320755,9.433962264150944,18.181818181818183,7.249911633225906,6.112655248924945,37.180231739185544,-0.08739735489533866,Fr,1,0,,,,,2,2021
Logan Coleman,6913801?year_stat_category_id=14841,0.0,AUM,Gulf South,17,0,8.82,16.1,22,17,16,9,17,2,5,2,3,85,23,8,295,0.0,9.503105590062113,5.0310559006211175,1.1180124223602483,9.503105590062113,12.298136645962732,66.66666666666666,20.0,10.588235294117647,9.411764705882353,8.0,6.389042068008515,6.838990706770568,67.03052258700156,-0.08507146379167471,Jr,12,8,,,,,2,2021
Reid Whitaker,6913802?year_stat_category_id=14841,0.0,AUM,Gulf South,12,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jr,0,0,,,,,2,2021
Matthew Marfice,6913804?year_stat_category_id=14841,0.0,AUM,Gulf South,27,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jr,0,0,,,,,2,2021
Blake Sheffer,6913806?year_stat_category_id=14841,0.0,AUM,Gulf South,3,0,5.4,3.1,3,2,2,3,4,0,0,0,1,17,4,2,66,0.0,11.612903225806452,8.709677419354838,0.0,5.806451612903226,8.709677419354838,0.0,23.52941176470588,17.647058823529413,5.8823529411764675,0.0,5.940234213871068,7.656062502081083,118.59011586959278,-0.010756769557259977,Fr,0,0,,,,,2,2021
Sam Steigert,6913807?year_stat_category_id=14841,0.0,AUM,Gulf South,22,0,3.42,23.2,27,15,9,7,14,1,9,1,1,105,18,33,260,0.0,5.431034482758621,2.7155172413793105,0.3879310344827587,5.818965517241379,10.474137931034482,25.0,13.333333333333334,6.666666666666667,6.666666666666667,5.263157894736842,5.037842667708666,5.56653109632472,148.44040671740876,0.004853540044840898,Jr,8,2,,,,,2,2021
Zach Feaster,6913813?year_stat_category_id=14841,0.0,AUM,Gulf South,38,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,So,0,0,,,,,2,2021
Corey Armstrong,6913815?year_stat_category_id=14841,0.0,AUM,Gulf South,34,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jr,0,0,,,,,2,2021
Jackson Ceman,6913816?year_stat_category_id=14841,0.0,AUM,Gulf South,34,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fr,0,0,,,,,2,2021
Joseph Hartsfield,6913817?year_stat_category_id=14841,0.0,AUM,Gulf South,41,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jr,0,0,,,,,2,2021
Mario Galloway,6913818?year_stat_category_id=14841,0.0,AUM,Gulf South,32,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,So,0,0,,,,,2,2021
Tyler Britton,6913819?year_stat_category_id=14841,0.0,AUM,Gulf South,10,0,9.82,11.0,18,14,12,7,7,3,5,0,2,61,17,8,231,0.0,5.7272727272727275,5.7272727272727275,2.454545454545454,11.454545454545455,14.727272727272728,75.0,11.475409836065573,11.475409836065573,0.0,15.0,9.377184360498635,8.249487857521837,51.95461811840762,-0.18800488738610713,Fr,4,3,,,,,2,2021
Sage Smelley,7090521?year_stat_category_id=14841,0.0,AUM,Gulf South,38,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sr,0,0,,,,,2,2021
Shelton Clevenger,7090558?year_stat_category_id=14841,0.0,AUM,Gulf South,9,0,11.12,5.2,6,9,7,7,7,0,4,0,4,33,3,6,117,0.0,12.115384615384615,12.115384615384615,0.0,15.576923076923075,10.384615384615383,0.0,21.21212121212121,21.21212121212121,0.0,0.0,8.30375778707206,9.070931012089037,32.35594230923551,-0.0673674898062219,So,0,0,,,,,2,2021
Grayson Blackwell,7090514?year_stat_category_id=14841,0.0,AUM,Gulf South,35,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sr,0,0,,,,,2,2021
Hunter Viets,7090560?year_stat_category_id=14841,0.0,AUM,Gulf South,13,13,3.35,83.1,83,44,31,28,78,6,14,0,5,362,74,81,0,0.0,8.447653429602887,3.0324909747292423,0.6498194945848376,4.765342960288809,8.989169675090253,0.0,21.54696132596685,7.734806629834254,13.812154696132598,7.5,4.902619214453344,5.2441517519866885,149.49572003021032,1.535552085897797,So,0,0,,,,,2,2021
Jax Morris,7090561?year_stat_category_id=14841,0.0,AUM,Gulf South,14,1,5.4,20.0,16,15,12,21,16,2,8,0,4,100,27,14,324,0.0,7.2,9.450000000000001,0.9,6.75,7.2,37.5,16.0,21.0,-5.0,6.896551724137931,8.099911633225908,8.72807367210191,118.59011586959278,-0.23435136147325003,So,8,3,,,,,2,2021
Brock Huner,7090540?year_stat_category_id=14841,0.0,AUM,Gulf South,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fr,0,0,,,,,2,2021
Micah Henderson,7090517?year_stat_category_id=14841,0.0,AUM,Gulf South,13,13,4.12,78.2,85,40,36,22,55,7,17,2,5,342,85,81,0,0.0,6.329923273657289,2.531969309462916,0.8056265984654731,4.603580562659847,9.782608695652174,0.0,16.08187134502924,6.432748538011696,9.649122807017543,7.608695652173914,5.442750507906213,5.843499318000511,137.887273589393,1.072240315780967,Sr,0,0,,,,,2,2021
Troy Jones,7090518?year_stat_category_id=14841,0.0,AUM,Gulf South,13,12,4.68,75.0,88,50,39,21,61,6,21,0,4,334,81,71,0,0.0,7.32,2.5200000000000005,0.72,6.0,10.56,0.0,18.263473053892216,6.287425149700598,11.976047904191617,6.896551724137931,5.06324496655924,5.5657745976600435,129.4447670869804,1.2169356020321198,Sr,0,0,,,,,2,2021
Landon Pritchett,7090554?year_stat_category_id=14841,0.0,AUM,Gulf South,34,1,6.75,4.0,1,3,3,0,4,1,0,0,2,16,6,2,50,0.0,9.0,0.0,2.25,6.75,2.25,0.0,25.0,0.0,25.0,14.285714285714285,7.399911633225907,6.4770037491107395,98.23764483699098,-0.03685711688434026,So,0,0,,,,,2,2021
Jake Chase,7090556?year_stat_category_id=14841,0.0,AUM,Gulf South,12,0,10.64,11.0,21,22,13,9,9,2,3,0,3,70,11,10,227,0.0,7.363636363636364,7.363636363636364,1.6363636363636365,18.0,17.181818181818183,100.0,12.857142857142856,12.857142857142856,0.0,15.384615384615385,8.649911633225907,7.85781799720008,39.592376454160586,-0.15713508967151554,Jr,4,4,,,,,2,2021
Will Collins,7090544?year_stat_category_id=14841,0.0,AUM,Gulf South,16,1,9.0,15.0,17,17,15,24,16,2,5,1,3,89,14,12,353,0.0,9.6,14.4,1.2,10.2,10.2,50.0,17.97752808988764,26.96629213483146,-8.988764044943817,12.5,9.649911633225907,9.334996351479518,64.31685978265465,-0.2681607461903898,So,2,1,,,,,2,2021
Adam Inouye,7131558?year_stat_category_id=14841,0.0,Academy of Art,PacWest,32,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,So,0,0,,,,,2,2021
Liam Rizzo,7131559?year_stat_category_id=14841,0.0,Academy of Art,PacWest,17,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,So,0,0,,,,,2,2021
Hayato Niki,7131553?year_stat_category_id=14841,0.0,Academy of Art,PacWest,32,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,So,0,0,,,,,2,2021
Dominic Ruggiero,7131554?year_stat_category_id=14841,0.0,Academy of Art,PacWest,36,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jr,0,0,,,,,2,2021
Andrew Shebloski,7131555?year_stat_category_id=14841,0.0,Academy of Art,PacWest,35,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sr,0,0,,,,,2,2021
Ryan Skillman,6913981?year_stat_category_id=14841,0.0,Academy of Art,PacWest,12,1,5.61,25.2,25,17,16,11,20,3,5,1,5,117,34,23,432,0.0,7.142857142857143,3.928571428571429,1.0714285714285714,6.071428571428572,8.928571428571429,57.14285714285714,17.094017094017094,9.401709401709402,7.692307692307692,8.108108108108109,6.514990998305272,6.91980751276647,109.92815686705568,-0.15208571000139,Jr,7,4,,,,,2,2021
Austin LaBarber,6913982?year_stat_category_id=14841,0.0,Academy of Art,PacWest,23,0,4.82,9.1,11,7,5,4,6,0,3,0,2,45,12,9,166,0.0,5.934065934065934,3.956043956043956,0.0,6.923076923076923,10.87912087912088,50.0,13.333333333333334,8.88888888888889,4.444444444444445,0.0,5.309252292566566,7.062791092605373,122.6120706059195,-0.013930010259173495,Jr,8,4,,,,,2,2021
Morgan Edwards,6913985?year_stat_category_id=14841,0.0,Academy of Art,PacWest,7,1,24.65,7.2,15,25,21,10,2,1,2,1,10,61,17,4,226,0.0,2.5,12.5,1.25,31.25,18.75,42.857142857142854,3.278688524590164,16.39344262295082,-13.114754098360654,5.555555555555555,14.23324496655924,15.752106719410587,-195.7702198265735,-0.2566536051910747,Jr,7,3,,,,,2,2021
Collin Carriger,6913986?year_stat_category_id=14841,0.0,Academy of Art,PacWest,13,5,4.91,51.1,54,37,28,13,55,8,11,1,9,228,59,32,903,0.0,9.686888454011742,2.2896281800391387,1.4090019569471623,6.516634050880626,9.510763209393346,42.857142857142854,24.12280701754386,5.701754385964912,18.42105263157895,11.940298507462686,5.824079930681876,5.532384898691758,121.16706777490971,0.1542912935453637,Jr,14,6,,,,,2,2021
Ryan Gamboa,6913987?year_stat_category_id=14841,0.0,Academy of Art,PacWest,30,0,21.6,1.2,2,4,4,4,1,0,2,0,3,14,3,1,52,0.0,7.5,30.0,0.0,30.0,15.0,100.0,7.142857142857142,28.57142857142857,-21.428571428571427,0.0,20.48324496655924,23.807662274966148,-146.8006794423525,-0.07595476328306566,Sr,3,3,,,,,2,2021
Noah Daubin,6913988?year_stat_category_id=14841,0.0,Academy of Art,PacWest,36,9,3.96,52.1,47,29,23,35,40,5,7,0,6,239,50,58,898,0.0,6.90978886756238,6.046065259117082,0.8637236084452975,5.009596928982726,8.119001919385797,0.0,16.736401673640167,14.644351464435147,2.09205020920502,9.090909090909092,6.7228482934946205,6.879032185720185,136.4198754355687,-0.29460219885517663,Jr,0,0,,,,,2,2021
Nathan Macis,6913992?year_stat_category_id=14841,0.0,Academy of Art,PacWest,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,So,0,0,,,,,2,2021
Jacob Hord,6913993?year_stat_category_id=14841,0.0,Academy of Art,PacWest,4,0,10.13,8.0,11,11,9,6,6,0,1,1,5,45,9,7,158,0.0,6.75,6.75,0.0,12.375,12.375,75.0,13.333333333333334,13.333333333333334,0.0,0.0,7.274911633225907,8.770899422009013,37.35690357634118,-0.07596826855722179,Jr,4,3,,,,,2,2021
Ty Conrad,6913994?year_stat_category_id=14841,0.0,Academy of Art,PacWest,36,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jr,0,0,,,,,2,2021
Joel Mitchell,6913995?year_stat_category_id=14841,0.0,Academy of Art,PacWest,4,0,20.25,4.0,6,9,9,8,4,0,2,1,3,28,7,0,125,0.0,9.0,18.0,0.0,20.25,13.5,100.0,14.285714285714285,28.57142857142857,-14.285714285714285,0.0,10.899911633225907,13.22700374911074,-125.12563697720545,-0.09523009462686778,Fr,3,3,,,,,2,2021
