Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
Adam Vaughn,7995254?year_stat_category_id=15001,0,A&M-Corpus Christi,Southland,1,0,0.0,0.0,0,2,2,2,0,0,0,0,0,2,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,Fr,0,0,,,,,1,2023
James Trimble,7995242?year_stat_category_id=15001,0,A&M-Corpus Christi,Southland,9,1,9.88,13.2,18,17,15,8,9,2,6,0,5,70,7,21,242,0.0,6.136363636363637,5.454545454545455,1.3636363636363638,11.59090909090909,12.272727272727273,33.33333333333333,12.857142857142856,11.428571428571429,1.428571428571427,22.22222222222222,7.825991050835894,6.876050473034049,41.22012845160603,-0.17701691499305497,Fr,12,4,,,,,1,2023
Jaime Ramirez Jr.,7824106?year_stat_category_id=15001,0,A&M-Corpus Christi,Southland,16,1,7.43,26.2,35,24,22,12,17,5,6,2,5,127,32,24,439,0.0,5.8396946564885495,4.122137404580153,1.717557251908397,8.244274809160306,12.02290076335878,39.130434782608695,13.385826771653544,9.448818897637794,3.93700787401575,13.513513513513514,7.395155982596245,7.026407135274695,80.59367959467943,-0.3096738418794094,Jr,23,9,,,,,1,2023
Colin Purcell,7824109?year_stat_category_id=15001,0,A&M-Corpus Christi,Southland,15,13,4.08,81.2,83,49,37,22,63,3,18,6,6,352,98,74,0,0.0,6.982758620689655,2.438423645320197,0.33251231527093594,5.431034482758621,9.199507389162562,0.0,17.897727272727273,6.25,11.647727272727273,2.9702970297029703,4.228439177421952,5.608487373473647,134.43098421888183,1.6909218396367116,Jr,2,0,,,,,1,2023
Hayden Thomas,7824110?year_stat_category_id=15001,0,A&M-Corpus Christi,Southland,16,8,5.68,50.2,66,42,32,19,57,9,9,2,8,242,42,45,850,0.0,10.219123505976095,3.406374501992032,1.6135458167330676,7.529880478087649,11.832669322709163,25.0,23.553719008264462,7.851239669421488,15.702479338842974,17.647058823529413,5.9386917631382,5.1274921239699776,108.71764469687473,0.05841435750053958,Sr,12,3,,,,,1,2023
Samuel Feltz,7995246?year_stat_category_id=15001,R/R,A&M-Corpus Christi,Southland,12,0,5.84,12.1,18,11,8,7,11,0,2,1,1,63,11,13,212,0.0,8.181818181818183,5.206611570247935,0.0,8.181818181818183,13.388429752066116,71.42857142857143,17.46031746031746,11.11111111111111,6.349206349206348,0.0,4.430674246428181,5.790349435621679,106.14631074467403,0.009644358017560528,Jr,7,5,,,,,1,2023
Dalton LeBlanc,7995247?year_stat_category_id=15001,0,A&M-Corpus Christi,Southland,6,0,0.0,5.1,1,1,0,4,8,0,0,0,2,24,8,1,103,0.0,14.11764705882353,7.058823529411765,0.0,1.7647058823529413,1.7647058823529413,50.0,33.33333333333333,16.666666666666664,16.666666666666664,0.0,4.657541852974932,7.0036480617793995,200.0,-0.0011300692223357028,Jr,4,2,,,,,1,2023
Sean Sieve,7824121?year_stat_category_id=15001,0,A&M-Corpus Christi,Southland,10,0,11.25,8.0,11,10,10,9,8,0,0,1,2,43,4,8,174,0.0,9.0,10.125,0.0,11.25,12.375,85.71428571428571,18.6046511627907,20.930232558139537,-2.325581395348838,0.0,6.390384990229833,7.1382063442862576,19.20308148588743,-0.06263542253421471,Jr,7,6,,,,,1,2023
Marco Gutierrez,7824122?year_stat_category_id=15001,0,A&M-Corpus Christi,Southland,15,0,4.91,18.1,21,14,10,14,13,0,5,1,3,93,18,21,317,0.0,6.4640883977900545,6.961325966850828,0.0,6.961325966850828,10.441988950276242,60.0,13.978494623655912,15.053763440860216,-1.0752688172043037,0.0,5.646600459843093,7.133979948574102,121.09218934184062,-0.08290527264369019,So,15,9,,,,,1,2023
James Burchett,7995252?year_stat_category_id=15001,0,A&M-Corpus Christi,Southland,10,0,15.75,8.0,13,14,14,11,7,0,1,1,1,49,9,7,179,0.0,7.875,12.375,0.0,15.75,14.625,77.77777777777779,14.285714285714285,22.448979591836736,-8.163265306122451,0.0,7.015384990229833,8.697983036856787,-53.11568591975755,-0.08430989337540952,Jr,9,7,,,,,1,2023
