Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
Adrian,47,Michigan Intercol. Ath. Assn.,1675.0,186.0,2.0,26.0,82.0,1971.0,505.0,101.0,8.0,35.0,358.0,42.0,9.0,26.0,352.1712135709432,14.589906373971662,-3.839711860610107,13.5928,3.089053169736872,285.0,21.0,325.0,45,2023,3,99.1022884351396,361.0,66.66666666666666,9.43683409436834,14.45966514459665,0.30149253731343284,0.43402985074626865,0.39320142059868085,0.1325373134328358,103.15054415357525,0.18163368848300354,0.381063548551093,Adrian,-923.336,8.786300000000004,9.231504900249782,0.8922136159804321,0.6162488692832575
Albertus Magnus,34,Great Northeast,1024.0,132.0,1.0,9.0,48.0,1214.0,273.0,59.0,3.0,24.0,187.0,21.0,6.0,7.0,190.1097828329619,-32.4084340218615,-5.038583969414041,11.456575,-0.12066821279429181,242.0,4.0,171.0,34,2023,3,112.28770102622698,187.0,84.0,10.873146622734762,19.934102141680395,0.2666015625,0.400390625,0.37397034596375617,0.1337890625,90.27720396923668,0.15403624382207579,0.36111633663366344,Albertus Magnus,-621.948,6.4678,5.002207048146433,1.0066844919786095,1.4226460727035013
Albion,39,Michigan Intercol. Ath. Assn.,1295.0,148.0,3.0,18.0,39.0,1503.0,342.0,63.0,7.0,15.0,200.0,66.0,4.0,8.0,195.18262555112597,-63.66421075733432,9.44873252921088,10.664875,-1.7894204069509299,255.0,10.0,173.0,39,2023,3,99.64216728006016,257.0,86.8421052631579,9.846972721224219,16.966067864271455,0.2640926640926641,0.3583011583011583,0.35395874916833003,0.0942084942084942,75.20454042434761,0.1330671989354624,0.3366546426185705,Albion,-837.38,1.9170000000000036,2.895817301148683,0.8340793400035107,-0.5974747957559288
Albright,38,MAC Commonwealth,1177.0,135.0,0.0,10.0,35.0,1357.0,310.0,49.0,6.0,7.0,187.0,31.0,8.0,15.0,166.49255960642728,-59.1274144236455,-4.853030768307955,2.4846250000000003,-4.002319012912815,257.0,14.0,169.0,37,2023,3,99.7974298751119,248.0,68.88888888888889,9.948415622697127,18.938835666912308,0.26338147833474934,0.33305012744265083,0.3537214443625645,0.06966864910790149,69.16760545850993,0.13780397936624908,0.3308798820928519,Albright,-728.116,4.489000000000005,2.8972570095049304,0.7545012165450121,3.0523689176153606
Alfred St.,42,AMCC,1357.0,182.0,9.0,22.0,27.0,1597.0,409.0,77.0,4.0,40.0,290.0,59.0,7.0,42.0,293.56072115579525,-25.099580474199435,-3.9879181700447743,7.1655999999999995,-0.37046682692748506,229.0,21.0,257.0,42,2023,3,107.06527174824508,288.0,73.75,11.396368190356919,14.339386349405133,0.30140014738393517,0.4524686809137804,0.3926111458985598,0.15106853352984523,107.3638227059401,0.18159048215403883,0.3834496516782774,Alfred St.,-787.62,9.347500000000002,8.103355943299885,0.9375968992248063,1.8662802700114014
Allegheny,36,PAC,1179.0,117.0,2.0,16.0,49.0,1363.0,338.0,56.0,17.0,18.0,240.0,82.0,12.0,30.0,213.72493692887008,-4.888666996029011,-0.4282514760550856,13.969800000000001,2.045957588226693,234.0,22.0,199.0,36,2023,3,95.7935329749904,247.0,78.84615384615384,8.584005869405722,17.168011738811444,0.2866836301950806,0.40882103477523324,0.37123991195891415,0.12213740458015265,91.57511564783927,0.1760821716801174,0.36128771155261225,Allegheny,-691.976,6.836200000000001,5.512036883093259,0.8226918798665184,2.7975139551977097
Alma,44,Michigan Intercol. Ath. Assn.,1499.0,211.0,17.0,29.0,61.0,1817.0,440.0,78.0,12.0,24.0,346.0,51.0,4.0,21.0,331.6495978696771,6.10976666408882,7.348761404648242,14.204450000000001,3.2552523863086638,286.0,11.0,308.0,44,2023,3,103.60469990577684,326.0,82.25806451612904,11.612548156301596,15.740231150247661,0.2935290193462308,0.409606404269513,0.4012107870115575,0.11607738492328218,99.41572555382652,0.19042377545404512,0.38045316881660113,Alma,-780.748,10.639,9.036236103624443,0.9069695632995147,2.6940362566693175
Alvernia,48,MAC Commonwealth,1605.0,190.0,8.0,19.0,58.0,1880.0,491.0,75.0,22.0,22.0,346.0,36.0,9.0,36.0,337.13197849714976,22.14244061739455,-2.5876578774503116,23.335325,3.6987826022384396,246.0,13.0,305.0,48,2023,3,100.53011484543173,372.0,73.46938775510205,10.106382978723403,13.085106382978722,0.3059190031152648,0.42118380062305294,0.3973404255319149,0.11526479750778812,101.16731110797707,0.18404255319148935,0.3814340128755365,Alvernia,-851.024,7.865800000000001,8.205574519155844,0.9439400367699053,0.12737004681065578
Amherst,36,NESCAC,1225.0,171.0,3.0,15.0,41.0,1455.0,384.0,88.0,15.0,18.0,305.0,62.0,5.0,7.0,290.38034116158616,20.3670934276553,9.139097843808669,10.881975,2.639459952635904,196.0,11.0,265.0,36,2023,3,99.21397636175834,263.0,84.93150684931507,11.752577319587628,13.470790378006873,0.313469387755102,0.45387755102040817,0.41168384879725084,0.14040816326530614,112.5685456145356,0.20962199312714777,0.39975017253278117,Amherst,-614.6080000000001,9.666699999999997,8.236788088737102,0.8388947553678282,3.2863498712343624
Anderson (IN),46,HCAC,1617.0,182.0,4.0,19.0,75.0,1897.0,534.0,116.0,14.0,47.0,384.0,55.0,11.0,39.0,413.3815283015937,63.99960659585481,-0.9179336123384321,3.2051499999999997,5.069951466082863,235.0,14.0,336.0,46,2023,3,105.8808218931983,357.0,79.71014492753623,9.59409594095941,12.38798102266737,0.3302411873840445,0.5064935064935064,0.419082762256194,0.17625231910946193,126.91123100866166,0.20242488139167106,0.41626521969295927,Anderson (IN),-828.0600000000001,16.4819,12.034600214384216,1.023801245835144,4.064129951308484
Anna Maria,42,Great Northeast,1322.0,158.0,6.0,21.0,63.0,1570.0,394.0,89.0,3.0,27.0,263.0,59.0,4.0,37.0,283.3680902659785,14.72593944265823,3.367547409855828,9.192625000000001,3.919355427839131,252.0,15.0,235.0,42,2023,3,105.33438247189856,275.0,79.72972972972973,10.063694267515924,16.050955414012737,0.2980332829046899,0.43116490166414523,0.3955414012738854,0.13313161875945534,103.07012232001335,0.16751592356687897,0.38197560975609757,Anna Maria,-770.956,6.840000000000001,7.715789992160128,0.926841926152799,-0.33589078066032485
Arcadia,46,MAC Freedom,1461.0,193.0,5.0,34.0,79.0,1772.0,473.0,99.0,22.0,17.0,356.0,88.0,11.0,25.0,369.4228605706767,62.71493464072995,3.030086692866373,16.961750000000002,7.773436108340152,228.0,32.0,318.0,46,2023,3,99.2492320749378,335.0,73.33333333333333,10.891647855530474,12.866817155756207,0.32375085557837097,0.45653661875427787,0.42325056433408575,0.1327857631759069,116.1520892169034,0.20090293453724606,0.4075312145289444,Arcadia,-764.004,16.287599999999994,11.898871226207289,1.0023891519586743,4.34990797114728
