Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,IP_float,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
Bronson Coburn,d3d-8419376,0,Lancaster Bible,United East,2,0,6.0,3.0,3.0,6,9,2,4,2,0,2,0,0,21,0,7,32,1.05,6.0,12.0,0.0,27.0,18.0,0.0,9.523809523809524,19.047619047619047,-9.523809523809524,0.0,7.906307949542759,7.906307949542759,117.04468425850827,0.07242616616300056,So,0,0,0.10117150271762675,-0.16339999999999977,5.659000000000001,-0.20602711769088863,3,2025
Jacob Stolte,d3d-7550527,0,Lancaster Bible,United East,2,0,24.0,3.0,3.0,9,9,8,2,1,1,1,0,0,19,6,1,19,0.1333333333333333,3.0,6.0,3.0,27.0,27.0,0.0,5.263157894736842,10.526315789473683,-5.263157894736842,14.285714285714285,10.906307949542759,8.562617884333706,-131.82126296596698,0.02807108982274692,Sr,0,0,-0.08803298969072448,-0.0339999999999998,1.77,-0.2063999999999956,3,2025
Evan Sareyka,d3d-7982536,0,Lancaster Bible,United East,1,0,0.0,2.0,2.0,1,0,0,1,2,0,0,0,0,8,1,3,31,0.0,9.0,4.5,0.0,0.0,4.5,0.0,25.0,12.5,12.5,0.0,4.739641282876092,5.1659934117598665,200.0,0.049754557845265,Jr,0,0,0.02966222922547307,-0.24599999999999966,19.223,-0.3224946479675579,3,2025
Noah Day,8888379,0,Lancaster Bible,United East,1,0,27.0,1.0,1.0,3,5,3,1,1,1,1,0,0,8,1,1,32,0.0333333333333333,9.0,9.0,9.0,45.0,27.0,0.0,12.5,12.5,0.0,50.0,19.239641282876093,7.94504979841119,-173.29892083671288,-0.01078156309947771,So,0,0,-0.08199999999999667,-0.0019999999999999,-1.871,-0.04799999999999709,3,2025
Nick Dooling,8895922,0,Lancaster Bible,United East,1,0,20.25,1.1,1.3333333333333333,4,3,3,0,1,1,0,0,0,8,2,1,22,0.0,6.75,0.0,6.75,20.25,27.0,0.0,12.5,0.0,12.5,33.33333333333333,13.489641282876093,5.658225862853078,-79.97419062753464,0.004333053326374134,So,0,0,,0.0,-0.6930000000000001,0.0,3,2025
Dylan Witkowski,d3d-7982537,0,Lancaster Bible,United East,1,1,1.5,6.0,6.0,7,1,1,2,3,0,0,0,0,26,4,9,76,0.0,4.5,3.0,0.0,1.5,10.5,0.0,11.538461538461538,7.6923076923076925,3.846153846153846,0.0,5.239641282876092,5.808110788054458,179.26117106462706,0.17722345155911423,Jr,0,0,,,,,3,2025
Landon Johnson,9101924,0,Lancaster Bible,United East,1,0,18.0,1.0,1.0,2,2,2,0,1,0,0,0,0,5,1,1,24,0.7,9.0,0.0,0.0,18.0,18.0,0.0,20.0,0.0,20.0,0.0,3.239641282876092,4.092345540643641,-48.865947224475235,0.0415366710769387,So,0,0,-0.11789285714285673,-0.1119999999999997,1.129,-0.10610714285714266,3,2025
Noah Robinette,d3d-8419906,R/R,Lancaster Bible,United East,2,1,0.0,7.0,7.0,7,0,0,2,8,0,1,0,2,32,11,2,77,1.5,10.285714285714285,2.571428571428571,0.0,0.0,9.0,0.0,25.0,6.25,18.75,0.0,4.668212711447521,6.00817654508224,200.0,0.3885134204348078,So,0,0,0.16987234647207217,0.4189999999999997,19.534,0.11176680447132388,3,2025
Paulie Brosious,d3d-8276467,R/R,Lancaster Bible,United East,2,1,9.0,4.0,4.0,5,5,4,5,3,0,3,0,3,25,5,4,72,4.6,6.75,11.25,0.0,11.25,11.25,0.0,12.0,20.0,-8.0,0.0,9.739641282876093,10.805521605085527,75.56702638776238,0.15177077181237142,Jr,0,0,-0.009490319432660321,-0.8019999999999996,2.2439999999999998,-0.34623548701895235,3,2025
Daniel Hansen,9101953,0,Lancaster Bible,United East,1,0,9.0,1.0,1.0,0,1,1,2,0,0,0,0,1,6,1,2,24,0.0,0.0,18.0,0.0,9.0,0.0,0.0,0.0,33.33333333333333,-33.33333333333333,0.0,14.239641282876093,15.092345540643642,75.56702638776238,0.001445923159408299,Fr,0,0,,0.0,2.129,0.0,3,2025
