Player,Pos,B/T,player_id,Team,Conference,Yr,R/PA,GP,BB,CS,GS,HBP,IBB,K,RBI,SF,AB,PA,H,2B,3B,HR,R,SB,OPS+,Picked,Sac,BA,SlgPct,OBPct,ISO,wOBA,K%,BB%,SB%,wRC+,wRC,Batting,Baserunning,Adjustment,WAR,Clutch,WPA,REA,WPA/LI,wSB,wGDP,wTEB,EBT,Opportunities,OutsOB,GDPOpps,GDP,Division,Season
Tucker McEnroe,OF,R/R,8260394.0,A&M-Corpus Christi,Southland,So,0.18181818181818182,5,3,0,5,0,0,3,1,0,19,22,7,0,0,0,4,1,100.83950458843356,0,0,0.368,0.368,0.455,0.0,0.3985454545454546,13.636363636363635,13.636363636363635,100.0,112.17644756259169,4.278426896446094,0.4800985577960733,-0.20170495925893714,0.022526145099558175,0.10722257150341198,-0.03367368343849039,0.015199999999999898,-12.623,0.04908950493950449,0.17157551688266667,-0.2060047723196805,-0.1672757038219233,1.0,5.0,0.0,17.0,0.0,1,2024
Chance Reisdorph,C,R/R,8282005.0,A&M-Corpus Christi,Southland,Jr,0.12834224598930483,50,14,2,43,11,0,34,35,5,157,187,46,9,2,4,24,3,100.0317322497661,0,6,0.293,0.452,0.38,0.15900000000000003,0.3728128342245989,18.181818181818183,7.4866310160427805,60.0,96.2628423938702,31.301365461897035,-0.9844254166281335,-3.8355649230747746,2.7842315343053903,0.051619438132082036,-0.021851792779565282,0.8666000000000018,-78.952,0.7985186965422811,-0.762064582222653,-1.5753306118563803,-1.498169728995741,4.0,16.0,2.0,130.0,0.0,1,2024
Cade Sanchez,INF,R/R,8425830.0,A&M-Corpus Christi,Southland,Jr,0.09523809523809523,7,1,0,6,0,0,2,4,0,20,21,7,0,1,1,2,0,133.33606057325142,0,0,0.35,0.6,0.381,0.25,0.4177619047619047,9.523809523809524,4.761904761904762,0.0,124.06031316492732,4.508737635602849,0.8830605850732836,0.10214818406466081,0.07821077578566599,0.16262949829889406,-0.08862803048236878,-0.11539999999999973,-10.488999999999999,-0.03294722035375133,-0.017054689870400003,0.3061131554638301,-0.18691028152876932,0.0,2.0,0.0,16.0,1.0,1,2024
Bryce Logan,INF,R/R,8425822.0,A&M-Corpus Christi,Southland,Jr,0.14035087719298245,41,3,2,13,1,0,16,2,0,53,57,10,0,0,0,8,0,6.361427109808826,0,1,0.189,0.189,0.246,0.0,0.21635087719298246,28.07017543859649,5.263157894736842,0.0,-0.49659279309445276,0.1533404996438236,-9.687782923222137,-0.895787564648676,0.4580916867446151,-0.6353716507581686,-0.2409387830597473,-0.6903999999999988,-38.231,-0.4442048241862478,-1.242681753129853,0.587990455360639,-0.24109626687946195,2.0,9.0,0.0,34.0,2.0,1,2024
Stephen Hom,INF,R/R,8425824.0,A&M-Corpus Christi,Southland,Jr,0.09401709401709402,43,7,1,28,5,0,27,22,2,103,117,28,9,1,0,11,1,73.82173959672691,0,1,0.272,0.379,0.342,0.10699999999999998,0.3323333333333334,23.076923076923077,5.982905982905983,50.0,71.22944950273047,14.598906676554229,-5.60129403353906,-2.4795287856661252,0.48043762268337675,-0.4072410045710214,0.9410127587077566,1.3488000000000004,-51.454,0.36991596699418755,-0.4867171877347932,-0.9815521504643601,-1.0112594474669716,5.0,14.0,2.0,81.0,0.0,1,2024
Drake Kerr,OF,R/R,8425826.0,A&M-Corpus Christi,Southland,Jr,0.16339869281045752,48,9,5,36,4,0,38,11,1,139,153,35,3,1,0,25,10,46.201235098046276,1,5,0.252,0.288,0.314,0.035999999999999976,0.2883333333333333,24.836601307189543,5.88235294117647,66.66666666666666,44.01890433892327,12.00456217217413,-14.411084910255557,-0.8276752241997236,0.21625099295575848,-0.9280465524673462,-0.21206757548135546,-0.4491999999999988,-95.544,-0.2039634770552024,-1.1322864176302327,-0.3935616951037211,0.6981728885342302,7.0,15.0,0.0,115.0,2.0,1,2024
Josh Blount,OF,L/L,8425829.0,A&M-Corpus Christi,Southland,Jr,0.14534883720930233,50,22,4,41,2,0,37,16,1,147,172,32,7,1,1,25,7,51.78712136366652,1,3,0.218,0.299,0.326,0.08099999999999999,0.30208720930232563,21.511627906976745,12.790697674418606,63.63636363636363,52.524596685097535,15.985500233458932,-13.710521323259407,0.20716802114629673,0.22526145099558176,-0.786277364439865,-0.42219965351233135,-0.43379999999999913,-91.69,0.03518102854107435,-1.1393700241826394,1.1549100160303214,0.19162802929861478,5.0,14.0,0.0,111.0,5.0,1,2024
Logan Vaughan,C,R/R,8425837.0,A&M-Corpus Christi,Southland,Jr,0.15384615384615385,53,33,1,44,1,0,38,26,4,144,182,34,7,0,6,28,2,89.08954778155007,1,0,0.236,0.41,0.374,0.174,0.3565604395604396,20.87912087912088,18.13186813186813,66.66666666666666,86.21201241593559,27.350813894522943,-4.071720543399952,-0.37204426123339174,2.951285426363714,0.08807335499661025,0.4745183994225496,1.2620000000000002,-95.356,0.6656622948237655,-0.3577783955281265,-0.002623045155316639,-0.011642820549948585,11.0,29.0,1.0,124.0,3.0,1,2024
Isaac Webb,INF,R/R,8425823.0,A&M-Corpus Christi,Southland,Jr,0.16917293233082706,56,23,9,55,1,1,37,30,2,239,266,81,10,3,4,45,19,105.09806715431012,3,2,0.339,0.456,0.396,0.11699999999999999,0.38607196969696966,13.909774436090224,8.646616541353383,67.85714285714286,104.46257658941526,48.23749489945426,2.312252259413106,-3.489583319946223,0.6256862062853279,0.2165428925299823,0.7798931074930742,2.3291999999999993,-145.99699999999999,1.4695321919950246,-1.8602866485659382,-1.3751138455680811,-0.25418282581220364,15.0,38.0,2.0,196.0,2.0,1,2024
Sebastian Trinidad,INF,R/R,8261272.0,A&M-Corpus Christi,Southland,Sr,0.14767932489451477,55,24,1,55,4,0,26,38,6,203,237,65,14,2,0,35,5,93.56120667670362,1,7,0.32,0.409,0.392,0.08899999999999997,0.3699493670886077,10.970464135021098,10.126582278481013,83.33333333333334,94.4920128068483,38.95635481984873,-1.9620004646992233,-0.3929745928207331,0.614513238315947,0.10860848714876235,0.9631589617422036,2.690200000000001,-105.982,1.3961898285803778,0.1796877416137401,0.45207020458670577,-1.024732539021179,7.0,27.0,1.0,169.0,5.0,1,2024
