Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
A&M-Corpus Christi,54,Southland,1696,185,9,26,65,1981,448,72,16,35,270,56,8,18,276.61848849761276,-11.046527689079149,-4.485918462969876,5.451793925348395,1.2735612365943287,403,26,242,54,2021,1,102.09648874202534,325,68.29268292682927,9.33871781928319,20.34326097930338,0.2641509433962264,0.3873820754716981,0.3568904593639576,0.1232311320754717,91.89785702665003,0.13629480060575466,0.3564029546612328,A&M-Corpus Christi,-30.315999999999963,7.042000000000004,5.567119875260698,0.9918526170798898,1.5327252819082524
Abilene Christian,56,Southland,1903,257,6,21,72,2259,566,112,9,58,416,37,10,22,417.80290753271476,65.06993563500183,6.56122707839609,4.004309349868009,8.490994321251257,454,13,376,56,2021,1,109.30383256889591,387,74.0,11.376715360779107,20.097388224878266,0.2974251182343668,0.4571728849185497,0.3988490482514387,0.1597477666841829,120.33708218536133,0.18415227976980966,0.4033876279483756,Abilene Christian,97.97700000000005,13.998700000000001,13.940458453716442,1.0130667158127533,-0.12231619171421926
Air Force,48,Mountain West,1676,184,4,26,47,1937,506,126,15,41,315,50,6,14,341.2146678023706,-61.30627264703984,3.270043506657783,8.631686644361226,-1.425827195675782,364,23,288,48,2021,1,123.01132412971086,324,68.4931506849315,9.499225606608157,18.79194630872483,0.301909307875895,0.46837708830548924,0.3825503355704698,0.16646778042959426,118.57853389933757,0.1626226122870418,0.39424313115603943,Air Force,32.93100000000004,9.075800000000003,7.126995050572269,0.9022714366837025,2.9318404960323026
Akron,50,MAC,1501,150,2,13,39,1705,371,57,3,21,195,38,8,34,183.65069007132067,-67.31721465704837,-5.145606011603675,11.576234115046963,-3.3771572170285777,346,24,172,50,2021,1,97.57861840987758,290,61.29032258064516,8.797653958944283,20.29325513196481,0.24716855429713525,0.33111259160559625,0.3296187683284457,0.083944037308461,70.76891260483778,0.11436950146627566,0.3231840094062316,Akron,-69.69699999999996,0.11700000000000794,3.3888703497838186,0.9331727681438664,-3.2634916375087832
Alabama,58,SEC,1951,224,6,24,58,2263,507,96,7,67,334,33,3,19,327.5489378609814,-60.54396850077173,-9.975367874332953,9.45043718153355,-2.810893821942699,482,11,304,58,2021,1,106.87555847030536,337,75.0,9.898365002209458,21.29916040653999,0.25986673500768837,0.4192721681189134,0.3513035793194874,0.15940543311122501,98.09515553615897,0.14759169244365886,0.3615717458907152,Alabama,2.7690000000000508,8.709600000000009,9.193731417259993,0.9951125556759359,-0.44135466317114336
Alabama A&M,29,SWAC,860,118,2,11,31,1022,193,38,9,8,134,53,3,8,112.43671882563422,-58.06441567549508,-2.694680846300357,8.366594404199153,-2.1206575398737457,243,13,114,29,2021,1,107.7390448835881,138,80.3030303030303,11.545988258317024,23.776908023483365,0.22441860465116278,0.3174418604651163,0.33659491193737767,0.09302325581395351,69.36998906873544,0.13111545988258316,0.3255844793713163,Alabama A&M,-21.630999999999982,3.829200000000001,2.288791688121766,0.7742399999999999,2.656961566682947
Alabama St.,41,SWAC,1444,206,2,21,34,1707,445,84,19,40,346,54,1,11,326.39711717905186,50.55028794405765,-1.4867956478350393,8.24457102952913,8.362903302580435,328,18,306,41,2021,1,104.28921932122674,302,75.0,12.067955477445812,19.214997070884593,0.30817174515235457,0.4757617728531856,0.4024604569420035,0.16759002770083103,125.83513103160149,0.2026947861745753,0.4099289489136817,Alabama St.,109.81300000000003,7.869599999999998,10.12652927616599,0.8217639491879724,-0.5500566068838211
Alcorn,27,SWAC,860,116,2,5,27,1010,202,31,4,8,133,40,7,5,114.14886078258743,-36.67433948497222,-5.1435053039705645,3.134563969550003,-0.6132181207272994,246,17,109,27,2021,1,96.20255744360568,159,70.17543859649122,11.485148514851486,24.356435643564357,0.23488372093023255,0.3081395348837209,0.3435643564356436,0.07325581395348837,69.02826688773773,0.1316831683168317,0.3280775347912525,Alcorn,-19.277999999999977,0.3286000000000053,0.6563677437174565,0.9158404558404558,-0.29757162600451603
App State,52,Sun Belt,1669,190,4,23,74,1960,394,70,11,27,231,43,6,15,227.43399900729054,-73.63921541083124,-4.418067806157171,9.425951562404077,-3.598547976568242,430,14,214,52,2021,1,111.83831313953898,286,75.43859649122807,9.693877551020408,21.93877551020408,0.2360695026962253,0.3397243858597963,0.3377551020408163,0.10365488316357102,75.09051232408272,0.11785714285714285,0.33180993852459023,App State,-65.28599999999996,1.5080000000000076,2.5259572204802496,0.8607142857142858,-0.7739240254594941
Arizona,63,Pac-12,2268,319,8,38,90,2723,737,145,30,70,537,31,3,17,579.6622695433758,135.89061146292917,-5.3881146944025,6.6016062219903,11.710134306642946,501,11,497,63,2021,1,104.93987688306645,492,73.80952380952381,11.715020198310686,18.398824825560045,0.32495590828924165,0.5079365079365079,0.4237972824091076,0.18298059964726626,139.4933266416948,0.19720896070510466,0.4324000738825267,Arizona,186.27400000000006,19.920199999999994,22.778407777064114,0.8424269798253538,0.8677959617213098
Arizona St.,55,Pac-12,1891,180,11,28,58,2168,542,111,13,61,342,36,4,17,351.49899969589734,-21.00997482388361,-4.452144684404008,9.695293372828289,-1.2160302073080003,421,22,321,55,2021,1,110.77365001553308,357,62.06896551724138,8.302583025830259,19.418819188191883,0.28662083553675305,0.4558434690639873,0.36485239852398527,0.16922263352723427,110.68102522896427,0.1577490774907749,0.37955032618825724,Arizona St.,25.72000000000005,12.8132,13.521085091959776,0.9814935479749585,-0.4662870992103496
