Team,Season,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,BA,SlgPct,OBPct,iPF,PF,1B,SB%,BB%,K%,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch,Division
A&M-Corpus Christi,2025,4,Southland,48,7,1,0,1,57,12,4,0,0,3,3,0,1,7.647177593040883,-3.302161032343694,-0.31402540989283945,2.7924657534246573,0.11582165490922397,14,1,1,4,0.25,0.3333333333333333,0.3684210526315789,1.034941479033756,102.09648874202537,8,75.0,12.280701754385964,24.561403508771928,0.08333333333333331,58.66126769895785,0.05263157894736842,0.2711818181818182,A&M-Corpus Christi,-97.75200000000001,-0.5109999999999991,-0.4128518891768395,0.7987783595113438,-0.22687500616945605,1
Abilene Christian,2025,3,WAC,58,10,0,1,4,73,14,5,0,0,11,3,1,0,9.28484020095354,-4.897048937129094,1.394554906689624,7.5113013698630136,0.4479659223016018,17,2,9,3,0.2413793103448276,0.3275862068965517,0.3835616438356164,1.1550638761482652,109.30383256889591,9,60.0,13.698630136986301,23.28767123287671,0.08620689655172412,61.03593462071801,0.1506849315068493,0.24738356164383557,Abilene Christian,-70.032,0.7184000000000001,0.4761210773847401,1.278125,0.08595227224851187,1
Air Force,2025,4,Mountain West,48,1,0,1,3,53,7,1,0,0,4,1,0,1,5.139127646677287,-3.4666453585913946,-1.5249567803223707,3.2886986301369863,-0.11483640550973725,20,1,2,4,0.14583333333333334,0.16666666666666666,0.20754716981132076,1.383522068828514,123.01132412971083,6,50.0,1.8867924528301887,37.735849056603776,0.020833333333333315,-15.120729805095333,0.07547169811320754,0.1477924528301887,Air Force,-100.896,-1.0767999999999989,-0.995982345009371,0.8892405063291139,-0.21493865143190893,1
Akron,2025,3,MAC,100,22,1,2,8,133,33,8,0,3,35,5,0,2,23.638196733727842,4.167322893579538,-1.4534662681984676,5.843835616438357,0.6140438256596891,28,4,36,3,0.33,0.5,0.48120300751879697,0.9596436401646262,97.57861840987758,22,55.55555555555556,16.541353383458645,21.052631578947366,0.16999999999999998,121.00868939085716,0.2631578947368421,0.4106717557251909,Akron,-53.176,1.8573999999999997,1.0178815336259386,1.228853046594982,0.4936092057644652,1
Alabama,2025,3,SEC,81,20,1,1,7,110,31,4,1,3,33,6,0,1,21.55034599410794,-3.953791587417525,-0.8164236091010402,4.968493150684932,0.34769759815735846,22,1,26,3,0.38271604938271603,0.5679012345679012,0.5363636363636364,1.1145926411717562,106.87555847030536,23,85.71428571428571,18.181818181818183,20.0,0.18518518518518517,148.59988277699267,0.3,0.4665,Alabama,-32.312000000000005,1.2565999999999993,1.2392247652990054,0.4322549019607843,1.6678562054426578,1
Alabama A&M,2025,3,SWAC,68,24,0,3,5,100,18,2,2,0,22,10,1,0,12.447530904916919,-4.690615307148081,1.4333152541850993,-1.2482876712328763,0.05906810545284713,9,2,14,3,0.2647058823529412,0.35294117647058826,0.47,1.1289840813931349,107.7390448835881,14,83.33333333333334,24.0,9.0,0.08823529411764708,86.99339762867933,0.22,0.23844,Alabama A&M,-59.806000000000004,0.970399999999999,0.808555375777349,1.258077709611452,-0.037219875127154745,1
Alabama St.,2025,4,SWAC,122,23,2,0,3,150,34,6,1,6,29,2,0,2,30.245432253514313,5.399946082354478,-0.19754452013412588,3.791095890410959,1.1767097468842795,18,2,25,4,0.2786885245901639,0.4918032786885246,0.41333333333333333,1.0714869886871123,104.28921932122674,21,50.0,15.333333333333332,12.0,0.21311475409836067,103.12419159836548,0.19333333333333333,0.47036301369863015,Alabama St.,-71.67,-0.13259999999999822,0.5684616692316131,0.786298076923077,-0.7371000061316414,1
App State,2025,3,Sun Belt,75,12,0,1,6,94,23,6,0,2,23,3,0,0,16.201935499787304,-1.8817744351459986,2.36799622862378,2.370205479452055,0.3262701723332671,18,0,19,3,0.30666666666666664,0.4666666666666667,0.43617021276595747,1.1973052189923163,111.83831313953898,15,100.0,12.76595744680851,19.148936170212767,0.16000000000000003,103.19510357847967,0.24468085106382978,0.3962234042553191,App State,-52.744,0.7066000000000001,0.9965258456518029,1.0064935064935066,-0.29448455532922224,1
Arizona,2025,3,Big 12,27,3,0,0,0,30,7,3,0,0,3,0,0,0,4.314471714570675,-1.373196767587782,-0.128685863816934,2.709246575342466,0.20013333229018804,8,0,0,3,0.25925925925925924,0.37037037037037035,0.3333333333333333,1.0823312813844403,104.93987688306643,4,,10.0,26.666666666666668,0.1111111111111111,58.21459795393273,0.1,0.30216666666666664,Arizona,-65.312,-0.6819999999999996,-0.04681012676543725,0.9244871794871795,-0.6908961553036235,1
Arizona St.,2025,4,Big 12,74,14,0,1,8,97,17,3,0,3,26,7,1,1,15.487252170485647,-3.8452116856528296,-1.5113349648021557,6.984246575342466,0.2184995649689856,15,2,18,4,0.22972972972972974,0.3918918918918919,0.4020618556701031,1.179560833592218,110.77365001553308,11,77.77777777777779,14.432989690721648,15.463917525773196,0.16216216216216214,79.14402645081375,0.26804123711340205,0.3543814432989691,Arizona St.,-53.176,2.9372,1.689502101205232,1.175465313028765,0.8092530449010005,1
