Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,Division,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch
AUM,186,Gulf South,453.90000000000003,561,98,11,32,18,69,375,320,0.5817562017417616,532,222,73,343,2200,4745,2024,2,6.34500991407799,56.25,7.435558493060145,6.8010575016523465,11.123595505617978,4.401850627891606,1.3681427627230667,10.09090909090909,15.590909090909092,5.500000000000002,11.480865224625623,7.061882839142671,6.7053956109326425,105.88085036333308,107.80327773316729,AUM,998.2699999999999,-12.672200000000005,-12.168408107237545,1.0122239244223157,-0.3507585457657729
Adams St.,184,RMAC,389.8,591,131,19,40,30,87,484,431,2.4364355900990673,379,198,63,350,2013,6456,2024,2,9.951257054899948,75.0,11.174961518727551,8.081067213955874,13.645459209851206,4.57157516675218,2.008722421754746,9.836065573770492,17.386984600099353,7.550919026328861,18.669527896995707,7.761671716362176,6.322594841561447,111.95002995938566,63.24150029507878,Adams St.,687.4939999999999,-19.2263,-16.4636842351538,0.8320609675281643,-6.64315618919192
Adelphi,160,NE10,378.6,426,82,7,78,30,26,308,277,0.6944681835928389,329,263,72,349,1857,4883,2024,2,6.584786053882725,38.46153846153847,7.321711568938193,8.296354992076068,10.126782884310618,6.251980982567353,0.618066561014263,14.16262789445342,18.79375336564351,4.63112547119009,7.323943661971831,6.350899074209144,6.605161905772629,105.45910890574709,103.93655246328865,Adelphi,834.1859999999999,-10.956699999999998,-9.532635151857734,1.0228925497180172,-1.178851605006857
Alabama Huntsville,207,Gulf South,373.3,494,88,15,120,58,50,363,300,0.497363841405617,433,227,55,311,1888,4477,2024,2,7.232788641843022,48.333333333333336,8.751674256630057,7.497990892043932,11.909991963568174,5.472810072327886,1.2054647736405038,12.023305084745763,16.472457627118644,4.449152542372881,10.351966873706004,6.98853453775588,6.830065667259085,103.54019103157913,92.5274856594022,Alabama Huntsville,781.906,-12.355600000000003,-11.691528689824226,0.9356621773288439,-1.5136647008855864
Albany St. (GA),220,SIAC,385.5,413,66,4,78,41,40,260,189,4.25881750145303,423,172,41,305,1763,1078,2024,2,4.412451361867705,52.56410256410257,6.070038910505837,7.120622568093385,9.642023346303501,4.01556420233463,0.933852140077821,9.75609756097561,17.300056721497448,7.543959160521839,8.639308855291576,6.07137857990389,6.191684671629362,100.18800690130116,132.24134272621032,Albany St. (GA),723.026,0.5507999999999952,-2.440445792198937,0.8507332540626239,3.0878872756130202
American Int'l,145,NE10,349.5,465,102,8,36,18,26,356,288,-1.596610408089112,399,274,46,290,1825,5121,2024,2,7.416309012875536,50.0,9.167381974248928,7.467811158798284,11.974248927038627,7.0557939914163095,0.6695278969957081,15.013698630136988,15.890410958904111,0.8767123287671232,6.11764705882353,6.701617442537001,7.222056386805253,95.98086368430286,81.12137845563213,American Int'l,712.6709999999999,-12.104199999999999,-10.172038221238749,0.9154434939216569,-3.0501869410669755
Anderson (SC),180,SAC,384.6,450,71,18,34,13,44,317,263,-0.017427207820505067,442,163,73,285,1840,5574,2024,2,6.154446177847113,38.23529411764706,7.418096723868954,6.669266770670827,10.530421216848675,3.814352574102964,1.029641185647426,8.858695652173914,15.489130434782608,6.630434782608694,9.053497942386832,6.493327909238931,6.5518651075906025,98.105919068146,103.48510012765679,Anderson (SC),752.1539999999999,-8.236000000000004,-8.458387613469196,0.9542114695340501,-0.1728228288258613
Angelo St.,221,Lone Star,518.8000000000001,549,118,19,152,62,58,346,292,5.330208384363537,495,214,57,531,2371,4483,2024,2,5.065535851966075,40.78947368421053,6.0023130300693905,9.211642251349266,9.523901310717038,3.7124132613723972,1.0061680801850423,9.025727541121888,22.395613665120205,13.369886123998317,10.488245931283906,5.620654220487218,5.47121912726317,106.20227981366205,126.61755954521287,Angelo St.,1199.8729999999998,-7.790000000000009,-8.325608881700242,0.975575522668546,0.3405786928619774
Ark.-Fort Smith,172,Lone Star,426.9,571,117,15,69,29,57,368,331,-0.4690503188688345,478,203,69,302,2092,4374,2024,2,6.978215038650738,42.028985507246375,7.758257203092059,6.366830639494028,12.037947997189036,4.279690794096978,1.201686577652846,9.703632887189292,14.435946462715105,4.732313575525813,10.654205607476635,6.879626987344009,6.676895805756578,93.65117584741192,85.36117899994638,Ark.-Fort Smith,930.1129999999999,-10.2736,-12.543854820168905,0.9161895023858214,1.330454128230361
Ark.-Monticello,204,GAC,481.40000000000003,452,74,6,27,12,82,348,311,0.08483865686895828,514,262,88,471,2230,3475,2024,2,5.814291649356044,44.44444444444444,6.506024096385542,8.805567095970087,8.450353136684669,4.898213543830494,1.5330286663896966,11.748878923766815,21.121076233183857,9.372197309417041,13.758389261744966,7.085974465121939,6.386086750216713,105.11048345137348,114.89572506362,Ark.-Monticello,1124.4669999999999,-7.358800000000007,-8.321884609502899,1.0908632640201639,1.576034563292172
