Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
AUM,54,Gulf South,1885,254,7,21,115,2282,589,92,7,45,415,58,4,20,453.5454332941621,18.566656202912956,-10.419903881819062,6.7616,1.0369471921164946,278,16,372,54,2024,2,105.88085036333308,445,78.37837837837837,11.130587204206837,12.182296231375986,0.31246684350132625,0.4403183023872679,0.422874671340929,0.12785145888594163,106.82028054383098,0.18185801928133216,0.3998902116402116,AUM,-980.9579999999999,16.6642,12.588711207712793,1.0744263070735747,2.921147300302005
Adams St.,52,RMAC,1762,163,2,29,40,1996,618,119,19,63,457,48,6,9,437.2181465424639,-26.909543499388437,4.411191785998847,1.8426,-0.18844193834573716,350,17,424,52,2024,2,111.95002995938566,417,73.84615384615385,8.16633266533066,17.535070140280563,0.3507377979568672,0.547105561861521,0.4123246492985972,0.19636776390465382,128.2639432712954,0.22895791583166333,0.4183072289156627,Adams St.,-751.6259999999999,15.062399999999997,13.713802001307926,0.8201615092290988,4.651361238500442
Adelphi,45,NE10,1513,206,2,21,37,1779,424,67,13,23,279,39,2,22,267.45631797782426,-32.68124636113602,-3.5774512797413114,11.126199999999999,-0.441703883744474,331,12,246,43,2024,2,105.45910890574709,321,76.47058823529412,11.579539066891511,18.605958403597526,0.2802379378717779,0.38730998017184404,0.3760539629005059,0.10707204230006612,82.95968671434709,0.15682967959527824,0.35616225352112674,Adelphi,-856.9989999999999,9.715800000000003,6.8638566028577905,1.0907164085718755,2.0438667280136524
Alabama Huntsville,47,Gulf South,1574,210,8,24,96,1912,509,89,7,36,378,40,8,19,399.50298336122296,43.001557506806705,-3.9591227468000385,9.4978,3.92335236422161,309,12,330,46,2024,2,103.54019103157913,377,76.92307692307693,10.98326359832636,16.161087866108787,0.3233799237611182,0.45743329097839897,0.4304393305439331,0.13405336721728078,112.60684293036682,0.19769874476987448,0.4088876582278481,Alabama Huntsville,-770.8919999999999,14.160300000000001,11.079279389809347,0.9789529461636286,3.3854607751721435
Albany St. (GA),49,SIAC,1548,291,4,35,109,1987,520,73,11,32,455,62,3,35,463.3899949166095,73.96752010737168,-9.494542887286405,5.8436,7.667205831437295,249,23,390,49,2024,2,100.18800690130116,404,72.94117647058823,14.645193759436337,12.53145445395068,0.3359173126614987,0.45930232558139533,0.4650226472068445,0.12338501291989662,121.8088753970771,0.22898842476094616,0.4312612430520465,Albany St. (GA),-472.13399999999996,11.885799999999994,11.298782589947347,0.7603363268181017,4.333510095238905
American Int'l,43,NE10,1415,181,2,23,65,1686,372,50,9,23,254,75,6,11,231.19697848901873,-24.86098195655819,-5.6576459723161925,6.137,0.5038413998741313,338,21,216,43,2024,2,95.98086368430286,290,78.125,10.73546856465006,20.047449584816132,0.2628975265017668,0.3597173144876325,0.36773428232502964,0.09681978798586571,74.61465306748653,0.1506524317912218,0.34413020214030915,American Int'l,-841.53,4.709800000000002,4.593803313518426,1.0353693867696765,-0.044895396997495673
Anderson (SC),48,SAC,1555,153,3,23,53,1787,455,55,14,16,271,58,8,36,256.39157650867304,-43.517956237287166,-6.130074659647589,9.699399999999999,-1.5551032265322156,286,19,236,48,2024,2,98.105919068146,370,75.32467532467533,8.561835478455512,16.00447677672076,0.29260450160771706,0.37684887459807076,0.37157246782316733,0.0842443729903537,79.45890038112573,0.15165081141578063,0.3499612577203818,Anderson (SC),-824.233,6.098600000000006,3.512345334477005,0.9789033767970579,2.717687316911368
Angelo St.,65,Lone Star,2025,320,5,35,159,2544,642,155,29,48,554,168,16,46,582.7672768978205,73.31283279656401,15.56496670799653,10.4662,7.839097145625614,401,42,500,65,2024,2,106.20227981366205,410,80.0,12.578616352201259,15.762578616352203,0.31703703703703706,0.49333333333333335,0.44261006289308175,0.17629629629629628,123.80610583182036,0.21776729559748428,0.4272458563535912,Angelo St.,-960.9979999999999,20.041899999999995,18.437839304970264,0.9519242610837438,2.6162516761575354
Ark.-Fort Smith,54,Lone Star,1732,241,2,25,69,2069,508,102,15,44,385,19,4,30,374.4740661676402,6.275039416668976,-2.181287260062202,11.188600000000001,2.5159007578630765,402,11,353,54,2024,2,93.65117584741192,347,63.33333333333333,11.648139197680038,19.429676172063797,0.29330254041570436,0.4457274826789838,0.39632672788786855,0.15242494226327946,101.3022956532557,0.1860802319961334,0.38401840193704595,Ark.-Fort Smith,-910.0339999999999,9.064200000000003,8.678472207005278,0.9257009345794392,1.113243088300127
Ark.-Monticello,58,GAC,1947,238,6,27,103,2321,577,125,8,76,405,36,5,17,446.54865208474746,18.676559902396853,0.5123453613612428,9.6264,2.6590639802143743,371,12,385,57,2024,2,105.11048345137348,368,75.0,10.25420077552779,15.984489444205083,0.2963533641499743,0.4858757062146893,0.3981042654028436,0.18952234206471497,110.82260322678054,0.17449375269280482,0.39416370723256816,Ark.-Monticello,-1026.7109999999998,17.3532,12.67171987658152,1.025618417830027,4.24802307881059
