Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,Division,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch
Adrian,171.0,Michigan Intercol. Ath. Assn.,336.5,383.0,79.0,10.0,17.0,15.0,28.0,284.0,233.0,0.3567654827807557,355.0,141.0,70.0,249.0,1615.0,4198.0,2022,3,6.231797919762259,88.23529411764706,7.595839524517087,6.659732540861813,10.243684992570579,3.7711738484398216,0.7488855869242199,8.730650154798763,15.417956656346748,6.687306501547985,7.310704960835509,6.354390559282366,6.31185311718696,99.1022884351396,99.054226301853,Adrian,732.19,-10.868200000000003,-7.536552318299753,0.8943293885601579,-4.6157934941278835
Albertus Magnus,124.0,Great Northeast,242.5,319.0,55.0,9.0,0.0,0.0,21.0,276.0,213.0,1.5884669005580918,305.0,144.0,77.0,196.0,1294.0,1689.0,2022,3,7.905154639175258,0.0,10.243298969072164,7.274226804123711,11.83917525773196,5.344329896907216,0.7793814432989691,11.128284389489954,15.146831530139105,4.018547140649151,6.441717791411043,7.114777195516492,7.216402294594052,112.28770102622698,86.98485617872859,Albertus Magnus,480.59200000000004,-11.867999999999995,-8.167969372849841,0.9144650328750747,-4.810110240196757
Albion,124.0,Michigan Intercol. Ath. Assn.,318.3,372.0,73.0,12.0,7.0,5.0,21.0,284.0,231.0,-0.2671577388117306,350.0,202.0,78.0,255.0,1585.0,5601.0,2022,3,6.531573986804901,71.42857142857143,8.030160226201696,7.210179076343072,10.518378887841658,5.711592836946276,0.5937794533459001,12.744479495268138,16.08832807570978,3.343848580441641,5.660377358490567,6.765917434738389,6.972420503198906,99.64216728006016,94.77155617469575,Albion,699.4110000000001,-11.5292,-8.032655632087721,0.991712660980097,-3.5928891992204104
Albright,120.0,MAC Commonwealth,281.1,468.0,102.0,16.0,30.0,18.0,21.0,414.0,346.0,-1.1894047491133546,367.0,228.0,67.0,189.0,1621.0,2325.0,2022,3,11.077908217716114,60.0,13.25506937033084,6.0512273212379935,14.983991462113126,7.299893276414087,0.6723585912486659,14.06539173349784,11.659469463294263,-2.405922270203577,5.412371134020619,7.64629146016898,7.935338931127807,99.7974298751119,21.804444389646036,Albright,455.8620000000001,-17.20689999999999,-14.77041452392617,0.6816293183940243,-10.47336466171814
Alfred St.,137.0,AMCC,341.5,399.0,99.0,27.0,5.0,0.0,12.0,268.0,230.0,3.264148707917526,390.0,167.0,67.0,263.0,1656.0,3909.0,2022,3,6.061493411420205,0.0,7.062957540263543,6.931185944363103,10.51537335285505,4.401171303074671,0.3162518301610542,10.084541062801932,15.881642512077295,5.797101449275363,2.9850746268656714,5.843659778420901,6.461620262962898,107.06527174824508,109.11557244785048,Alfred St.,763.8120000000001,-6.587999999999998,-7.832368033756889,0.9436403508771929,0.8508946430992088
Allegheny,124.0,NCAC,304.5,313.0,67.0,5.0,16.0,12.0,30.0,201.0,161.0,0.503867392645637,347.0,136.0,45.0,307.0,1412.0,4434.0,2022,3,4.758620689655173,75.0,5.940886699507389,9.073891625615765,9.251231527093596,4.019704433497537,0.8866995073891626,9.631728045325778,21.742209631728045,12.110481586402267,7.957559681697612,5.9190972740633745,5.768713164746262,95.7935329749904,120.25501880422395,Allegheny,735.3470000000001,-2.570400000000002,-3.532041267788459,0.8396111111111111,0.470623944953811
Alma,188.0,Michigan Intercol. Ath. Assn.,308.3,427.0,103.0,12.0,10.0,6.0,22.0,328.0,262.0,0.8219240018825449,357.0,174.0,64.0,231.0,1605.0,3771.0,2022,3,7.648394421018488,60.0,9.575089198832305,6.743431722348362,12.465131365553031,5.079468050600065,0.6422315926046059,10.841121495327103,14.392523364485982,3.5514018691588785,5.804749340369393,6.6165317457437105,6.8112579087459535,103.60469990577684,81.49156001506952,Alma,613.969,-17.5858,-10.843026602484876,0.9839033397559409,-7.030477114213749
Alvernia,155.0,MAC Commonwealth,361.9,413.0,73.0,5.0,45.0,17.0,19.0,244.0,190.0,2.708919928491275,420.0,156.0,47.0,225.0,1695.0,2650.0,2022,3,4.7250621718706824,37.77777777777778,6.067974578612877,5.595468361425809,10.270793036750485,3.8795247305885607,0.47250621718706826,9.20353982300885,13.274336283185843,4.070796460176993,4.328018223234624,5.993335092982045,6.4183563592798,100.53011484543173,124.54816421017854,Alvernia,872.6830000000001,-8.656200000000002,-7.4479811756288985,0.9379612686794754,-1.7807581007665743
Amherst,113.0,NESCAC,283.3,355.0,68.0,8.0,4.0,2.0,37.0,284.0,240.0,-1.6906655083082518,338.0,144.0,61.0,205.0,1414.0,1418.0,2022,3,7.624426403106248,50.0,9.022237910342392,6.512530885986586,11.277797387927992,4.574655841863748,1.1754324038122133,10.183875530410184,14.497878359264499,4.314002828854315,9.866666666666667,7.292939574838256,6.803642015262848,99.21397636175834,76.63476708931366,Amherst,609.5120000000001,-9.861400000000001,-8.795450793756194,0.8487128525459019,-2.823791180038066
Anderson (IN),137.0,HCAC,351.90000000000003,423.0,80.0,25.0,6.0,4.0,34.0,302.0,260.0,1.8713617872092194,382.0,205.0,59.0,317.0,1723.0,2722.0,2022,3,6.649616368286444,66.66666666666666,7.723785166240408,8.107416879795394,10.818414322250637,5.242966751918158,0.8695652173913042,11.897852582704585,18.39814277423099,6.500290191526405,8.173076923076923,6.576508064466492,6.399798109523773,105.8808218931983,99.18207630993116,Anderson (IN),760.9570000000001,-10.2453,-9.764366010761545,0.9157865524896923,-1.4230662267470056
