Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
A. Stoll,d3-playerid-37,0.0,Albion,Michigan Intercol. Ath. Assn.,8.0,0.0,12.19,10.1,22.0,18.0,14.0,5.0,5.0,1.0,9.0,2.0,2.0,61.0,13.0,12.0,151.0,0.6809525120473996,4.455445544554456,4.455445544554456,0.8910891089108911,16.03960396039604,19.603960396039604,100.0,8.19672131147541,8.19672131147541,0.0,7.142857142857142,7.1175255920725995,6.991920734640138,-3.4644154075587963,-0.0763480456886291,-,3.0,3.0,0.34540277044998496,0.3007883867578439,-5.775000000000001,0.2543104323754121,3,2021
A. Varona,d3-playerid-38,0.0,Catholic,Landmark,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,17.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,50.0,25.0,25.0,0.0,3.741287968310223,3.741287968310223,200.0,0.00518614509932917,-,0.0,0.0,,0.0,0.834,0.0,3,2021
A.J. Bunnell,d3-playerid-40,0.0,Anderson (IN),HCAC,3.0,0.0,19.29,2.1,2.0,5.0,5.0,9.0,3.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,32.0,0.6724796353780489,12.857142857142858,38.57142857142857,0.0,21.428571428571427,8.571428571428571,0.0,16.666666666666664,50.0,-33.333333333333336,0.0,14.741287968310223,15.938368676466565,-103.00015334270589,-0.10697373095825562,Fr,0.0,0.0,-0.07978080339508986,-0.1348776265279643,0.8740000000000006,-0.11558414101023454,3,2021
A.J. Hatlestad,d3-playerid-45,0.0,Monmouth (IL),MWC,5.0,3.0,6.75,14.2,19.0,15.0,11.0,7.0,9.0,0.0,4.0,0.0,3.0,71.0,9.0,21.0,96.0,1.552227210502601,5.704225352112676,4.436619718309859,0.0,9.507042253521128,12.04225352112676,0.0,12.676056338028168,9.859154929577464,2.816901408450704,0.0,5.586358390845434,6.11745757826691,82.51432709928446,0.13216415759515415,Jr,3.0,0.0,-0.3275666385234153,-0.7369425539590624,-0.3899999999999999,-0.30161346020524205,3,2021
A.J. Kinney,d3-playerid-48,0.0,Fredonia,SUNYAC,1.0,0.0,108.0,0.1,2.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,26.0,0.0882596691458295,0.0,180.0,0.0,360.0,180.0,0.0,0.0,40.0,-40.0,0.0,64.74128796831022,73.1208529254046,-1715.164425002958,-0.027324807431390114,Jr,0.0,0.0,-0.1943083407146449,-0.0222481165799995,-3.095,-0.05776734453678553,3,2021
A.J. Mancini,d3-playerid-53,0.0,Heidelberg,OAC,3.0,0.0,0.0,2.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,20.0,0.027777777777777766,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,12.5,-12.5,0.0,6.169859396881652,7.765967007756774,200.0,-0.010768905966086529,So,0.0,0.0,0.09818181818181085,0.0027272727272725002,1.7349999999999999,0.021818181818179207,3,2021
Aaron Alvarez,d3-playerid-73,0.0,Rutgers-Newark,NJAC,3.0,0.0,6.23,8.2,18.0,15.0,6.0,4.0,2.0,2.0,4.0,0.0,3.0,49.0,11.0,9.0,155.0,0.6365633681863435,2.1951219512195124,4.390243902439025,2.1951219512195124,16.463414634146343,19.75609756097561,77.77777777777779,4.081632653061225,8.16326530612245,-4.081632653061225,15.384615384615385,9.985190407334613,8.142926315166651,102.13098706980136,-0.19521383106972348,Fr,9.0,7.0,-1.0562015774320181,-0.1235836422799261,-10.585,0.0504731769547705,3,2021
Aaron Ayers,d3-playerid-75,0.0,New Jersey City,NJAC,10.0,0.0,4.97,29.0,29.0,25.0,16.0,14.0,43.0,2.0,5.0,2.0,14.0,147.0,22.0,20.0,476.0,0.802807973416711,13.344827586206897,4.344827586206897,0.6206896551724138,7.758620689655172,9.0,0.0,29.25170068027211,9.523809523809524,19.727891156462583,8.333333333333332,5.5688741752067745,5.365803688897345,129.46545894797427,0.2408653001941698,So,2.0,0.0,-0.8419058483869931,-2.4104722908586687,5.557,-0.6647679530276599,3,2021
Aaron Blake,d3-playerid-81,0.0,Spalding,SLIAC,11.0,0.0,1.5,18.0,9.0,6.0,3.0,5.0,18.0,2.0,1.0,0.0,0.0,67.0,18.0,13.0,236.0,0.9478077142198548,9.0,2.5,1.0,3.0,4.5,0.0,26.865671641791046,7.462686567164178,19.40298507462687,10.0,5.019065746088001,4.505684074654044,175.45746381150437,0.07927310653376357,Sr,0.0,0.0,-0.2959029330246363,0.2769054765257315,10.668999999999999,0.5782115745969042,3,2021
Aaron Bode,d3-playerid-83,0.0,Martin Luther,UMAC,5.0,0.0,20.77,8.2,26.0,23.0,20.0,10.0,4.0,0.0,3.0,2.0,4.0,67.0,12.0,8.0,53.0,0.23136654021861883,4.390243902439025,10.975609756097562,0.0,25.243902439024392,28.53658536585366,100.0,5.970149253731343,14.925373134328357,-8.955223880597014,0.0,8.887629431724857,10.113907230324038,-174.8001829792608,-0.13991366207168293,Fr,3.0,3.0,-0.3648409431158538,-0.0672814250975422,-18.12,-0.027104252680820298,3,2021
