Player,Pos,B/T,player_id,Team,Conference,Yr,R/PA,GP,BB,CS,GS,HBP,IBB,K,RBI,SF,AB,PA,H,2B,3B,HR,R,SB,OPS+,Picked,Sac,BA,SlgPct,OBPct,ISO,wOBA,K%,BB%,SB%,wRC+,wRC,Batting,Baserunning,Adjustment,WAR,Clutch,WPA,REA,WPA/LI,wSB,wGDP,wTEB,EBT,Opportunities,OutsOB,GDPOpps,GDP,Division,Season
A 7Goedhard,PH,0,8686924,Minn.-Morris,UMAC,-,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-156.65612792080324,-0.24993968304311,-0.44444275389102,0.0,-0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2024
A. Enjem,2B,0,8686421,Manhattanville,Skyline,Fr,0.0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,632.8592663786353,0.0,0.0,1.0,2.0,1.0,1.0,1.27,0.0,0.0,0.0,657.7318460106052,1.1738271331003878,0.9672424044555944,0.0,0.031,0.0,0.0,0.0,-2.2259999999999995,0.0,0.0,-0.0229233358793065,0.0,0.0,0.0,0.0,2.0,0.0,3,2024
A. Fischer,P,0,8588048,Fontbonne,SLIAC,Fr,0.0,6,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148.48097148039813,-0.24993968304311,-0.4331001625092932,0.0,0.093,0.0,0.0,-0.024,-0.96,-0.024,0.0,-0.0114616679396532,0.0,0.0,0.0,0.0,1.0,0.0,3,2024
A. Flores,C,0,8683192,Penn St. Harrisburg,United East,-,0.1428571428571428,5,0.0,0.0,2,0.0,0.0,2.0,1.0,0.0,7.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0,75.3806385745105,0.0,0.0,0.286,0.429,0.286,0.143,0.3147142857142858,28.57142857142857,0.0,0.0,56.467599398998615,0.7201531604022663,-0.5646711231784898,-0.1325513470558452,0.38625,0.0535623673962432,-0.1275447619047622,-0.0635999999999996,-1.255,-0.0250952380952367,-0.0064702185961795,-0.0343850038189597,-0.0916961246407059,0.0,1.0,0.0,3.0,0.0,3,2024
A. Gomez,DH,0,d3d-8596684,Coe,American Rivers,Fr,0.1727272727272727,38,12.0,1.0,27,2.0,0.0,19.0,16.0,0.0,96.0,110.0,23.0,2.0,2.0,1.0,19.0,0.0,65.12462374297576,0.0,2.0,0.24,0.333,0.336,0.093,0.3221545454545454,17.272727272727273,10.909090909090908,0.0,59.80532836151277,12.234213340594223,-7.1507634917578535,-0.5057436311213562,-2.9355,-0.7302840469774509,0.0,0.0,0.0,0.0,-0.8445955375771073,0.6059899007070463,-0.2671379942512952,4.0,16.0,0.0,78.0,3.0,3,2024
A. Marsden,C,0,8681995,Mass. Maritime,MASCAC,-,0.1206896551724138,19,15.0,0.0,15,1.0,0.0,10.0,9.0,0.0,42.0,58.0,12.0,1.0,1.0,1.0,7.0,0.0,125.4773967486332,0.0,4.0,0.286,0.429,0.483,0.143,0.4435344827586207,17.24137931034483,25.86206896551724,0.0,140.99509459795905,14.343184482154326,4.512271960840278,-0.9506333870359074,1.46775,0.4318016780651657,-0.0491939264048812,0.3482,-25.773,0.29681464902006,-0.161755464904489,-0.4470050496464768,-0.3418728724849416,1.0,7.0,0.0,39.0,0.0,3,2024
A. Merrifiel,PH,0,8682021,St. Joseph's (ME),Great Northeast,-,0.0,3,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-141.68271493659387,-0.49987936608622,-0.8247607410693056,0.0,-0.0555,0.0,-0.0089999999999998,-0.0018,-1.069,-0.0090000000000001,0.0,-0.0114616679396532,0.0,0.0,0.0,0.0,1.0,0.0,3,2024
A. Mezzaucel,,0,d3d-8681830,Manhattanville,Skyline,-,0.6666666666666666,21,5.0,0.0,3,0.0,0.0,2.0,3.0,0.0,13.0,18.0,3.0,1.0,0.0,0.0,12.0,3.0,86.60682382685594,0.0,1.0,0.231,0.308,0.444,0.0769999999999999,0.3950555555555556,11.11111111111111,27.77777777777778,100.0,101.37985695389597,3.4730587993944244,-0.2454663162118549,-0.5946554201538252,0.0,0.014066165588739,0.3476831814753269,0.3582000000000001,-8.261999999999999,0.1466130466755472,0.5547084698267432,0.3509983167845077,-1.500362206765076,2.0,9.0,2.0,13.0,1.0,3,2024
A. Parkins,PH,0,8679647,Simpson,American Rivers,Fr,0.25,9,1.0,1.0,1,0.0,0.0,4.0,1.0,0.0,7.0,8.0,1.0,0.0,0.0,0.0,2.0,1.0,-2.20832217940522,0.0,0.0,0.143,0.143,0.25,0.0,0.216,50.0,12.5,50.0,-1.9811626216496043,-0.0622977334031757,-1.3915196178454234,-0.0911895686713986,-0.1665,-0.0469913908281807,-0.0748198646704355,-0.2067999999999999,-4.406000000000001,-0.0681294440853247,-0.4504889796917204,-0.0573083396982662,0.4166077507185881,2.0,2.0,0.0,5.0,0.0,3,2024
A. Perl,RF,0,8684928,Yeshiva,Skyline,-,0.0512820512820512,14,3.0,0.0,14,1.0,0.0,13.0,3.0,0.0,35.0,39.0,10.0,0.0,0.0,0.0,2.0,0.0,59.72730029828952,0.0,0.0,0.286,0.286,0.359,0.0,0.3213846153846154,33.33333333333333,7.6923076923076925,0.0,60.9802884876182,4.303921868045167,-3.309684224422129,-0.0585287179206814,-0.6475,-0.2124135861858255,0.4014451647454866,0.1238000000000001,-29.165,-0.0438609196688997,-0.0905830603465138,0.1905349656293621,-0.1584806232035298,1.0,5.0,0.0,27.0,1.0,3,2024
