Team,Season,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,BA,SlgPct,OBPct,iPF,PF,1B,SB%,BB%,K%,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch,Division
Assumption,2025,3,NE10,67,12,0,0,3,82,16,1,0,0,16,1,0,2,9.90288560583953,-3.1929054491585447,0.40404272243179024,3.022649425287357,0.5213835214696334,20,0,6,3,0.23880597014925373,0.2537313432835821,0.3780487804878049,1.030463357588444,101.82780145530666,15,100.0,14.634146341463413,24.390243902439025,0.014925373134328374,52.48832229175036,0.1951219512195122,0.20789024390243904,Assumption,-65.269,0.17780000000000037,-0.20406913991782902,0.850900900900901,0.4130241425647325,2
Augusta,2025,11,Peach Belt,304,62,0,6,7,379,74,7,2,8,58,16,1,2,58.98132714677479,-9.109068836387214,-1.2393875556119993,9.712344827586207,0.00544213116011329,100,4,41,11,0.24342105263157895,0.35855263157894735,0.37730870712401055,1.1986286706549794,111.91772023929876,57,80.0,16.358839050131927,26.385224274406333,0.11513157894736839,76.41763766878363,0.15303430079155672,0.3203614775725594,Augusta,-226.311,0.8924000000000021,0.9095254427154493,0.8660291438979963,0.12092486751696452,2
Augustana (SD),2025,4,NSIC,118,19,1,4,5,147,43,10,1,3,42,8,1,3,29.080445454010572,1.9513622915368152,-1.8833042758161767,1.732137931034483,0.7454477730197401,25,3,38,4,0.3644067796610169,0.5423728813559322,0.46258503401360546,1.151311555338859,109.07869332033155,29,72.72727272727273,12.925170068027212,17.006802721088434,0.17796610169491528,139.93482722812288,0.2857142857142857,0.45516551724137927,Augustana (SD),-54.551,1.0805999999999993,0.9613981180872001,0.7591463414634146,0.46204284576822074,2
Azusa Pacific,2025,6,PacWest,146,15,0,0,7,168,39,6,2,5,24,0,1,0,31.178158778136165,2.944618289041455,-0.9666808911282003,3.7976436781609197,0.40108030079237805,32,0,16,6,0.2671232876712329,0.4383561643835616,0.3630952380952381,1.06880405751708,104.1282434510248,26,,8.928571428571429,19.047619047619047,0.17123287671232873,91.2374261874064,0.14285714285714285,0.4189821428571429,Azusa Pacific,-124.397,0.6856000000000004,0.8945679740882487,0.9347568208778174,-0.1611151822100757,2
Barry,2025,9,Sunshine State,219,25,0,0,8,252,66,11,0,3,33,23,4,4,41.39655601916361,-1.929311061345989,-0.5139498638047044,9.11262643678161,0.37536417289512036,50,5,26,9,0.3013698630136986,0.3926940639269406,0.39285714285714285,1.1357409934876617,108.14445960925968,52,82.14285714285714,9.920634920634921,19.841269841269842,0.091324200913242,88.14261727892752,0.13095238095238096,0.3484007936507936,Barry,-175.691,0.9988000000000008,1.1508010152708192,1.096689497716895,-0.24006009719025234,2
Barton,2025,12,Conference Carolinas,363,38,0,9,16,426,110,22,2,5,76,15,0,3,71.34795507296512,-8.655302103935227,-0.3548167094676491,18.38334482758621,1.2492025704480978,40,4,69,12,0.30303030303030304,0.41597796143250687,0.38497652582159625,1.0744391600661465,104.4663496039688,81,78.94736842105263,8.92018779342723,9.389671361502346,0.11294765840220383,91.53699639147057,0.1784037558685446,0.35774882629107985,Barton,-207.465,2.1760000000000006,2.143866412365301,1.0408006814310051,-0.0531683192316561,2
Belmont Abbey,2025,10,Conference Carolinas,288,44,0,2,24,358,93,32,1,5,82,18,0,3,64.9125768931217,-1.0175368647252974,3.433825114968356,3.99182183908046,1.1910572856568051,60,4,84,10,0.3229166666666667,0.4930555555555556,0.44972067039106145,1.038693099910332,102.32158599461994,55,81.81818181818183,12.290502793296088,16.75977653631285,0.1701388888888889,125.38694150458736,0.22905027932960895,0.39937988826815646,Belmont Abbey,-127.418,3.335399999999998,3.460514425195203,0.8463531669865643,0.4803936142650511,2
Benedict,2025,2,SIAC,9,1,0,0,0,10,2,1,0,0,2,0,0,0,1.441418843573832,-0.527548544710031,0.8461157566078977,0.29900000000000004,0.17861850270542806,0,0,0,2,0.2222222222222222,0.3333333333333333,0.3,1.09041019683648,105.42461181018881,1,,10.0,0.0,0.1111111111111111,51.36934312250312,0.2,0.2702,Benedict,-37.752,0.29960000000000025,0.687586407993989,1.410763888888889,-0.4752191916513848,2
Bentley,2025,3,NE10,67,11,0,0,2,80,20,3,0,2,19,1,0,2,14.29506627834392,2.5897610663462087,-1.6089477795780707,1.536241379310345,0.7701862769538356,16,1,11,3,0.29850746268656714,0.43283582089552236,0.4125,0.8989387320103911,93.93632392062347,15,50.0,13.750000000000002,20.0,0.13432835820895522,102.26728361779092,0.2375,0.39592499999999997,Bentley,-60.269000000000005,0.529600000000001,0.2687298854850951,1.0406926406926407,0.24016196143670282,2
Biola,2025,11,PacWest,272,23,0,1,6,302,66,6,2,5,37,8,0,3,46.85357766809227,-3.7279435932704423,0.6227613367695355,15.55831034482759,0.6664762900241397,65,4,30,11,0.2426470588235294,0.33455882352941174,0.31456953642384106,1.0632211538461538,103.79326923076924,53,66.66666666666666,7.6158940397351,21.52317880794702,0.09191176470588233,55.27848417472274,0.12251655629139073,0.3198476821192053,Biola,-204.76000000000002,-0.5165999999999982,-0.5259850458795087,0.869476520400308,-0.06816555839690697,2
Bloomsburg,2025,4,PSAC,64,7,0,0,2,73,16,4,0,0,9,1,2,0,10.064795874489553,-2.035981413089507,0.27565695816194047,1.5792011494252876,0.012592222109240325,24,0,7,4,0.25,0.3125,0.3424657534246575,1.2007514946174076,112.04508967704444,12,100.0,9.58904109589041,32.87671232876712,0.0625,57.14899933632698,0.1232876712328767,0.2583972602739726,Bloomsburg,-85.504,-0.3125999999999996,-0.31104890538715063,0.8390269151138717,-0.06152555482259592,2
Bluefield St.,2025,8,DII Independent,183,34,0,2,9,228,46,12,1,0,25,8,2,1,30.97297082361399,9.033526752072191,-3.7329687869606376,11.045816091954025,0.547904538402313,58,8,22,8,0.25136612021857924,0.32786885245901637,0.39035087719298245,1.069739405547952,104.18436433287712,33,50.0,14.912280701754385,25.438596491228072,0.07650273224043713,72.60597368624255,0.10964912280701754,0.25149122807017543,Bluefield St.,-138.538,-0.14239999999999947,-0.16122201819931448,0.8709129511677284,-0.002284563955731206,2
