Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,IP_float,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
Adam Muirhead,9297810,R/R,A&M-Corpus Christi,Southland,2,0,11.57,2.1,2.3333333333333335,3,3,3,3,3,1,0,0,1,15,2,2,64,0.20833333333333331,11.57142857142857,11.57142857142857,3.8571428571428568,11.57142857142857,11.57142857142857,0.0,20.0,20.0,0.0,33.33333333333333,12.73888601578501,8.903639163610524,9.615019848553086,-0.08185586644605426,Jr,2,0,-0.2610238095238144,-0.0659999999999998,4.299000000000001,-0.1318333333333273,1,2025
Luke Robertson,9297819,R/R,A&M-Corpus Christi,Southland,2,0,6.75,2.2,2.6666666666666665,3,2,2,3,2,0,1,1,1,16,3,2,63,0.8500000000000001,6.75,10.125,0.0,6.75,10.125,66.66666666666666,12.5,18.75,-6.25,0.0,7.596028872927867,9.115187877275192,88.9283823662691,-0.03481073743014061,So,3,2,0.058988509488302025,-0.020999999999999998,2.4030000000000005,-0.0816645658263302,1,2025
Easten Smith,9297598,R/R,A&M-Corpus Christi,Southland,4,0,3.0,6.0,6.0,4,4,2,6,9,0,1,0,3,32,4,5,137,0.42500000000000004,13.5,9.0,0.0,6.0,6.0,0.0,28.125,18.75,9.375,0.0,6.096028872927867,6.99627124587443,150.6348366072307,-0.005233660330196182,Jr,0,0,-0.1330171478056155,-0.10199999999999979,13.796000000000001,-0.08590177111330294,1,2025
Tito Santos,9297806,R/R,A&M-Corpus Christi,Southland,1,0,9.0,2.0,2.0,2,2,2,4,1,0,0,0,1,13,2,3,49,0.0,4.5,18.0,0.0,9.0,9.0,0.0,7.6923076923076925,30.76923076923077,-23.076923076923077,0.0,11.096028872927867,12.44639243234771,51.90450982169212,-0.04370404761090451,Fr,0,0,,0.0,3.9320000000000004,0.0,1,2025
Tristan Crane,9297593,B/R,A&M-Corpus Christi,Southland,4,1,4.15,8.2,8.666666666666666,9,5,4,4,7,0,0,1,4,42,11,5,153,0.7777777777777777,7.269230769230769,4.153846153846154,0.0,5.1923076923076925,9.346153846153847,50.0,16.666666666666664,9.523809523809524,7.142857142857141,0.0,5.7498750267740215,7.463798006037669,131.71152397333583,0.03617344862910967,Fr,2,1,0.032490626355659205,-0.05660000000000029,19.216,-0.08351226097104408,1,2025
Braden LaRusso,9297595,R/R,A&M-Corpus Christi,Southland,3,0,2.25,8.0,8.0,9,4,2,2,3,0,0,0,3,37,8,10,123,0.7666666666666666,3.375,2.25,0.0,4.5,10.125,33.33333333333333,8.108108108108109,5.405405405405405,2.7027027027027035,0.0,5.721028872927867,7.071392432347711,162.976127455423,0.01729699951793643,Jr,3,1,0.0038644691817805027,-0.050400000000000104,19.411,-0.10353347338935434,1,2025
Gage Burdick,9297596,L/L,A&M-Corpus Christi,Southland,2,2,10.8,6.2,6.666666666666667,5,8,8,6,6,0,0,0,0,31,10,4,124,0.0,8.1,8.1,0.0,10.799999999999999,6.75,0.0,19.35483870967742,19.35483870967742,0.0,0.0,5.496028872927868,7.521574212057633,22.28541178603054,0.04504643926675774,Jr,0,0,-0.27764349691881074,-0.2909999999999999,18.192,-0.0006351916057793505,1,2025
Luke Singleton,9297600,L/L,A&M-Corpus Christi,Southland,3,3,13.94,10.1,10.333333333333334,17,16,16,6,4,1,2,1,3,53,5,17,185,0.0,3.4838709677419355,5.225806451612902,0.8709677419354839,13.935483870967742,14.806451612903224,0.0,7.547169811320755,11.320754716981133,-3.7735849056603783,16.666666666666664,7.692803066476254,7.218820617107131,-29.38345923173462,-0.04561820867499555,Jr,0,0,-0.1980200059342324,-0.8075999999999997,14.945000000000002,-0.603568083395792,1,2025
Nathan Darden,9297603,R/R,A&M-Corpus Christi,Southland,2,0,37.8,1.2,1.6666666666666665,7,7,7,3,1,1,1,0,0,15,2,2,54,0.3499999999999999,5.4,16.200000000000003,5.4,37.800000000000004,37.800000000000004,0.0,6.666666666666667,20.0,-13.333333333333332,33.33333333333333,16.596028872927867,11.226683279883586,-422.00105874889306,-0.10155593573612132,Jr,0,0,-0.2840518418688235,-0.1207999999999998,-1.503,-0.14900476190476067,1,2025
Michael Infranca,9297797,L/L,A&M-Corpus Christi,Southland,3,0,0.0,3.1,3.3333333333333335,2,0,0,1,2,0,0,1,0,13,7,1,39,0.7000000000000001,5.3999999999999995,2.6999999999999997,0.0,0.0,5.3999999999999995,25.0,15.384615384615385,7.6923076923076925,7.6923076923076925,0.0,4.2960288729278675,7.13179234770954,200.0,0.043569039279881955,Jr,4,1,0.03953810835629353,0.025799999999999795,8.008000000000001,0.037222222222218264,1,2025
