Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
AUM,51,Gulf South,1683,192,4,24,60,1963,503,83,5,29,342,42,1,27,325.9579626250809,-38.05229592851684,-6.684584704040733,4.896465925826751,-1.5892895811685486,258,19,293,50,2022,2,105.88085036333308,386,68.85245901639344,9.7809475292919,13.143148242485992,0.29887106357694593,0.4058229352346999,0.3866530820173204,0.106951871657754,91.84389451618445,0.17422312786551197,0.3806306905370844,AUM,-874.152,12.577399999999999,8.241301597784846,0.833502024291498,6.848523781692991
Academy of Art,50,PacWest,1605,120,1,20,59,1805,401,67,12,22,214,40,4,25,183.60942215558765,-112.85204944036737,-8.81207609170972,11.222815236310083,-7.102129047890595,383,14,184,50,2022,2,99.4201946036356,300,74.07407407407408,6.64819944598338,21.21883656509695,0.2498442367601246,0.34766355140186916,0.3218836565096953,0.09781931464174456,61.93178407779838,0.1185595567867036,0.3214170826400443,Academy of Art,-1029.584,1.6210000000000075,1.4100992887116295,0.910967837557433,0.36932687011564047
Adams St.,42,RMAC,1349,152,5,18,44,1568,398,77,5,44,253,20,8,16,275.74225429644576,-84.26270750427483,-3.5284218450699933,9.991621421877092,-4.882668862771365,351,13,236,42,2022,2,111.95002995938566,272,60.60606060606061,9.693877551020408,22.385204081632654,0.2950333580429948,0.4573758339510749,0.382015306122449,0.1623424759080801,102.32049893808988,0.16135204081632654,0.3891925545571244,Adams St.,-755.664,4.496200000000004,4.001357066927849,0.903823880088571,0.9732846736282825
Adelphi,47,NE10,1592,188,6,27,37,1850,509,90,12,43,318,46,4,23,356.4882242015416,30.651257794594496,-1.7200706844738278,9.300664024635159,4.233599123318346,331,9,288,47,2022,2,105.45910890574709,364,83.63636363636363,10.162162162162163,17.89189189189189,0.31972361809045224,0.4723618090452261,0.4,0.15263819095477388,110.36281865184546,0.17189189189189188,0.40480467899891176,Adelphi,-818.904,8.718000000000002,9.431533983615896,1.0012454710144927,-0.7243784933976425
Alabama Huntsville,53,Gulf South,1748,198,2,19,107,2074,551,99,7,58,391,64,9,29,427.2461300199123,51.20673789506014,2.3570368342665597,15.16043360556969,6.341593138915858,305,18,343,53,2022,2,103.54019103157913,387,78.04878048780488,9.546769527483125,14.705882352941178,0.31521739130434784,0.4794050343249428,0.4136933461909354,0.16418764302059496,115.49716271227703,0.1885245901639344,0.4173642512077295,Alabama Huntsville,-872.595,15.251399999999999,12.91486429310404,0.9246901239504198,3.5786610566030053
Albany St. (GA),46,SIAC,1576,264,3,22,106,1971,551,84,13,38,505,68,3,20,493.94182944871477,83.82334759025154,-7.184318345517935,11.153352523764896,8.511441481398865,259,21,444,43,2022,2,100.18800690130116,416,76.40449438202246,13.39421613394216,13.140537798072044,0.3496192893401015,0.491751269035533,0.4687975646879756,0.1421319796954315,132.53574543663277,0.25621511922881784,0.458415776081425,Albany St. (GA),-511.8,9.560299999999996,8.075350889567616,0.7644121483137694,4.431383888378072
Alderson Broaddus,44,MEC,1259,151,0,13,44,1467,298,55,2,20,172,25,2,1,160.94503522619164,-126.26422059097364,-8.813779758084937,3.0209726871067075,-7.81549408761269,383,6,143,44,2022,2,112.09061647997258,221,80.64516129032258,10.29311520109066,26.10770279481936,0.23669579030976967,0.3312152501985703,0.33605998636673484,0.09451945988880062,61.87078112105085,0.11724608043626449,0.32875255623721883,Alderson Broaddus,-785.6080000000001,-0.4705999999999931,1.1187214527117375,0.9716574585635359,-1.6030485124717804
Alliance,29,CACC,800,73,0,1,19,893,170,27,5,6,75,26,5,2,56.88224400945817,-93.1454042137552,-1.9422114356211826,-1.689123470344089,-4.510822774209146,282,7,61,29,2022,2,94.08654864716482,132,78.78787878787878,8.174692049272117,31.57894736842105,0.2125,0.28125,0.2933930571108623,0.06875,39.527133119786264,0.083986562150056,0.28637513997760355,Alliance,-562.032,-2.5923999999999956,-2.2453527459144147,0.5488927738927738,-2.4776097766463594
American Int'l,44,NE10,1456,158,3,14,62,1693,407,72,13,20,260,98,23,7,257.0336519109651,-12.875153326120957,8.729705859519067,4.618090828758871,2.3904010166085112,386,18,223,44,2022,2,95.98086368430286,302,84.48275862068965,9.332545776727702,22.79976373301831,0.27953296703296704,0.38804945054945056,0.37212049616066156,0.10851648351648352,84.06252941974014,0.1535735380980508,0.3673995257854179,American Int'l,-850.472,4.5770000000000035,2.753036409937173,0.9133157810754747,2.258373766957349
Anderson (SC),46,SAC,1549,176,2,16,47,1790,451,75,22,26,322,44,4,23,291.8919127855369,-6.253605625549982,2.8349807825848954,10.927139991966797,2.069172328775404,324,12,284,46,2022,2,98.105919068146,328,78.57142857142857,9.83240223463687,18.100558659217878,0.2911555842479019,0.4183344092963202,0.3776536312849162,0.12717882504841832,92.35135609093939,0.17988826815642459,0.37786394176931687,Anderson (SC),-700.371,11.2858,8.81846952893057,0.9750041729260557,2.7566604175706075
Angelo St.,65,Lone Star,2140,359,4,54,149,2706,763,166,19,57,677,198,12,43,707.0228094543489,167.5919947811591,14.143442557320194,9.80027130807337,13.849715516276456,333,43,593,65,2022,2,106.20227981366205,521,82.15767634854771,13.26681448632668,12.3059866962306,0.35654205607476636,0.5317757009345795,0.47117516629711753,0.17523364485981313,142.21469911968242,0.2501847745750185,0.46832727946627123,Angelo St.,-833.76,25.55499999999999,22.603931188951847,0.8277442817494497,8.269130170033467
Ark.-Fort Smith,44,Lone Star,1355,200,2,16,64,1637,364,63,10,28,257,28,1,17,266.3765227230693,-23.74854586183508,-10.116446957936793,8.532642334984603,-1.067303879602482,345,11,220,44,2022,2,93.65117584741192,263,71.7948717948718,12.217470983506413,21.075137446548563,0.2686346863468635,0.3918819188191882,0.38485033598045204,0.12324723247232472,88.22069328151261,0.15699450213805743,0.37751439069197795,Ark.-Fort Smith,-778.07,8.367400000000004,5.969154808550443,1.0324092912851814,2.135576590741743
Ark.-Monticello,47,GAC,1588,220,9,14,57,1888,439,90,5,55,318,39,2,23,329.20779069186955,-47.548299089474426,2.141255309853049,7.682576007497658,-1.0975351681553875,357,8,290,47,2022,2,105.11048345137348,289,82.97872340425532,11.652542372881355,18.908898305084744,0.276448362720403,0.4433249370277078,0.3840042372881356,0.1668765743073048,99.65242796976467,0.1684322033898305,0.3879935828877005,Ark.-Monticello,-829.048,8.106400000000002,8.015940130619448,1.0516490259242215,-0.3076650310672484
Arkansas Tech,50,GAC,1615,193,5,26,76,1915,472,85,9,59,325,52,7,18,350.9145149081804,-26.114909438799646,-7.349983045533126,14.06108788325077,-0.23976601924535365,324,18,291,50,2022,2,103.5947991020436,319,74.28571428571429,10.078328981723237,16.91906005221932,0.29226006191950465,0.46563467492260063,0.389556135770235,0.17337461300309598,106.13993726830788,0.16971279373368145,0.39632230971128607,Arkansas Tech,-882.008,8.648800000000001,9.28403593457915,0.9231367557629756,0.08489011674218361
