Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
Adrian,40,Michigan Intercol. Ath. Assn.,1394.0,188.0,1.0,30.0,63.0,1676.0,445.0,92.0,27.0,28.0,340.0,71.0,5.0,19.0,356.27280688890386,56.74187527884392,6.95428104107539,9.979775,5.894079220407276,273.0,15.0,303.0,39,2022,3,99.1022884351396,298.0,82.55813953488372,11.217183770883054,16.288782816229116,0.31922525107604016,0.48421807747489237,0.4158711217183771,0.1649928263988522,121.60347007180957,0.20286396181384247,0.4229068100358423,Adrian,-678.0760000000001,12.043799999999997,11.323924075203536,0.8910565338276182,2.1923900336944797
Albertus Magnus,33,Great Northeast,988.0,130.0,0.0,10.0,38.0,1166.0,248.0,42.0,5.0,28.0,181.0,14.0,3.0,9.0,165.93531364318557,-46.71183402646197,-6.890451937110017,5.3332500000000005,-1.3247391286041506,304.0,8.0,173.0,33,2022,3,112.28770102622698,173.0,63.63636363636363,11.149228130360205,26.07204116638079,0.25101214574898784,0.38866396761133604,0.3567753001715266,0.1376518218623482,83.79124614361922,0.15523156089193826,0.3592744425385935,Albertus Magnus,-564.97,4.2230000000000025,3.6602034083562462,0.9258986928104576,0.9007707379421768
Albion,39,Michigan Intercol. Ath. Assn.,1276.0,106.0,2.0,15.0,44.0,1443.0,304.0,60.0,6.0,23.0,189.0,40.0,4.0,8.0,143.44654371934757,-115.81573569070723,-3.8020198393262357,12.070175,-6.599788969408389,295.0,13.0,171.0,39,2022,3,99.64216728006016,215.0,75.47169811320755,7.345807345807345,20.443520443520445,0.23824451410658307,0.3487460815047022,0.316008316008316,0.11050156739811914,63.85230756978084,0.13097713097713098,0.32019318971507993,Albion,-828.373,2.5096000000000087,2.2634239474257805,1.026468408375023,0.18146376614047988
Albright,37,MAC Commonwealth,1103.0,130.0,0.0,8.0,37.0,1278.0,237.0,39.0,6.0,11.0,126.0,28.0,5.0,8.0,110.17328824999761,-102.23978050807256,-9.541241673799476,5.676125,-6.4069686954926794,309.0,17.0,109.0,36,2022,3,99.7974298751119,181.0,62.22222222222222,10.172143974960877,24.178403755868544,0.21486854034451497,0.2910244786944696,0.3161189358372457,0.07615593834995465,50.23691442573535,0.09859154929577464,0.30838810641627545,Albright,-792.5980000000001,-1.7047999999999948,-1.1537354527141461,0.7538461538461538,-1.107733935040949
Alfred St.,43,AMCC,1406.0,189.0,7.0,18.0,32.0,1652.0,406.0,76.0,10.0,28.0,278.0,88.0,7.0,31.0,282.3191101164913,-13.829528102783858,9.73171876709677,2.2282000000000006,1.416201247730291,293.0,16.0,250.0,43,2022,3,107.06527174824508,292.0,84.61538461538461,11.440677966101696,17.736077481840194,0.2887624466571835,0.4167852062588905,0.3837772397094431,0.128022759601707,97.3952765190453,0.1682808716707022,0.3843601953601953,Alfred St.,-817.5660000000001,5.998000000000003,5.7010929933142265,0.8398052959501557,1.4410386756863431
Allegheny,39,NCAC,1249.0,140.0,4.0,33.0,40.0,1466.0,398.0,78.0,17.0,21.0,275.0,85.0,9.0,17.0,279.0588338192409,21.99048227851896,-4.31705683590289,14.3442,2.951757346558883,250.0,25.0,243.0,39,2022,3,95.7935329749904,282.0,77.27272727272727,9.549795361527966,17.053206002728512,0.31865492393915135,0.45876701361088873,0.3969986357435198,0.14011208967173738,110.7251076780492,0.18758526603001363,0.40264746227709186,Allegheny,-653.3040000000001,7.717399999999997,7.089256879117483,0.7220184299131667,3.599389947983769
Alma,39,Michigan Intercol. Ath. Assn.,1254.0,148.0,6.0,20.0,70.0,1498.0,325.0,72.0,7.0,25.0,212.0,14.0,7.0,18.0,227.03431464859244,-52.5680311970317,-2.554174954369078,13.596050000000002,-1.923973060552668,298.0,8.0,193.0,39,2022,3,103.60469990577684,221.0,63.63636363636363,9.879839786381844,19.893190921228303,0.259170653907496,0.3875598086124402,0.3664886515353805,0.12838915470494422,86.03284156763516,0.14152202937249667,0.36649192462987884,Alma,-779.609,7.206000000000008,4.64640515900517,1.0330361966504593,2.3291490600676097
Alvernia,43,MAC Commonwealth,1462.0,144.0,0.0,26.0,55.0,1687.0,405.0,74.0,20.0,18.0,274.0,44.0,3.0,40.0,242.47217167717923,-40.097476009329505,-5.935964441523519,14.705275,-0.6082917355662352,269.0,22.0,242.0,43,2022,3,100.53011484543173,293.0,66.66666666666666,8.535862477771191,15.945465323058682,0.2770177838577291,0.39192886456908343,0.35803200948429165,0.11491108071135431,84.88676737307071,0.16241849436870184,0.3605607587433313,Alvernia,-879.6170000000001,4.858600000000002,4.640649062859714,1.0272268777157045,0.08917265948882136
Amherst,35,NESCAC,1190.0,138.0,1.0,19.0,36.0,1384.0,347.0,66.0,8.0,17.0,244.0,56.0,2.0,6.0,223.60534043470074,-32.34244792471432,13.499160551126023,10.2544,0.7823708670572933,234.0,6.0,220.0,35,2022,3,99.21397636175834,256.0,90.32258064516128,9.971098265895954,16.907514450867055,0.2915966386554622,0.40336134453781514,0.37716763005780346,0.11176470588235293,92.51929431879927,0.17630057803468208,0.37675470332850935,Amherst,-625.537,9.4434,6.97796973850468,0.8743381642512077,3.822656822372285
Anderson (IN),41,HCAC,1409.0,159.0,3.0,14.0,49.0,1634.0,419.0,76.0,17.0,47.0,274.0,54.0,13.0,22.0,305.33470969307126,-1.5021498337476311,-2.9247137011007567,4.209075,0.8636573993183703,304.0,21.0,255.0,41,2022,3,105.8808218931983,279.0,72.0,9.730722154222766,18.6046511627907,0.29737402413058905,0.4755145493257629,0.38555691554467564,0.17814052519517387,111.73589737866183,0.16768665850673195,0.39932432432432435,Anderson (IN),-806.4240000000001,8.466600000000003,8.950821777921616,0.9083291478319103,0.3702486954953379
