Player,Pos,B/T,player_id,Team,Conference,Yr,R/PA,GP,BB,CS,GS,HBP,IBB,K,RBI,SF,AB,PA,H,2B,3B,HR,R,SB,OPS+,Picked,Sac,BA,SlgPct,OBPct,ISO,wOBA,K%,BB%,SB%,wRC+,wRC,Batting,Baserunning,Adjustment,WAR,Clutch,WPA,REA,WPA/LI,wSB,wGDP,wTEB,EBT,Opportunities,OutsOB,GDPOpps,GDP,Division,Season
Tre Jones,OF,0.0,6899505,A&M-Corpus Christi,Southland,Fr,0.15,26,9,0,12,0,0,20,6,0,51,60,10,2,0,1,9,1,58.307161853311214,0,0,0.196,0.294,0.317,0.09799999999999998,0.30745000000000006,33.33333333333333,15.0,100.0,60.602377990649515,5.547674345273447,-2.9742234649455317,0.723028199460735,0.1315343176376696,-0.14340375362746313,0.05715376150035581,-0.15019999999999906,-7.242999999999999,-0.2116596636925977,0.17064171236247766,0.4881956222175111,0.06419086488074632,3.0,11.0,0.0,43.0,2.0,1,2021
Tristan Welch,OF,0.0,6899507,A&M-Corpus Christi,Southland,Jr,0.11827956989247312,50,13,4,48,5,0,52,19,2,166,186,39,6,0,2,22,5,58.43873092207108,1,0,0.235,0.307,0.306,0.07200000000000001,0.3005645161290323,27.956989247311824,6.989247311827956,55.55555555555556,56.25878749223775,15.965162943879923,-10.452720267798911,-1.965618612120449,0.2529506108416723,-1.0576067089456629,-0.09288181595714767,-0.3491999999999985,-12.639999999999997,-0.2739570179743924,-1.2454098017108992,-0.4044864320542718,-0.31572237835527805,3.0,16.0,0.0,118.0,2.0,1,2021
Diego Johnson,INF,0.0,6899511,A&M-Corpus Christi,Southland,Fr,0.1111111111111111,19,5,0,13,0,0,8,3,0,40,45,7,1,0,1,5,0,39.9734803818816,1,0,0.175,0.275,0.267,0.10000000000000003,0.26737777777777777,17.77777777777778,11.11111111111111,0.0,35.32349752901748,2.4251927175691343,-3.9662306400950995,0.03690566905255421,0.23838065565719196,-0.27342026595680663,-0.11926647030040205,-0.37799999999999945,-5.504999999999999,-0.2237923532290092,-0.018348929773451466,-0.3927801038795845,0.4480347027055902,2.0,2.0,0.0,33.0,0.0,1,2021
Bryce Balusek,INF,0.0,6899513,A&M-Corpus Christi,Southland,Fr,0.25,2,2,0,1,0,0,0,0,0,2,4,0,0,0,0,1,0,37.27476532138996,0,0,0.0,0.0,0.5,0.0,0.404,0.0,50.0,0.0,121.50930486472444,0.7415485174680212,0.1734219967867559,0.17273785583694307,0.025092700595493893,0.09253612656142533,0.010541442518430033,0.057999999999999996,0.7859999999999998,0.0622619047619047,-0.0036697859546902935,-0.047609709561161756,0.2240173513527951,1.0,1.0,0.0,4.0,0.0,1,2021
Nate White,INF,0.0,6899515,A&M-Corpus Christi,Southland,Fr,0.17391304347826086,19,3,1,6,1,0,7,0,0,19,23,3,0,0,0,4,1,21.767287863190464,0,0,0.158,0.158,0.304,0.0,0.2672608695652174,30.434782608695656,13.043478260869565,50.0,35.24974796968662,1.2369549860282236,-2.0297725078890516,0.5582668926031187,0.23838065565719196,-0.053048973535717935,-0.16757927918564489,-0.4238,-5.331999999999999,-0.2019341761426651,-0.3517192622966628,0.7619514521941912,0.14803470270559024,1.0,2.0,0.0,20.0,2.0,1,2021
Brandon Petkoff,OF,0.0,6899519,A&M-Corpus Christi,Southland,Fr,0.13846153846153847,26,10,0,12,2,0,14,1,0,53,65,10,1,0,1,9,0,56.79974682950859,0,1,0.189,0.264,0.338,0.07500000000000001,0.31727692307692307,21.53846153846154,15.384615384615385,0.0,66.80152542973092,6.62475436169461,-2.6073015993759503,-0.18059327443204018,0.1315343176376696,-0.19159821849033834,-0.19599270821621387,-0.02299999999999932,-5.034999999999999,0.17343842383610714,-0.03669785954690293,0.01200047699809198,-0.15589589188322922,1.0,6.0,0.0,41.0,1.0,1,2021
Steven Rivera-Chijin,SS,0.0,6899526,A&M-Corpus Christi,Southland,Sr,0.1262135922330097,35,9,0,29,8,0,17,9,3,83,103,18,0,2,1,13,3,66.3188239304654,1,3,0.217,0.301,0.34,0.08399999999999999,0.3249805825242718,16.50485436893204,8.737864077669903,100.0,71.66124808765372,11.261380580816937,-3.367877326725643,2.9018651698202866,1.3102841641598626,0.09635005748840059,0.2784517444006933,0.4638000000000001,-2.534999999999999,0.22380971901394095,0.5412834247249554,2.607317945728217,-0.24673620063288582,3.0,8.0,1.0,75.0,7.0,1,2021
Justin Taylor,C,0.0,6899529,A&M-Corpus Christi,Southland,So,0.11267605633802817,22,6,1,21,2,0,17,10,3,60,71,20,4,2,1,8,1,133.50977578974286,0,2,0.333,0.517,0.394,0.184,0.41074647887323945,23.943661971830984,8.450704225352112,50.0,125.76520642236177,13.623506396799435,3.5392606547069763,-0.948613635089604,1.3756466020013507,0.3777905853045214,-0.11024716302380128,0.40120000000000033,0.10400000000000043,0.5232876571898963,-0.3774077639794948,-0.5594140873436506,-0.011791783766458508,3.0,12.0,0.0,47.0,0.0,1,2021
Josh Caraway,C,0.0,7118058,A&M-Corpus Christi,Southland,Fr,0.18285714285714286,45,15,1,42,8,0,53,27,2,150,175,43,14,4,6,32,4,137.56997996957682,1,0,0.287,0.553,0.377,0.26600000000000007,0.4141771428571428,30.28571428571429,8.571428571428571,80.0,127.92938250104766,34.15689585866768,9.301360578862328,-0.09914354266971681,2.8138225950027627,1.0337176329694286,0.5265598579397259,1.9292000000000005,5.262000000000002,1.5235285047515827,0.18405948349625714,0.13122085011659945,-0.4144238762825734,7.0,26.0,1.0,115.0,3.0,1,2021
Leo Markotic,2B,0.0,7118060,A&M-Corpus Christi,Southland,So,0.09202453987730061,48,14,1,41,6,0,39,19,3,140,163,36,6,1,1,15,5,75.9021364148877,1,3,0.257,0.336,0.344,0.07900000000000001,0.3332883435582822,23.92638036809816,8.588957055214724,83.33333333333334,76.90205796632549,19.124743087784317,-4.026412629977241,0.24331460473009137,0.6022248142918534,-0.2735120429117392,0.3416859409270225,0.6872000000000001,-6.497999999999996,0.3902175779202158,0.3730501256321862,1.559806285774857,-1.6895418066769519,1.0,12.0,2.0,121.0,6.0,1,2021
