Player,Pos,B/T,player_id,Team,Conference,Yr,R/PA,GP,BB,CS,GS,HBP,IBB,K,RBI,SF,AB,PA,H,2B,3B,HR,R,SB,OPS+,Picked,Sac,BA,SlgPct,OBPct,ISO,wOBA,K%,BB%,SB%,wRC+,wRC,Batting,Baserunning,Adjustment,WAR,Clutch,WPA,REA,WPA/LI,wSB,wGDP,wTEB,EBT,Opportunities,OutsOB,GDPOpps,GDP,Division,Season
Dylan Walsh,INF,L/R,d3-playerid-11881,Brandeis,UAA,So,0.18181818181818182,3,1.0,1.0,3,0.0,0.0,3.0,1.0,0.0,10.0,11.0,4.0,0.0,0.0,0.0,2.0,0.0,116.0842983354188,0.0,0.0,0.4,0.4,0.455,0.0,0.38636363636363635,27.27272727272727,9.090909090909092,0.0,84.26787222149905,1.8689559313647914,-0.47878108437085065,-0.8457482513238744,0.7259627618308766,-0.01501566909084684,-0.09299785806318284,-0.1232,-4.460999999999999,0.00987496649691779,-0.6831356983819732,-0.06901481674031712,-0.09359773620158414,0.0,1.0,0.0,6.0,0.0,3,2025
Keith Lee,C,R/R,d3-playerid-21662,Brandeis,UAA,Fr,0.14285714285714285,2,1.0,0.0,2,0.0,0.0,1.0,0.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,14.699385830205136,0.0,0.0,0.167,0.167,0.286,0.0,0.15971428571428573,14.285714285714285,14.285714285714285,0.0,44.20393829420428,0.7151737712445293,-0.7788406933145157,0.8290820776144573,2.412069821567106,0.22824349689448395,-0.11530936568175655,-0.33399999999999974,-3.9139999999999997,-0.0934406343182433,-0.019807838900360822,0.9424876527164023,-0.09359773620158414,0.0,1.0,0.0,5.0,2.0,3,2025
Eddie Zanor,UT,L/L,d3-playerid-12012,Brandeis,UAA,Sr,0.16666666666666666,3,2.0,0.0,3,0.0,0.0,1.0,2.0,0.0,10.0,12.0,2.0,1.0,0.0,0.0,2.0,0.0,59.95993516096008,0.0,0.0,0.2,0.3,0.333,0.09999999999999998,0.2660833333333333,8.333333333333332,16.666666666666664,0.0,63.00638570254412,1.607491130689537,-0.9536765228402543,0.0025754830492538405,0.7259627618308766,0.009337569575432397,0.02063911357459712,0.0640000000000002,-3.981,0.0412963702963708,-0.029711758350541233,-0.08051728619703664,0.11280452759683171,1.0,2.0,0.0,7.0,0.0,3,2025
Ben Kuja,UT,B/R,d3-playerid-3310,Brandeis,UAA,Fr,0.15384615384615385,3,2.0,0.0,3,1.0,0.0,1.0,2.0,0.0,10.0,13.0,2.0,0.0,0.0,0.0,2.0,1.0,48.19584044287719,0.0,0.0,0.2,0.2,0.385,0.0,0.18023076923076922,7.6923076923076925,15.384615384615385,100.0,47.83055817054577,1.4078912433436315,-1.3667070479803094,0.7533604414370382,0.7259627618308766,0.031022491692406597,0.0,0.0,0.0,0.0,0.15048040274909796,0.3964777748895243,0.20640226379841586,1.0,1.0,0.0,9.0,1.0,3,2025
Jake Freed,OF,L/L,d3-playerid-17284,Brandeis,UAA,Sr,0.09090909090909091,3,4.0,0.0,3,0.0,0.0,1.0,1.0,0.0,7.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,110.50511223599896,0.0,0.0,0.286,0.286,0.545,0.0,0.2167272727272727,9.090909090909092,36.36363636363637,0.0,54.28190471300006,1.311275118453853,-1.036461897281789,0.07796393035701626,0.2927269200930954,-0.02004239717848339,0.01066957165641405,0.17739999999999978,-5.415,0.1410541125541121,-0.059423516701082466,-0.06901481674031712,0.20640226379841586,1.0,1.0,0.0,6.0,0.0,3,2025
CP Pyle,OF,R/R,d3-playerid-9550,Brevard,USA South,Sr,0.05263157894736842,5,1.0,0.0,5,0.0,0.0,4.0,1.0,0.0,18.0,19.0,2.0,1.0,0.0,0.0,1.0,0.0,-17.93345533310582,0.0,0.0,0.111,0.167,0.158,0.05600000000000001,0.16415789473684209,21.052631578947366,5.263157894736842,0.0,62.99055923214496,1.9664186377380113,-0.9976142485414344,0.5255598525039817,0.48787820015515904,-0.0613041321623688,0.014609052467843608,-0.389,-13.892,-0.3402037661242313,-0.019807838900360822,0.33896542760592674,0.20640226379841586,1.0,1.0,0.0,14.0,1.0,3,2025
Logan Sawyer,INF,R/R,d3-playerid-23182,Brevard,USA South,Jr,0.09090909090909091,5,4.0,2.0,5,1.0,0.0,3.0,0.0,0.0,17.0,22.0,6.0,1.0,0.0,0.0,2.0,0.0,130.55932392977664,0.0,0.0,0.353,0.412,0.5,0.059,0.34654545454545455,13.636363636363635,18.181818181818183,0.0,95.23050664164666,3.476106722263355,0.04406864341347011,-1.9131993834210756,1.2099379363847944,-0.13257333502239446,-0.07408291782307674,-0.012999999999999992,-12.655,0.0618316089225532,-1.3662713967639464,-0.17253704185079283,-0.37439094480633656,0.0,4.0,0.0,15.0,0.0,3,2025
Nico Bartolotti,INF,R/R,d3-playerid-27829,Brevard,USA South,So,0.15789473684210525,5,2.0,0.0,5,0.0,0.0,1.0,2.0,0.0,17.0,19.0,5.0,1.0,0.0,0.0,3.0,0.0,82.14420648011225,0.0,0.0,0.294,0.353,0.368,0.059,0.33289473684210524,5.263157894736842,10.526315789473683,0.0,92.81752177952255,2.9245776335539113,-0.039455252725534656,0.7038489079583955,1.2099379363847944,0.07770764613086226,0.005731751185673938,0.0314,-9.782,0.019373694932518414,-0.059423516701082466,0.35046789706264625,0.4128045275968317,2.0,2.0,0.0,13.0,1.0,3,2025
Hayden Jennings,C,R/R,d3-playerid-14657,Brevard,USA South,Sr,0.1,4,1.0,0.0,3,2.0,0.0,1.0,1.0,0.0,7.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,99.03262901452243,0.0,0.0,0.286,0.286,0.5,0.0,0.23759999999999998,10.0,10.0,0.0,75.97263769085072,1.2544494230143433,-0.305567885553786,-0.19292535879755573,4.824139643134212,0.32339881949376686,0.054422870672870605,0.0919999999999999,-5.938,0.02846001221001219,-0.049519597250902055,-0.06901481674031712,-0.07439094480633657,1.0,4.0,0.0,6.0,0.0,3,2025
Easton King,OF,L/R,d3-playerid-11951,Brevard,USA South,So,0.10526315789473684,5,1.0,2.0,5,1.0,0.0,4.0,4.0,0.0,17.0,19.0,6.0,0.0,2.0,0.0,2.0,0.0,154.45603040988888,1.0,0.0,0.353,0.588,0.421,0.235,0.4828947368421053,21.052631578947366,5.263157894736842,0.0,119.33244481758436,3.776340933015956,0.8123080467365099,-1.7224736221351724,0.48787820015515904,-0.09407376301501767,-0.05072414829322741,0.3311999999999998,-2.718,0.3224116482932272,-1.3266557189632247,-0.11502469456719522,-0.28079320860475243,0.0,3.0,0.0,10.0,0.0,3,2025
