Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,Division,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch
AUM,188,Gulf South,411.90000000000003,487,74,5,64,19,52,288,246,0.23492887294599926,434,189,55,307,1940,4711,2022,2,5.3750910415149304,29.6875,6.29278951201748,6.707938820101966,10.64093226511289,4.1296431172614705,1.1361981063364894,9.742268041237114,15.824742268041236,6.082474226804122,10.699588477366255,6.609247210558825,6.458303528299595,105.88085036333308,119.42673357721642,AUM,946.44,-7.162200000000003,-6.15844489686228,0.9939515561188565,-1.0473388819434835
Academy of Art,120,PacWest,408.5,476,105,18,57,34,43,358,311,-0.0683873111211517,441,172,95,347,1954,2434,2022,2,6.851897184822522,59.64912280701754,7.887392900856793,7.6450428396572825,10.487148102815176,3.789473684210526,0.9473684210526315,8.802456499488228,17.75844421699079,8.95598771750256,8.884297520661157,6.311949824917518,6.439979844825102,99.4201946036356,90.61474213834263,Academy of Art,858.152,-11.333,-8.755390182309748,0.8968280701754386,-3.881368608907641
Adams St.,149,RMAC,311.9,519,130,19,80,49,82,452,387,1.175753869084102,330,174,49,261,1705,4243,2022,2,11.167040718178905,61.25000000000001,13.042641872394999,7.531260019236935,14.975953831356206,5.020840012824623,2.366142994549535,10.205278592375366,15.30791788856305,5.102639296187684,19.902912621359224,8.570661876413796,6.821264742415602,111.95002995938566,41.67975554082754,Adams St.,470.432,-18.735599999999994,-16.292615645542398,0.7136946660409823,-9.958946670217077
Adelphi,144,NE10,391.0,390,61,8,51,20,33,226,191,2.783096894305875,390,158,53,368,1766,6455,2022,2,4.396419437340153,39.21568627450981,5.202046035805626,8.470588235294118,8.976982097186701,3.636828644501279,0.7595907928388747,8.946772366930917,20.838052095130237,11.89127972819932,7.801418439716312,5.515354458550014,5.784551956515291,105.45910890574709,133.83358749564172,Adelphi,962.5070000000001,-0.7916000000000077,-1.5048065803140667,0.9963534250909666,0.7103093867828304
Alabama Huntsville,221,Gulf South,424.8,553,134,9,116,57,51,368,307,1.7867151071037533,472,172,77,377,2072,4171,2022,2,6.504237288135593,49.137931034482754,7.796610169491525,7.987288135593221,11.716101694915254,3.6440677966101696,1.0805084745762712,8.301158301158301,18.194980694980696,9.893822393822395,9.751434034416825,6.225850988284482,6.220102233489644,103.54019103157913,100.29659709763608,Alabama Huntsville,905.488,-13.1754,-13.133131234345223,0.9403585657370519,-0.8779071929733373
Albany St. (GA),151,SIAC,356.5,374,78,2,34,24,28,300,238,4.747312227883269,389,224,60,283,1709,2718,2022,2,6.008415147265077,70.58823529411765,7.5736325385694245,7.144460028050491,9.44179523141655,5.654978962131837,0.7068723702664796,13.107080163838503,16.559391456992394,3.4523112931538904,6.71462829736211,6.504876775190555,6.961196885341748,100.18800690130116,104.81538414737103,Albany St. (GA),565.944,-7.217700000000002,-4.8453249384832064,0.8136247292774168,-4.025718111560354
Alderson Broaddus,167,MEC,307.5,419,94,15,106,50,38,422,327,0.5786885934793377,291,267,75,324,1690,2439,2022,2,9.570731707317073,47.16981132075472,12.351219512195122,9.482926829268294,12.263414634146342,7.814634146341463,1.1121951219512196,15.79881656804734,19.171597633136095,3.3727810650887555,11.55015197568389,7.517367225480752,7.262188743793658,112.09061647997258,64.48154227907412,Alderson Broaddus,502.44300000000004,-14.192599999999995,-13.012156637817828,0.7937613430127042,-4.868028791888644
Alliance,73,CACC,194.6,316,79,17,2,2,29,398,285,-2.67068214244295,279,185,64,129,1198,3386,2022,2,13.180883864337103,100.0,18.40698869475848,5.966084275436794,14.61459403905447,8.55601233299075,1.341212744090442,15.442404006677796,10.767946577629383,-4.674457429048413,9.415584415584416,9.131749030141552,9.1934615602386,94.08654864716482,-22.351243213840277,Alliance,181.008,-12.419399999999987,-13.591662675947688,0.4668067226890756,-13.013352625582439
American Int'l,145,NE10,346.7,529,114,16,26,6,46,427,339,-2.1010909417980437,358,198,44,270,1817,6437,2022,2,8.800115373521777,23.076923076923077,11.084511104701471,7.008941447937699,13.732333429477935,5.139890395154312,1.1941159503893857,10.89708310401761,14.859658778205834,3.9625756741882228,11.386138613861387,6.942915894581519,6.689840894077524,95.98086368430286,54.47879623578367,American Int'l,638.688,-16.178599999999992,-13.971075626844417,0.8115632790731779,-5.964030380510042
Anderson (SC),202,SAC,375.5,449,76,14,84,36,42,354,258,-1.2919753508464795,334,243,70,411,1896,1773,2022,2,6.183754993342211,42.857142857142854,8.484687083888149,9.8508655126498,10.761651131824234,5.824234354194408,1.0066577896138482,12.81645569620253,21.677215189873415,8.860759493670885,11.170212765957446,6.447240673349718,6.257878274662158,98.105919068146,99.95863019399158,Anderson (SC),686.488,-11.3124,-9.859849586133251,0.9578728175556623,-1.9500690091844746
