Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
Luke Turner,8273813?year_stat_category_id=15081,R/R,AUM,Gulf South,16,13,6.75,66.2,88,56,50,25,50,9,14,5,12,314,66,68,937,0.0,6.7975830815709966,3.3987915407854983,1.2235649546827796,7.613293051359516,11.963746223564955,0.0,15.92356687898089,7.961783439490445,7.961783439490445,12.0,6.580788809487631,6.19930687689945,101.7903227528273,0.6062733619705718,Sr,0,0,,,,,2,2024
Brett Pitts,8267151?year_stat_category_id=15081,R/R,AUM,Gulf South,19,0,2.44,44.1,44,15,12,16,45,3,4,1,9,194,34,43,584,0.0,9.183673469387756,3.2653061224489797,0.6122448979591836,3.061224489795918,8.979591836734693,0.0,23.195876288659793,8.24742268041237,14.948453608247423,8.108108108108109,5.191471753360044,5.333451543025505,164.49902037287387,0.10334861931749972,Sr,1,0,,,,,2,2024
Lucas Baggett,8268214?year_stat_category_id=15081,R/R,AUM,Gulf South,11,0,0.73,12.1,9,8,1,8,7,0,3,0,1,58,16,12,213,0.0,5.206611570247935,5.950413223140496,0.0,5.950413223140496,6.694214876033058,0.0,12.068965517241379,13.793103448275861,-1.7241379310344822,0.0,5.72163423157447,7.3391927296489605,189.37880527549095,0.003135731889111454,So,2,0,,,,,2,2024
Grant Hickman,8273312?year_stat_category_id=15081,R/R,AUM,Gulf South,14,0,7.08,20.1,16,16,16,20,18,3,1,0,3,97,20,18,280,0.0,8.059701492537313,8.955223880597014,1.3432835820895521,7.164179104477611,7.164179104477611,60.0,18.556701030927837,20.618556701030926,-2.061855670103089,13.043478260869565,8.22934361852402,7.688816659612733,96.98896075407663,-0.17967589957384947,Sr,5,3,,,,,2,2024
Clayton Weatherly,8262983?year_stat_category_id=15081,R/R,AUM,Gulf South,4,0,0.0,3.2,2,0,0,2,5,0,2,0,0,16,3,2,67,0.0,14.0625,5.625,0.0,0.0,5.625,0.0,31.25,12.5,18.75,0.0,3.397254066285214,4.544077767068495,200.0,0.028659467821686525,Sr,0,0,,,,,2,2024
Michael Myers,8279381?year_stat_category_id=15081,R/R,AUM,Gulf South,24,0,7.15,39.0,54,33,31,3,25,7,9,0,7,179,51,37,432,0.0,5.76923076923077,0.6923076923076923,1.6153846153846154,7.615384615384615,12.461538461538462,70.0,13.966480446927374,1.675977653631285,12.290502793296088,12.068965517241379,6.467766886798034,5.953668415561939,95.9704900270689,-0.09763495235596537,Sr,10,7,,,,,2,2024
Clay Slagle,8279474?year_stat_category_id=15081,R/R,AUM,Gulf South,16,14,5.59,67.2,82,50,42,20,57,13,17,2,5,310,84,58,0,0.0,7.633928571428571,2.6785714285714284,1.7410714285714284,6.696428571428571,10.982142857142856,50.0,18.387096774193548,6.451612903225806,11.935483870967742,13.402061855670103,6.581777875809023,5.832641351618202,118.6678376575266,0.6569958115911047,Jr,2,1,,,,,2,2024
Carson Beach,8286923?year_stat_category_id=15081,R/R,AUM,Gulf South,14,3,5.11,24.2,44,23,14,15,18,3,5,0,7,136,28,20,437,0.0,6.694214876033058,5.578512396694215,1.115702479338843,8.553719008264464,16.363636363636367,66.66666666666666,13.23529411764706,11.029411764705882,2.2058823529411775,9.67741935483871,7.498493735706702,7.453933282782479,125.65163692843666,-0.0871192674336332,So,3,2,,,,,2,2024
Cody Lee,8422623?year_stat_category_id=15081,0,AUM,Gulf South,13,2,13.75,18.1,32,36,28,23,12,2,5,1,7,117,22,18,445,0.0,5.966850828729282,11.43646408839779,0.9944751381215469,17.900552486187845,15.91160220994475,75.0,10.256410256410255,19.65811965811966,-9.401709401709404,8.333333333333332,9.730126994462008,9.915689797779798,-0.05674994794442334,-0.2446795704251069,Fr,4,3,,,,,2,2024
Camden Lovrich,8422632?year_stat_category_id=15081,R/R,AUM,Gulf South,4,1,5.79,4.2,5,4,3,6,3,0,1,0,1,26,8,3,40,0.0,6.428571428571429,12.857142857142858,0.0,8.571428571428571,10.714285714285714,0.0,11.538461538461538,23.076923076923077,-11.538461538461538,0.0,8.218682637713785,10.548737140892515,115.75792129464742,-0.03216677531324726,Sr,0,0,,,,,2,2024
Ryan Slaten,8422645?year_stat_category_id=15081,0,AUM,Gulf South,18,9,6.14,66.0,75,51,45,26,41,14,16,1,9,304,82,67,825,0.0,5.590909090909091,3.5454545454545454,1.9090909090909092,6.954545454545454,10.227272727272728,0.0,13.486842105263158,8.552631578947368,4.934210526315789,14.583333333333334,7.7533146723458195,6.775053262652001,110.66556765960883,-0.1695691677015656,Jr,1,0,,,,,2,2024
Payte Williams,8422643?year_stat_category_id=15081,0,AUM,Gulf South,15,13,7.26,65.2,87,57,53,30,41,12,19,1,5,317,88,60,0,0.0,5.659509202453987,4.141104294478527,1.656441717791411,7.868098159509202,12.00920245398773,0.0,12.933753943217665,9.46372239747634,3.4700315457413247,12.0,7.392652839291349,6.8762089959920125,94.37003602748536,0.24119465495641162,Jr,0,0,,,,,2,2024
Jayce James,8422644?year_stat_category_id=15081,0,AUM,Gulf South,1,1,2.25,4.0,2,1,1,0,3,0,0,0,3,17,3,6,57,0.0,6.75,0.0,0.0,2.25,4.5,0.0,17.647058823529413,0.0,17.647058823529413,0.0,5.397254066285214,6.314713026911838,167.2634409176091,0.026672672441366087,Jr,0,0,,,,,2,2024
Trey Bacon,8422628?year_stat_category_id=15081,R/R,AUM,Gulf South,11,0,8.04,15.2,13,15,14,19,15,1,2,0,3,82,19,13,310,0.0,8.881578947368421,11.25,0.5921052631578947,8.881578947368421,7.697368421052632,50.0,18.29268292682927,23.170731707317074,-4.878048780487806,5.0,7.87093827681153,8.625252242823152,83.0213622122565,-0.11620448923769558,Sr,4,2,,,,,2,2024
