Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
Mario Galloway,7356934?year_stat_category_id=14941,R/R,AUM,Gulf South,8,0,7.56,8.1,9,10,7,6,7,0,2,0,1,42,10,9,112,0.0,7.777777777777779,6.666666666666667,0.0,11.111111111111112,10.0,33.33333333333333,16.666666666666664,14.285714285714285,2.3809523809523796,0.0,5.545792398621373,7.105072735148891,86.55913995225832,-0.008041316302229679,Jr,3,1,,,,,2,2022
Shelton Clevenger,7354833?year_stat_category_id=14941,0,AUM,Gulf South,1,0,0.0,0.0,1,1,1,3,0,0,0,0,0,4,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,-75.0,0.0,0.0,0.0,0.0,0.0,Jr,0,0,,,,,2,2022
Tommy Vickers,7352411?year_stat_category_id=14941,L/L,AUM,Gulf South,6,1,5.4,6.2,6,7,4,4,4,1,1,0,1,33,8,8,56,0.0,5.806451612903226,5.806451612903226,1.4516129032258065,10.161290322580644,8.709677419354838,0.0,12.121212121212121,12.121212121212121,0.0,11.11111111111111,7.907401319370078,7.6440390053838865,118.97081425161309,-0.057633267881072564,So,4,0,,,,,2,2022
Blake Sheffer,7347783?year_stat_category_id=14941,0,AUM,Gulf South,3,0,3.0,3.0,4,3,1,1,3,0,1,0,2,16,4,1,17,0.0,9.0,3.0,0.0,9.0,12.0,0.0,18.75,6.25,12.5,0.0,5.681594867757175,7.365617631206895,154.9837856953406,-0.004576069270778426,So,1,0,,,,,2,2022
Will Collins,7330748?year_stat_category_id=14941,L/L,AUM,Gulf South,16,6,12.3,26.1,36,38,36,30,20,9,6,1,5,146,29,25,493,0.0,6.896551724137931,10.344827586206897,3.1034482758620685,13.103448275862068,12.413793103448274,60.0,13.698630136986301,20.54794520547945,-6.84931506849315,23.684210526315788,11.654774944385526,9.010891755049013,15.433521350896463,-0.9623161883411322,Jr,10,6,,,,,2,2022
Sam Steigert,7348564?year_stat_category_id=14941,0,AUM,Gulf South,17,0,2.45,36.2,30,15,10,3,18,3,5,1,3,145,44,42,348,0.0,4.475138121546961,0.7458563535911602,0.7458563535911602,3.7292817679558006,7.458563535911601,22.22222222222222,12.413793103448276,2.0689655172413794,10.344827586206897,6.382978723404255,5.261705364994744,5.824186094597026,163.23675831786147,0.006283044851714659,Sr,9,2,,,,,2,2022
Jax Morris,7345962?year_stat_category_id=14941,0,AUM,Gulf South,19,3,4.85,39.0,35,21,21,26,26,6,6,0,4,176,56,28,572,0.0,6.0,6.0,1.3846153846153846,4.846153846153846,8.076923076923077,12.5,14.772727272727273,14.772727272727273,0.0,9.67741935483871,7.6559538421161495,7.663827136998508,127.22378687413398,-0.37963074780993433,Jr,8,1,,,,,2,2022
Jake Chase,7336210?year_stat_category_id=14941,0,AUM,Gulf South,12,0,10.57,15.1,17,19,18,13,9,2,4,0,6,80,17,18,244,0.0,5.364238410596027,7.748344370860928,1.1920529801324504,11.324503311258278,10.132450331125828,75.0,11.25,16.25,-5.0,10.526315789473683,8.98623062934658,8.853603104787538,41.39287159991674,-0.21428756611759758,Sr,4,3,,,,,2,2022
Landon Pritchett,7348896?year_stat_category_id=14941,0,AUM,Gulf South,2,1,4.91,3.2,5,2,2,3,4,1,0,0,0,18,5,1,46,0.0,11.25,8.4375,2.8125,5.625,14.0625,0.0,22.22222222222222,16.666666666666664,5.555555555555557,16.666666666666664,9.056594867757175,7.362251878858343,126.3234625880408,-0.03811794749093898,Jr,0,0,,,,,2,2022
Cole Kehoe,7556827?year_stat_category_id=14941,L/R,AUM,Gulf South,9,0,5.4,11.2,17,7,7,4,10,1,2,0,1,57,15,10,200,0.0,8.035714285714286,3.2142857142857144,0.8035714285714286,5.625,13.660714285714286,60.0,17.543859649122805,7.017543859649122,10.526315789473681,6.25,5.3958805820428895,6.039476400024732,118.97081425161309,-0.004432133137319591,Fr,5,3,,,,,2,2022
Huell Lumpkin,7556829?year_stat_category_id=14941,R/L,AUM,Gulf South,6,0,7.36,3.2,6,3,3,3,2,1,0,0,0,17,0,6,66,0.0,5.625,8.4375,2.8125,8.4375,16.875,0.0,11.76470588235294,17.647058823529413,-5.882352941176473,100.0,10.306594867757175,6.638787702940704,89.56022090590227,-0.06175011750269592,Fr,0,0,,,,,2,2022
Mason Elmore,7556834?year_stat_category_id=14941,L/L,AUM,Gulf South,21,1,5.24,22.1,33,18,13,8,17,4,6,0,2,113,21,27,312,0.0,6.9230769230769225,3.257918552036199,1.6289592760180995,7.330316742081448,13.43891402714932,42.857142857142854,15.04424778761062,7.079646017699115,7.964601769911505,16.0,6.8535405691146405,5.929351737199811,121.37167901452824,-0.12918735450499844,Fr,7,3,,,,,2,2022
Luke Turner,7556858?year_stat_category_id=14941,R/R,AUM,Gulf South,14,14,4.1,74.2,89,44,34,29,64,5,13,1,10,343,78,64,978,0.0,7.762803234501347,3.517520215633423,0.6064690026954177,5.336927223719677,10.795148247978435,0.0,18.658892128279884,8.454810495626822,10.204081632653063,6.024096385542169,5.409357670991676,5.946155744101448,138.47784045029883,1.21520100141267,So,0,0,,,,,2,2022
Clay Slagle,7556864?year_stat_category_id=14941,R/R,AUM,Gulf South,18,11,4.94,54.2,67,33,30,20,43,9,14,1,4,250,56,55,749,0.0,7.140221402214022,3.321033210332103,1.4944649446494465,5.479704797047971,11.125461254612546,0.0,17.2,8.0,9.2,13.846153846153847,6.581963871447211,5.937980655915364,125.87330044499419,0.1639179461423283,Fr,3,0,,,,,2,2022
Andrew Cronan,7556836?year_stat_category_id=14941,R/R,AUM,Gulf South,15,12,4.5,78.0,93,46,39,26,49,8,8,0,9,349,59,108,0,0.0,5.653846153846153,3.0,0.923076923076923,5.3076923076923075,10.73076923076923,0.0,14.040114613180515,7.4498567335243555,6.59025787965616,11.940298507462686,6.104671790834098,5.856237737800104,132.47567854301093,0.6770791621291522,Jr,2,0,,,,,2,2022
Michael Myers,7556861?year_stat_category_id=14941,R/R,AUM,Gulf South,21,2,5.57,32.1,39,21,20,10,31,2,6,1,7,151,32,29,501,0.0,8.69158878504673,2.803738317757009,0.5607476635514018,5.887850467289719,10.934579439252335,0.0,20.52980132450331,6.622516556291391,13.90728476821192,5.88235294117647,5.1488845873833435,5.676690832491376,116.41989544101573,0.03438163634830882,So,8,0,,,,,2,2022
Collin Carriger,7353789?year_stat_category_id=14941,R/R,Academy of Art,PacWest,15,13,5.24,101.1,97,71,59,33,86,10,26,3,14,445,121,81,0,0.0,7.655786350148369,2.9376854599406528,0.8902077151335313,6.320474777448072,8.635014836795252,25.0,19.325842696629213,7.415730337078652,11.91011235955056,7.633587786259542,5.66082335440406,6.011518077538925,116.26214853256363,0.5093976901149595,Sr,4,1,,,,,2,2022
Joel Mitchell,7335487?year_stat_category_id=14941,L/L,Academy of Art,PacWest,1,0,27.0,1.0,1,3,3,3,1,1,0,0,0,6,0,1,25,0.0,9.0,27.0,9.0,27.0,9.0,0.0,16.666666666666664,50.0,-33.333333333333336,100.0,24.681594867757177,12.944611940344465,-231.4736621413707,-0.0789704756851775,So,0,0,,,,,2,2022
Liam Rizzo,7342290?year_stat_category_id=14941,R/R,Academy of Art,PacWest,1,0,6.75,1.1,2,1,1,2,0,0,1,0,0,8,2,2,29,0.0,0.0,16.363636363636363,0.0,8.181818181818182,16.363636363636363,100.0,0.0,25.0,-25.0,0.0,10.13614032230263,12.432534999734065,92.13158446465732,-0.02660067477371366,So,2,2,,,,,2,2022
Morgan Edwards,7343590?year_stat_category_id=14941,R/R,Academy of Art,PacWest,17,1,11.57,28.0,35,38,36,14,5,4,6,3,17,145,50,20,434,0.0,1.6071428571428572,4.5,1.2857142857142856,12.214285714285715,11.25,58.333333333333336,3.4482758620689653,9.655172413793103,-6.206896551724138,7.4074074074074066,9.503023439185746,10.081699222032661,15.10554551942005,-0.5900961761696767,Sr,12,7,,,,,2,2022
Cannon Secrist,7331043?year_stat_category_id=14941,R/R,Academy of Art,PacWest,16,14,5.04,96.1,101,62,54,26,102,8,21,5,19,439,77,103,0,0.0,9.552549427679502,2.4349635796045788,0.7492195629552549,5.806451612903227,9.458896982310094,0.0,23.234624145785876,5.922551252847381,17.312072892938495,9.411764705882353,5.045798821971535,5.0807254730633105,119.45824973361081,1.01969546671932,Sr,0,0,,,,,2,2022
Ryan Skillman,7337496?year_stat_category_id=14941,R/R,Academy of Art,PacWest,18,0,9.72,25.0,36,33,27,13,20,6,7,0,8,136,33,21,428,0.0,7.2,4.68,2.16,11.88,12.959999999999999,83.33333333333334,14.705882352941178,9.558823529411764,5.147058823529413,15.384615384615385,8.721594867757176,7.571901500993347,44.669481629106556,-0.4567600561020818,Sr,6,5,,,,,2,2022
Joseph Anderson,7544501?year_stat_category_id=14941,R/R,Academy of Art,PacWest,7,2,8.0,18.0,24,17,16,11,5,2,6,0,5,89,28,16,307,0.0,2.5,5.5,1.0,8.5,12.0,60.0,5.617977528089887,12.359550561797752,-6.741573033707865,6.666666666666667,8.23715042331273,8.897734433180435,72.1559519581124,-0.2632966608739383,Fr,5,3,,,,,2,2022
Ryan Gamboa,7544512?year_stat_category_id=14941,R/R,Academy of Art,PacWest,1,0,0.0,1.0,1,3,0,1,1,0,1,0,1,7,2,0,29,0.0,9.0,9.0,0.0,27.0,9.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,8.681594867757175,11.207629012931754,200.0,-0.0182016553250996,Sr,0,0,,,,,2,2022
Brian Kraft,7544525?year_stat_category_id=14941,L/L,Academy of Art,PacWest,12,12,4.79,73.1,81,47,39,27,80,5,14,1,13,335,65,62,0,0.0,9.849521203830369,3.32421340629275,0.615595075239398,5.786593707250342,9.97264021887825,0.0,23.88059701492537,8.059701492537313,15.820895522388058,7.142857142857142,5.023592131779063,5.343854718387959,123.45337623491979,0.8820342901139991,So,0,0,,,,,2,2022
Cole Shafer,7560715?year_stat_category_id=14941,R/R,Academy of Art,PacWest,11,3,13.7,23.0,41,35,35,16,16,2,9,0,4,129,21,29,417,0.0,6.260869565217391,6.260869565217391,0.7826086956521738,13.695652173913045,16.043478260869563,60.0,12.4031007751938,12.4031007751938,0.0,8.695652173913043,7.0294209547136965,7.162003244692292,-18.93293227173252,-0.2898128158664548,Fr,10,6,,,,,2,2022
Dallen Turner,7544523?year_stat_category_id=14941,R/R,Academy of Art,PacWest,21,5,8.93,41.1,57,48,41,26,31,5,14,6,14,215,42,41,765,0.0,6.788321167883211,5.693430656934306,1.094890510948905,10.510948905109489,12.481751824817517,55.55555555555556,14.418604651162791,12.093023255813954,2.325581395348838,10.638297872340425,7.674295597684182,7.53711317460882,57.29408137324297,-0.7538312223623475,So,18,10,,,,,2,2022
Connor Flynn,7353239?year_stat_category_id=14941,0,Adams St.,RMAC,8,0,18.9,6.2,16,16,14,7,3,4,1,0,1,45,10,6,148,0.0,4.354838709677419,10.161290322580644,5.806451612903226,23.225806451612904,23.225806451612904,87.5,6.666666666666667,15.555555555555555,-8.88888888888889,28.57142857142857,15.971917448402335,10.436794709083312,-68.2271441142154,-0.16393520275909687,Sr,8,7,,,,,2,2022
Kaden Roettger,7352477?year_stat_category_id=14941,0,Adams St.,RMAC,9,0,25.58,6.1,15,18,18,9,7,3,4,0,2,44,5,6,133,0.0,10.327868852459018,13.278688524590164,4.426229508196721,26.557377049180328,22.13114754098361,33.33333333333333,15.909090909090908,20.454545454545457,-4.5454545454545485,37.5,14.189791589068651,9.452764799019194,-163.02911885934543,-0.13147285988502203,Jr,3,1,,,,,2,2022
Cutter Smith,7352574?year_stat_category_id=14941,0,Adams St.,RMAC,11,8,9.9,40.0,64,50,44,18,21,8,20,5,7,212,44,51,491,0.0,4.7250000000000005,4.05,1.8,11.25,14.4,0.0,9.90566037735849,8.49056603773585,1.415094339622641,15.384615384615385,8.106594867757174,7.148517062120652,59.50006736874431,0.23018917309551418,So,0,0,,,,,2,2022
Elliot McNeave,7342763?year_stat_category_id=14941,0,Adams St.,RMAC,6,0,7.11,6.1,6,5,5,8,5,0,2,0,0,32,9,4,94,0.0,7.3770491803278695,11.80327868852459,0.0,7.3770491803278695,8.852459016393443,80.0,15.625,25.0,-9.375,0.0,6.97667683497029,8.840144646984324,99.09550292846183,-0.005868378666906281,Jr,5,4,,,,,2,2022
Santiago Cortez,7339151?year_stat_category_id=14941,0,Adams St.,RMAC,7,0,15.95,7.1,18,16,13,1,5,2,6,0,1,42,8,7,115,0.0,6.338028169014085,1.267605633802817,2.535211267605634,20.281690140845072,22.816901408450704,60.0,11.904761904761903,2.380952380952381,9.523809523809522,20.0,7.78018641705295,5.897111871401245,-26.361002572578585,-0.023469090767440325,Jr,10,6,,,,,2,2022
Caleb Raney,7345534?year_stat_category_id=14941,0,Adams St.,RMAC,4,0,10.13,5.1,11,8,6,2,6,0,6,0,0,30,3,6,77,0.0,10.588235294117647,3.5294117647058827,0.0,14.11764705882353,19.411764705882355,0.0,20.0,6.666666666666667,13.333333333333332,0.0,3.5051242795218807,4.248075498690875,56.23592751973532,0.04815249416902983,So,0,0,,,,,2,2022
Zach Thomas,7344626?year_stat_category_id=14941,0,Adams St.,RMAC,10,0,11.42,8.2,20,16,11,3,3,5,2,0,1,51,17,4,107,0.0,3.2926829268292686,3.2926829268292686,5.487804878048781,17.5609756097561,21.951219512195124,58.333333333333336,5.88235294117647,5.88235294117647,0.0,22.727272727272727,13.34013145312303,8.801884574698686,37.92836054051112,-0.15688548021873583,Jr,12,7,,,,,2,2022
Alfredo Villa,7348574?year_stat_category_id=14941,0,Adams St.,RMAC,11,11,3.72,72.2,65,35,30,13,72,4,12,2,6,301,59,72,708,0.0,8.975069252077562,1.6204986149584488,0.4986149584487535,4.362880886426592,8.102493074792243,0.0,23.920265780730897,4.318936877076411,19.601328903654487,6.349206349206349,4.196830324820887,4.578687327216999,147.20608592037664,2.4891473375821116,Sr,0,0,,,,,2,2022
Jamison Fuentes,7332249?year_stat_category_id=14941,0,Adams St.,RMAC,11,6,12.06,31.1,50,49,42,21,31,9,16,3,6,174,34,26,461,0.0,8.971061093247588,6.07717041800643,2.604501607717042,14.180064308681672,14.469453376205788,100.0,17.81609195402299,12.068965517241379,5.7471264367816115,20.930232558139537,9.054585221454925,7.03882104528944,28.84553661283398,-0.04753401698230836,Jr,2,2,,,,,2,2022
Matt Bathauer,7348845?year_stat_category_id=14941,L/L,Adams St.,RMAC,6,3,18.24,12.1,31,27,25,8,11,4,5,1,2,79,10,15,163,0.0,8.181818181818183,5.950413223140496,2.975206611570248,20.082644628099175,23.05785123966942,80.0,13.924050632911392,10.126582278481013,3.7974683544303787,28.57142857142857,9.64027255370759,6.804093960006932,-58.86048193879834,-0.06439779374358187,So,5,4,,,,,2,2022
