Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
Academy Of Art,36,PacWest,1191,106,4,8,25,1334,348,65,9,15,203,32,7,21,196.08887414321416,-15.012696724333187,-5.737695037313336,10.313748281232197,-1.4039059739117028,236,19,166,36,2021,2,,259,62.745098039215684,7.946026986506746,17.691154422788603,0.29219143576826195,0.399664147774979,0.3620689655172414,0.10747271200671704,84.4793624860395,0.15217391304347827,0.36113800904977367,,,,,,
Adams St.,38,RMAC,1206,131,1,10,49,1397,350,75,10,53,222,7,3,14,262.0747258230714,-56.11805710833824,3.4054453091001533,13.933172560489233,-2.15403242096985,321,8,209,38,2021,2,111.95002995938566,212,46.666666666666664,9.377236936292055,22.97780959198282,0.2902155887230514,0.5008291873963516,0.380100214745884,0.2106135986733002,112.02739909246739,0.15891195418754475,0.3996136200716846,Adams St.,-690.583,6.381200000000002,7.040180018527711,0.8063299473288186,0.8737019117409295
Adelphi,34,NE10,1101,139,0,17,46,1303,321,62,8,32,225,35,3,4,233.71615960879578,-0.5496438222996551,0.29836128584162286,5.245917005355719,1.7767725396258582,264,11,203,34,2021,2,105.45910890574709,219,76.08695652173914,10.667689946277822,20.260936300844207,0.29155313351498635,0.44959128065395093,0.3883346124328473,0.15803814713896458,102.59212521647623,0.17267843438219493,0.39185878741366076,Adelphi,-567.036,6.006799999999999,6.6340177657829695,0.7943125000000001,0.9282451974714157
Alabama Huntsville,42,Gulf South,1507,154,10,20,66,1757,443,91,13,34,281,51,6,20,303.9040542916492,4.725386807060597,6.751495260089963,13.91440806016637,3.829153289417464,317,16,256,41,2021,2,103.54019103157913,305,76.11940298507463,8.764940239043826,18.042117245304496,0.29396151293961514,0.43928334439283345,0.3830392714854866,0.1453218314532183,98.8857228856966,0.15993170176437108,0.3855400115141048,Alabama Huntsville,-842.132,9.316200000000002,8.06996639178522,0.9443892828999212,1.7948215390910125
Albany St. (Ga),19,SIAC,564,91,2,13,40,710,147,29,5,8,118,39,2,13,117.50520413036325,-10.893464508689991,-3.951413346719646,7.148920575834695,0.8866287587634488,142,13,111,19,2021,2,,105,75.0,12.816901408450704,20.0,0.26063829787234044,0.3723404255319149,0.39436619718309857,0.11170212765957444,86.7063216117284,0.16619718309859155,0.37821388101983006,,,,,,
Alderson Broaddus,39,MEC,1218,170,3,13,55,1459,371,85,6,32,280,37,2,10,290.83572098065844,7.550080487967051,8.199463707158046,4.78282329927451,2.789958783701239,277,10,242,39,2021,2,112.09061647997258,248,78.72340425531915,11.651816312542836,18.98560657984921,0.3045977011494253,0.4630541871921182,0.4105551747772447,0.1584564860426929,111.41373086476989,0.19191226867717615,0.410675843083276,Alderson Broaddus,-586.526,8.7502,8.477938571519662,0.950735294117647,0.7256747308778628
Alliance,16,CACC,435,71,0,2,13,521,105,21,1,8,64,9,3,1,71.35932499277108,-25.505560170415905,-4.542758646108334,5.6017344171382994,-0.5607314262741536,142,8,60,16,2021,2,94.08654864716482,75,52.94117647058824,13.62763915547025,27.2552783109405,0.2413793103448276,0.34942528735632183,0.362763915547025,0.10804597701149424,73.30876818308187,0.12284069097888675,0.35170441458733204,Alliance,-287.06,0.11780000000000367,0.30451491044216095,0.4833821376281112,-0.06081537992572142
American Int'L,31,NE10,935,156,1,12,31,1135,234,47,6,18,169,63,8,11,168.1628111479529,-25.03703656075539,-4.801401699312456,5.994018688038897,-0.4102489906413802,258,22,143,31,2021,2,,163,74.11764705882354,13.744493392070483,22.73127753303965,0.25026737967914436,0.3711229946524064,0.37180616740088107,0.12085561497326203,80.56325557587523,0.14889867841409693,0.36235304501323923,,,,,,
Anderson (Sc),37,SAC,1088,142,3,14,36,1283,281,55,8,12,176,29,9,25,173.58889291954588,-55.70972488823294,-4.090092066597517,13.663742659627001,-2.226403386802031,249,7,159,37,2021,2,,206,80.55555555555556,11.067809820732657,19.40763834762276,0.25827205882352944,0.35661764705882354,0.36009353078721745,0.0983455882352941,74.23928321857983,0.13717848791894,0.34986765857478463,,,,,,
Angelo St.,53,Lone Star,1753,341,8,39,130,2271,610,132,15,44,562,138,12,43,593.5433141603366,152.3094959795195,16.969435493591835,9.500855965358758,13.478685648396084,318,33,496,53,2021,2,106.20227981366205,419,80.7017543859649,15.015411712901805,14.002642007926024,0.3479749001711352,0.515687393040502,0.4795244385733157,0.16771249286936685,141.24537491351106,0.24746807573756055,0.46895698447893563,Angelo St.,-725.7689999999999,19.578999999999986,16.401540758040575,0.6719821673525377,12.734649086307453
