Player,Pos,B/T,player_id,Team,Conference,Yr,R/PA,GP,BB,CS,GS,HBP,IBB,K,RBI,SF,AB,PA,H,2B,3B,HR,R,SB,OPS+,Picked,Sac,BA,SlgPct,OBPct,ISO,wOBA,K%,BB%,SB%,wRC+,wRC,Batting,Baserunning,Adjustment,WAR,Clutch,WPA,REA,WPA/LI,wSB,wGDP,wTEB,EBT,Opportunities,OutsOB,GDPOpps,GDP,Division,Season
Diego Johnson,3B,0,7353530,A&M-Corpus Christi,Southland,So,0.144,27,14,0,26,3,0,13,17,1,107,125,33,4,1,0,18,1,90.83923620226288,0,0,0.308,0.364,0.4,0.055999999999999994,0.379776,10.4,11.200000000000001,100.0,97.85205880181454,20.227467062831867,-0.4803746491893842,0.9308688115776669,0.3029444262590769,0.24083167682527953,0.20158595165380855,0.9267999999999998,-58.346999999999994,0.7050310275007272,0.11985948960880474,0.5176095079117757,0.29339981405708637,5.0,13.0,0.0,81.0,3.0,1,2022
Brandon Petkoff,OF,0,7357761,A&M-Corpus Christi,Southland,So,0.16326530612244897,38,23,0,32,7,0,24,29,1,116,147,36,3,2,7,24,2,147.27348425595716,1,0,0.31,0.552,0.449,0.24200000000000005,0.4569115646258503,16.3265306122449,15.646258503401361,100.0,146.36280698323912,35.33427112332408,10.981849269987087,1.0638958731056891,0.17192186675395643,1.1503328285931378,0.023735414469838734,1.8117999999999994,-50.333999999999996,1.5456582407025745,0.3038313875305657,-0.17644293496984886,0.9365074205449722,9.0,19.0,0.0,97.0,2.0,1,2022
Tre Jones,OF,L/L,7332659,A&M-Corpus Christi,Southland,So,0.23529411764705882,45,23,0,37,1,0,48,37,2,144,170,51,15,4,11,40,6,189.16084320528793,1,1,0.354,0.743,0.441,0.389,0.49802941176470583,28.235294117647058,13.529411764705882,100.0,172.22192317679406,47.980923433557244,19.818258705208333,0.3014982556175487,0.2035916843138958,1.8002911153077055,0.15840018514730803,1.583000000000001,-61.864999999999995,1.7090438270490973,1.119859489608805,-0.41900848857187944,-0.3993527454193768,8.0,24.0,1.0,117.0,2.0,1,2022
Dylan Johnson,P,0,7332674,A&M-Corpus Christi,Southland,So,0.0,5,1,0,2,0,0,1,0,0,6,7,0,0,0,0,0,1,-61.77033424498391,0,0,0.0,0.0,0.143,0.0,0.11699999999999999,14.285714285714285,14.285714285714285,100.0,-67.40842027750746,-0.7404105206524949,-1.9000496565256852,0.23985649885068103,0.056100819677606835,-0.05142157675687917,0.0,0.0,0.0,0.0,0.19821909976908456,-0.09428560632497518,0.13592300540657165,2.0,5.0,0.0,49.0,1.0,1,2022
Brendan Ryan,OF,0,7333967,A&M-Corpus Christi,Southland,Jr,0.20812182741116753,42,14,1,41,18,3,22,26,3,159,197,52,13,2,5,41,25,137.4639660673145,4,0,0.327,0.528,0.433,0.201,0.4495392670157068,11.16751269035533,7.1065989847715745,96.15384615384616,141.72635070501104,45.87376670822693,13.238208170081439,5.518310020640769,0.19001890535963606,1.7185492443024375,0.8634953166582653,3.625399999999999,-85.69099999999999,2.591693325455875,4.319581914543237,-0.17370231985401174,1.3724304259515439,12.0,24.0,0.0,138.0,3.0,1,2022
Leo Markotic,2B,0,7342897,A&M-Corpus Christi,Southland,Jr,0.18636363636363637,49,18,3,49,4,0,54,38,8,190,220,57,14,0,4,41,1,96.70500533584261,1,0,0.3,0.437,0.359,0.137,0.3654590909090909,24.545454545454547,8.181818181818182,25.0,88.84811911440495,32.39288785543133,-4.052913557726068,-2.1519415117548317,0.549788032840547,-0.16808679375852564,-0.8067188690898754,0.8552000000000004,-88.28999999999999,1.5944333856533015,-1.6239844281986053,0.19288662566487136,-0.7208437092210978,11.0,31.0,2.0,149.0,4.0,1,2022
Nick Mueller,OF,R/R,7347876,A&M-Corpus Christi,Southland,So,0.1111111111111111,6,2,0,2,0,0,3,0,0,7,9,1,0,0,0,1,2,21.986261919045646,0,0,0.143,0.143,0.333,0.0,0.28855555555555557,33.33333333333333,22.22222222222222,100.0,40.4832947186503,0.6203450419658497,-0.8706195612996805,0.5412005119880603,0.027145557908519437,0.0513947328128039,0.009265644359526828,0.1033999999999999,-5.526999999999999,0.062494608006403704,0.3946572993072537,-0.06064138840050767,0.2071846010813143,1.0,1.0,0.0,5.0,0.0,1,2022
Justin Taylor,C,0,7336558,A&M-Corpus Christi,Southland,Jr,0.1402439024390244,45,12,3,41,6,0,55,16,2,144,164,31,9,0,2,23,0,53.4652268810325,0,3,0.215,0.319,0.299,0.10400000000000001,0.29909146341463416,33.53658536585366,7.317073170731707,0.0,47.109353340164155,13.06362619580405,-14.105062130367834,-2.1989502181454252,2.516393218119752,-0.850728484688123,-0.43184396929918445,-1.4543999999999986,-97.14399999999999,-1.0083218338096225,-1.7830237228875498,-1.274634973627414,0.8587084783695387,19.0,46.0,1.0,270.0,4.0,1,2022
Tucker McEnroe,SS,R/R,7339897,A&M-Corpus Christi,Southland,So,0.14814814814814814,22,3,0,20,1,0,21,18,0,77,81,21,4,2,3,12,0,96.47666287693583,2,0,0.273,0.494,0.309,0.22099999999999997,0.3498148148148148,25.925925925925924,3.7037037037037033,0.0,79.00939502168245,10.636058534515456,-2.782622894874315,1.8911273645092732,0.7365494712511608,0.12958313054835302,-0.3766882013461419,-0.18499999999999928,-33.695,0.18523553749025914,-0.028494403694647206,1.3693295606347202,0.5502922075692003,4.0,7.0,0.0,52.0,4.0,1,2022
Nate White,2B,0,7346057,A&M-Corpus Christi,Southland,So,0.18518518518518517,36,10,1,19,1,0,16,18,0,70,81,19,2,0,3,15,0,97.80172449905913,0,0,0.271,0.429,0.37,0.15799999999999997,0.37469135802469133,19.753086419753085,12.345679012345679,0.0,94.6543148343809,12.687993361399366,-0.7306880679904054,-1.11052844402656,0.4039259016787692,0.03013165254697893,0.3357667948747206,0.4419000000000002,-27.023999999999997,0.19562542139188424,-0.6163056771438072,0.4057143936750248,-0.8999371605577776,2.0,10.0,1.0,49.0,2.0,1,2022
