Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
A&M-Corpus Christi,55,Southland,1886,225,5,28,92,2236,548,116,24,55,395,59,15,13,400.4067877795063,29.984915234870147,2.654052790630883,8.430867375227967,6.527165196789948,471,18,355,53,2022,1,102.09648874202534,353,76.62337662337663,10.062611806797854,21.064400715563504,0.29056203605514314,0.4650053022269353,0.389087656529517,0.17444326617179218,111.2039564862969,0.17665474060822897,0.396636567834681,A&M-Corpus Christi,47.928,14.381300000000001,12.254542950816077,1.0193098911613443,1.8543165086116709
Abilene Christian,59,WAC,2074,283,5,21,92,2475,610,124,10,83,444,80,6,9,473.277735199572,33.425062149979226,1.6836208731333902,10.52867609039835,4.855856018004039,548,22,417,59,2022,1,109.30383256889591,393,78.43137254901961,11.434343434343434,22.141414141414142,0.29411764705882354,0.48360655737704916,0.4,0.18948891031822562,118.40891182581821,0.17939393939393938,0.4085910750507099,Abilene Christian,73.344,15.572800000000003,13.368399494415756,0.8832197707116591,4.263452187812932
Air Force,61,Mountain West,2235,231,3,26,100,2595,697,148,19,95,507,40,8,15,516.3121125688813,-30.484699888163718,6.144404852399582,10.049828448892066,0.7239644633963556,495,12,473,61,2022,1,123.01132412971086,435,76.92307692307693,8.901734104046243,19.07514450867052,0.3118568232662192,0.5225950782997763,0.39730250481695567,0.21073825503355703,126.67473537566912,0.19537572254335261,0.4161506373117034,Air Force,121.28999999999999,14.061800000000002,14.83531033909129,0.8607566925734024,1.5012457647706157
Akron,56,MAC,1734,184,3,17,49,1987,438,75,12,34,239,40,8,28,237.97143843715753,-85.39111154432695,-8.838462345451639,7.319709204839238,-5.552578519766952,433,17,217,56,2022,1,97.57861840987758,317,70.17543859649122,9.260191243080019,21.7916456970307,0.25259515570934254,0.3685121107266436,0.3392048314041268,0.11591695501730104,75.62629163734516,0.12028183190739809,0.33843059061080266,Akron,-97.35600000000001,3.9694000000000083,2.6381202498552714,0.9719841606562014,1.4456911543554778
Alabama,58,SEC,1991,220,6,23,52,2292,555,99,8,62,335,37,6,17,347.31925223177626,-77.67629053948734,-4.807447237834829,8.65889006165953,-3.6389192006941324,472,14,310,58,2022,1,106.87555847030536,386,72.54901960784314,9.598603839441536,20.593368237347295,0.2787543947764942,0.4299347061778001,0.3634380453752182,0.1511803114013059,96.26290206981581,0.14616055846422338,0.3696513157894737,Alabama,-25.536,8.501400000000004,8.405470654982377,1.0025695931477516,0.07414019508170178
Alabama A&M,49,SWAC,1547,186,2,13,47,1795,389,55,18,29,249,115,12,24,225.66011570802343,-108.10539323245109,4.660230545704753,3.2017280701168396,-3.820626186596052,448,33,219,49,2022,1,107.7390448835881,287,77.7027027027027,10.362116991643454,24.958217270194986,0.25145442792501616,0.3665158371040724,0.3476323119777159,0.11506140917905622,77.41914984263096,0.13871866295264623,0.34430485762144053,Alabama A&M,-52.78300000000001,5.1286000000000085,3.0724838247758846,1.0386704528906365,1.8651746844529398
Alabama St.,59,SWAC,2028,301,6,23,89,2447,584,100,15,53,445,57,11,37,438.1980337307716,-3.207855162708647,4.447522293480405,6.846471645300715,5.131762582658965,475,15,388,59,2022,1,104.28921932122674,416,79.16666666666666,12.30077646097262,19.411524315488354,0.2879684418145957,0.43047337278106507,0.4004903964037597,0.14250493096646938,106.29265374129706,0.18185533306089088,0.39640164271047224,Alabama St.,77.13499999999999,11.738999999999999,11.836932806903187,0.9378834009923319,0.6795484396776725
Alcorn,40,SWAC,1137,96,2,6,42,1283,256,40,5,11,136,49,8,3,103.8674746710032,-110.86135617782561,-5.548760177847205,0.48608645694855473,-5.943831755282613,320,20,123,39,2022,1,96.20255744360568,200,71.01449275362319,7.482462977396727,24.94154325798909,0.22515391380826738,0.29815303430079154,0.308651597817615,0.07299912049252416,51.24019906647139,0.10600155884645363,0.3002220484753714,Alcorn,-76.81700000000001,-0.3541999999999954,-0.46583532637882685,0.6600225988700564,-0.07081296506812917
App State,53,Sun Belt,1823,191,5,20,65,2104,460,84,10,29,260,35,8,17,251.23856400994,-117.209347950301,-4.330004822415558,10.275136579532777,-6.7539438062003505,423,14,243,53,2022,1,111.83831313953898,337,71.42857142857143,9.077946768060837,20.10456273764259,0.2523313219967087,0.3571036752605595,0.342680608365019,0.10477235326385081,73.92582785371286,0.12357414448669202,0.3382234957020057,App State,-85.812,4.1250000000000115,2.036026979193402,1.011024371667936,2.0439933601726996
Arizona,64,Pac-12,2253,272,15,25,72,2637,644,122,26,74,420,33,3,10,454.6157162871177,8.265353907069267,3.6339975414641232,5.7031007461938765,1.1798413334755582,574,12,391,64,2022,1,104.93987688306645,422,73.33333333333333,10.31475161167994,21.767159651118696,0.2858411007545495,0.46160674656014206,0.38035646568069775,0.17576564580559256,108.08637970282824,0.15927189988623436,0.3894499424626007,Arizona,16.07999999999999,14.746800000000006,13.177206288965557,0.9961869420243089,1.6260393448646386
