Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,iPF,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch,Division
Charlotte,253,C-USA,512.7,483,99,6,230,85,54,308,280,0.8461128859029754,506,248,64,532,2310,6369,2022,4.915155061439438,36.95652173913043,5.406670567583382,9.338794616734932,8.47864248098303,4.353423054417788,0.9479227618490345,10.735930735930737,23.03030303030303,12.294372294372295,9.642857142857144,5.362563216014564,5.501021394117405,,100.0,115.37349384210447,Charlotte,76.57300000000001,-6.098200000000008,-5.414080923006295,0.9963364834908413,-0.7065420804130769,1
Cincinnati,201,AAC,465.6,560,128,15,136,60,65,405,358,-3.52978359133899,471,262,81,399,2261,6719,2022,6.9201030927835046,44.11764705882353,7.82860824742268,7.712628865979381,10.824742268041236,5.064432989690721,1.2564432989690721,11.587793011941619,17.647058823529413,6.059265811587794,12.126865671641792,6.553996682260576,6.328179396736302,,100.0,80.85337295071807,Cincinnati,-65.559,-12.200600000000001,-12.796523600875096,0.9701386310186905,0.22038282067669535,1
Clemson,275,ACC,507.4,503,97,8,138,58,62,320,276,-0.41205487617285624,469,240,65,515,2306,3457,2022,4.8955459203783995,42.028985507246375,5.675995270003941,9.134804887662595,8.921955065037446,4.256996452502957,1.0997240835632638,10.407632263660018,22.33304423243712,11.925411968777103,11.67608286252354,5.604844817149444,5.460890930042823,,100.0,115.71111352571765,Clemson,54.748000000000005,-3.8380000000000076,-5.9528912685616655,0.8359282479972134,1.361588116412653,1
Coastal Carolina,254,Sun Belt,513.1,517,82,4,141,71,61,339,286,2.4368991644312885,447,206,80,524,2320,4867,2022,5.016565971545507,50.35460992907801,5.946209315922822,9.191190801013446,9.068407717793802,3.613330734749561,1.069966868056909,8.879310344827585,22.586206896551726,13.70689655172414,12.007874015748031,5.4182096295032975,5.239316814192894,,100.0,113.6274551309563,Coastal Carolina,39.934000000000005,-7.311000000000007,-5.223086757881424,0.982903150796419,-2.2150825002760133,1
Col. of Charleston,202,CAA,496.0,461,63,9,117,53,31,280,228,4.933666567624244,513,209,59,484,2209,6671,2022,4.137096774193548,45.2991452991453,5.080645161290323,8.78225806451613,8.36491935483871,3.7923387096774195,0.5625,9.46129470348574,21.91036668175645,12.44907197827071,5.698529411764706,4.72485495739637,5.426270583493899,,100.0,128.76968452454713,Col. of Charleston,76.84,-4.752200000000006,-2.6667582396711342,0.9324098504837292,-2.4299275123450963,1
Columbia,167,Ivy League,428.6,490,98,9,78,43,48,303,264,1.0313728357700653,461,200,44,341,1998,6703,2022,5.543630424638357,55.12820512820513,6.362575828278114,7.160522631824545,10.289314045730285,4.199720018665422,1.0079328044797013,10.01001001001001,17.067067067067068,7.057057057057058,9.430255402750491,5.815561947898079,5.99892739656768,,100.0,104.55274179481033,Columbia,5.471000000000002,-5.277000000000005,-6.782901544661422,0.7668673031686731,-0.09834111387362832,1
Coppin St.,168,MEAC,436.5,489,103,15,97,57,48,399,334,3.5418063287258486,421,296,68,429,2139,4970,2022,6.88659793814433,58.76288659793815,8.22680412371134,8.845360824742267,10.082474226804123,6.103092783505155,0.9896907216494846,13.83824216923796,20.05610098176718,6.2178588125292205,10.23454157782516,6.208635857518308,6.262191499849147,,100.0,81.43024675021178,Coppin St.,-79.50999999999999,-13.860399999999998,-12.740561283532598,0.936942034452408,-2.0526697706175696,1
Cornell,149,Ivy League,307.3,377,78,13,89,55,42,358,298,-2.8918974834455753,345,231,73,234,1600,3380,2022,8.727627725349821,61.79775280898876,10.484868206963878,6.853237878294825,11.04132769280833,6.765375854214123,1.2300683371298406,14.4375,14.625,0.1875,10.852713178294573,7.464607668312466,7.426174805837786,,100.0,49.732382354009495,Cornell,-141.546,-12.483999999999996,-10.92326242310633,0.8206713193752077,-4.288674079687867,1
Creighton,200,Big East,426.5,428,71,12,129,39,41,245,210,2.6269195506211194,407,195,51,418,1941,4724,2022,4.4314185228604925,30.23255813953488,5.1699882766705745,8.82063305978898,9.031652989449004,4.114888628370457,0.8651817116060961,10.046367851622875,21.535291087068522,11.488923235445647,9.151785714285714,5.26292977871014,5.463140813483085,,100.0,123.70221036256793,Creighton,63.52100000000001,-0.826400000000008,-3.176797120190575,1.0572370247016374,2.3951370187263588,1
DBU,263,MVC,509.20000000000005,507,101,13,162,51,68,322,290,1.7110877379367055,514,244,46,570,2308,6532,2022,5.125687352710133,31.48148148148148,5.691280439905734,10.074626865671641,8.961115475255301,4.312647289866456,1.201885310290652,10.571923743500866,24.696707105719238,14.124783362218372,11.683848797250858,5.4488131587495365,5.29043702814395,,100.0,111.74866166062745,DBU,45.268,-4.353400000000008,-6.19727444347119,1.0946413347947874,2.220264018576043,1
Dartmouth,161,Ivy League,371.2,428,91,16,79,33,42,289,256,1.814443892225786,421,161,55,319,1754,5526,2022,6.206896551724138,41.77215189873418,7.007004310344828,7.734375,10.377155172413792,3.903556034482759,1.0183189655172413,9.179019384264537,18.187001140250857,9.00798175598632,9.071274298056156,5.740844946272899,5.991639743859252,,100.0,93.13298101686442,Dartmouth,-21.624999999999996,-4.906200000000004,-6.757740055203743,0.8061391113204585,0.6716937002965455,1
Davidson,199,Atlantic 10,493.5,415,85,6,108,46,46,247,213,5.366773079012634,454,209,96,532,2189,4596,2022,3.884498480243161,42.592592592592595,4.504559270516717,9.702127659574469,7.56838905775076,3.8115501519756836,0.8389057750759878,9.547738693467336,24.303334856098672,14.755596162631337,9.2,5.152827879578283,5.339590630905043,,100.0,133.11878659991606,Davidson,120.86500000000001,0.869399999999992,-0.6983253900582556,0.9784663051897754,1.5868587972780066,1
Dayton,224,Atlantic 10,431.2,476,84,8,189,75,41,324,252,3.205791609794786,432,210,76,432,2049,6462,2022,5.25974025974026,39.682539682539684,6.76252319109462,9.016697588126158,9.935064935064936,4.383116883116883,0.8557513914656772,10.248901903367496,21.08345534407028,10.834553440702784,8.668076109936575,5.465170805143094,5.743228266227622,,100.0,109.44061053701822,Dayton,-15.226999999999995,-7.060600000000002,-8.785598330270439,0.9170755451713396,1.0865597535947824,1
Delaware,193,CAA,441.3,438,97,15,107,46,30,314,254,1.3179914687904424,430,248,68,414,2052,5190,2022,5.180149558123725,42.99065420560748,6.403806934058464,8.443235893949694,8.932698844323589,5.057783820530251,0.6118286879673691,12.085769980506821,20.175438596491226,8.089668615984404,6.521739130434782,5.398676529291723,5.953750230532093,,100.0,110.81096059032669,Delaware,8.388000000000005,-7.923600000000001,-6.20045406900234,0.9698393246187363,-1.969559044370774,1
Delaware St.,145,MEAC,367.40000000000003,393,73,8,105,54,38,321,267,2.5514396606822567,413,245,68,308,1794,3928,2022,6.540555253130103,51.42857142857142,7.863364180729449,7.544910179640718,9.627109417528578,6.00163309744148,0.9308655416439847,13.656633221850614,17.16833890746934,3.511705685618727,8.425720620842572,6.466734468169545,6.8165739097518525,,100.0,87.38822428056359,Delaware St.,-52.76999999999999,-9.326799999999999,-9.844903801011146,1.0480325644504749,0.945562009193436,1
