Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,Division,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch
A&M-Corpus Christi,199,Southland,447.3,475,83,11,127,59,49,326,276,-0.4915565412522602,455,231,66,432,2109,6130,2021,1,5.553319919517103,46.45669291338583,6.559356136820925,8.69215291750503,9.557344064386317,4.647887323943662,0.9859154929577465,10.953058321479373,20.483641536273115,9.530583214793742,9.722222222222223,5.542040333241344,5.514300210699085,102.09648874202534,97.98198338034922,A&M-Corpus Christi,925.1969999999999,-11.606900000000003,-8.41732876615288,0.9290904372648242,-4.07542708888518
Abilene Christian,186,Southland,478.6,500,98,11,141,56,39,352,298,2.032505353700601,429,304,52,473,2275,3522,2021,1,5.603844546594233,39.71631205673759,6.61930631007104,8.894692854157961,9.402423735896365,5.71667363142499,0.7333890513999164,13.362637362637365,20.79120879120879,7.4285714285714235,8.333333333333332,5.371827899237217,5.524310431836618,109.30383256889591,103.8419432649369,Abilene Christian,973.2979999999999,-6.564400000000004,-9.330404398120375,1.0850938109161794,3.280789209128125
Air Force,196,Mountain West,408.8,503,115,17,97,51,57,350,300,3.158432289838666,420,208,59,329,1959,6316,2021,1,6.604696673189824,52.57731958762887,7.705479452054794,7.243150684931507,11.073874755381604,4.579256360078277,1.2548923679060666,10.617662072485961,16.794282797345584,6.176620724859623,11.949685534591195,6.220004618190001,5.8533988595629625,123.01132412971086,99.29691561810789,Air Force,752.9409999999999,-8.325000000000003,-12.016316233530985,0.83826600714482,2.0851011669014685
Akron,152,MAC,393.9,447,77,7,62,33,49,351,309,-3.806962853260903,411,255,70,312,1944,4344,2021,1,7.060167555217061,53.2258064516129,8.01980198019802,7.128712871287129,10.213252094440215,5.826351865955827,1.1195734958111196,13.117283950617283,16.049382716049383,2.9320987654321,10.652173913043478,6.5658288287911,6.395897333134873,97.57861840987758,64.29516160324953,Akron,746.89,-11.880000000000003,-11.108749207646483,0.851064595022299,-2.8502382411131855
Alabama,195,SEC,510.5,520,105,6,85,47,69,295,273,-1.4791856508810828,439,178,38,497,2231,5219,2021,1,4.812928501469148,55.294117647058826,5.200783545543584,8.761998041136142,9.167482859941234,3.1380999020568074,1.216454456415279,7.978484984311968,22.277005826983416,14.298520842671447,13.582677165354331,5.136911989996545,4.61301173790522,106.87555847030536,115.53709743918591,Alabama,1091.5919999999999,-4.899800000000011,-9.011731692193456,0.9107601246105919,3.631829929262203
Alabama A&M,87,SWAC,223.2,370,74,17,70,48,29,335,276,1.095476408345239,265,159,34,189,1255,1308,2021,1,11.129032258064516,68.57142857142857,13.508064516129034,7.620967741935484,14.91935483870968,6.411290322580646,1.1693548387096775,12.669322709163348,15.0597609561753,2.390438247011952,9.863945578231291,6.647183738475617,6.590486793399428,107.7390448835881,6.260011790548647,Alabama A&M,290.354,-9.340799999999994,-10.349620891173739,0.7617988394584139,-1.9118837425700654
Alabama St.,148,SWAC,353.3,346,77,5,113,37,21,233,185,4.716121074899966,346,198,51,415,1654,2680,2021,1,4.712708746108123,32.743362831858406,5.935465609963203,10.571752052080384,8.814039060288707,5.043872063402208,0.5349561279365977,11.970979443772672,25.090689238210402,13.11970979443773,5.722070844686648,4.595364587348558,5.109975166342832,104.28921932122674,115.24483516641251,Alabama St.,764.7589999999999,-4.770200000000006,-4.70916507530237,0.8714748380667663,-0.7645443097924032
Alcorn,86,SWAC,213.0,259,44,16,42,27,9,220,178,1.9163641063654304,186,155,40,197,1086,1938,2021,1,7.52112676056338,64.28571428571429,9.295774647887324,8.323943661971832,10.943661971830986,6.549295774647887,0.38028169014084506,14.27255985267035,18.139963167587478,3.8674033149171283,4.615384615384616,5.503587393379954,6.088834146318281,96.20255744360568,53.367148641355186,Alcorn,364.063,-8.637499999999998,-6.879938038564742,0.7977944862155388,-3.946785070256567
App State,206,Sun Belt,436.5,465,112,8,102,57,63,346,321,-0.45479933273238426,418,238,47,424,2040,5863,2021,1,6.618556701030927,55.88235294117647,7.1340206185567006,8.742268041237113,9.587628865979381,4.90721649484536,1.2989690721649483,11.666666666666666,20.784313725490197,9.11764705882353,13.097713097713099,5.94990331871432,5.439224381701255,111.83831313953898,89.00391144911299,App State,843.496,-7.7499,-8.021979492403084,0.8460143483459546,-1.138503441665181
Arizona,267,Pac-12,563.6,575,109,8,190,70,30,344,293,2.4618374081108474,522,246,53,590,2563,5444,2021,1,4.678850248403123,36.84210526315789,5.493257629524486,9.421575585521644,9.182044002838891,3.928317955997161,0.47906316536550747,9.598127194693719,23.019898556379243,13.421771361685524,5.434782608695652,4.247428961834923,4.769211752170648,104.93987688306645,116.37549040646336,Arizona,1201.9759999999999,-5.365800000000008,-8.721501648185608,0.9181329576288876,2.8772500554126124
