Player,Pos,B/T,player_id,Team,Conference,Yr,R/PA,GP,BB,CS,GS,HBP,IBB,K,RBI,SF,AB,PA,H,2B,3B,HR,R,SB,OPS+,Picked,Sac,BA,SlgPct,OBPct,ISO,wOBA,K%,BB%,SB%,wRC+,wRC,Batting,Baserunning,Adjustment,WAR,Clutch,WPA,REA,WPA/LI,wSB,wGDP,wTEB,EBT,Opportunities,OutsOB,GDPOpps,GDP,Division,Season
Micah Christian,P,R/R,7808505,AUM,Gulf South,Jr,0.05263157894736842,9,2,0,2,0,0,8,2,0,17,19,4,1,0,0,1,0,48.16203433529436,0,0,0.235,0.294,0.316,0.059,0.2942105263157895,42.10526315789473,10.526315789473683,0.0,41.67284392406808,1.5930722758863733,-1.9073753804681102,0.0,0.14508000000000001,0.0,0.2828381262040766,0.2450000000000004,-10.064,-0.01773442917972991,-0.018556492172555346,-0.16497367673722613,0.0,0.0,0.0,0.0,14.0,0.0,2,2023
Cole Kehoe,INF,L/R,7808506,AUM,Gulf South,So,0.16666666666666666,17,3,0,3,1,0,2,1,0,8,12,2,0,0,0,2,0,85.33509883138268,0,0,0.25,0.25,0.5,0.0,0.4183333333333333,16.666666666666664,25.0,0.0,119.21391783290912,2.648349019366754,0.4375399732481329,0.025075838537709103,0.27404000000000006,0.12547940085955367,0.030262221491541383,0.08419999999999989,-7.808,0.0634379330679639,-0.022267790607066417,-0.07070300431595405,0.11804663346072958,1.0,2.0,0.0,6.0,0.0,2,2023
Clayton Phillips,INF,R/R,7808509,AUM,Gulf South,So,0.17297297297297298,49,13,0,49,4,0,27,23,2,166,185,39,8,0,2,32,2,50.53047569234461,0,2,0.235,0.319,0.303,0.08400000000000002,0.28996216216216214,14.594594594594595,7.027027027027027,100.0,39.01883756743189,14.644958076501707,-19.43834805116037,0.28707978943861956,0.78988,-1.3383414380586203,-0.5780363674376273,0.020400000000000244,-99.434,0.6002341571797641,0.22928027201249082,-1.1497367673722612,1.20753628479839,11.0,23.0,0.0,140.0,1.0,2,2023
Nick Freeman,OF,L/R,7808512,AUM,Gulf South,So,0.193717277486911,44,32,1,44,2,1,20,23,3,153,191,37,5,0,0,37,15,58.70905219719575,0,8,0.242,0.275,0.374,0.03300000000000003,0.3310317460317461,10.471204188481675,16.75392670157068,93.75,64.67552157866795,23.768541066960733,-11.420169583760655,0.017610459264728817,0.28600000000000003,-0.7952390437653534,0.41407307018700656,1.0413999999999983,-111.972,0.637086554947421,2.127706663241413,-1.1497367673722612,-0.9603594366044232,8.0,30.0,1.0,140.0,1.0,2,2023
Clayton Ashberry,P,R/R,7808513,AUM,Gulf South,So,0.0,4,0,0,0,0,0,2,1,1,4,5,0,0,0,0,0,0,-100.0,0,0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,-142.1241609453686,-1.2026586913976265,-2.123829127280385,0.0,0.06448000000000001,0.0,-0.085,-0.017,-1.734,-0.02125,0.0,-0.047135336210636036,0.0,0.0,0.0,0.0,4.0,0.0,2,2023
Zach Dew,INF,R/R,7808517,AUM,Gulf South,So,0.1717171717171717,49,13,1,49,0,0,21,31,2,183,198,60,9,0,2,34,6,88.22819850782176,0,3,0.328,0.41,0.369,0.08199999999999996,0.353979797979798,10.606060606060606,6.565656565656567,85.71428571428571,79.01145737422493,29.64924724292522,-6.829102018032032,3.290908997189843,0.78988,-0.1679325151829263,0.21610280431280882,0.7320000000000003,-98.163,0.6041086121776779,0.3388405585449469,1.9091824028910338,1.0428860357538623,15.0,38.0,0.0,135.0,7.0,2,2023
Kasey Clark,1B,L/R,7808518,AUM,Gulf South,Jr,0.1651376146788991,50,14,1,50,4,1,21,58,3,196,218,75,18,2,8,36,3,150.85337052695021,0,0,0.383,0.617,0.429,0.23399999999999999,0.44908796296296294,9.63302752293578,6.422018348623854,75.0,138.42672059213996,55.50363554891786,15.340604544429576,-0.20653847404868775,-4.017,0.8700234126891497,-0.11532105352906075,1.2391999999999999,-66.208,1.5129382871645927,-0.26858203832407535,-0.20865593763555634,0.27069950191094394,10.0,30.0,0.0,145.0,3.0,2,2023
Brook Brannon,INF,R/R,7808520,AUM,Gulf South,Sr,0.07017543859649122,19,5,0,15,3,0,11,4,0,49,57,11,4,0,0,4,1,55.262000354079845,0,0,0.224,0.306,0.333,0.08199999999999999,0.3128947368421053,19.298245614035086,8.771929824561402,100.0,53.3451045195332,5.9534174891806195,-4.547925479882831,-0.06460138627495501,0.30628,-0.26093140538288756,-0.09782874457069776,0.03280000000000071,-36.201,0.13904340425656253,0.14433052348233397,0.06399814005161664,-0.2729300498089056,0.0,3.0,0.0,37.0,1.0,2,2023
Jordan Moore,INF,R/R,7808521,AUM,Gulf South,So,0.36363636363636365,7,1,0,1,2,0,4,3,0,8,11,2,0,0,0,4,0,73.78862131274842,0,0,0.25,0.25,0.455,0.0,0.38763636363636367,36.36363636363637,9.090909090909092,0.0,100.03713595660379,2.055363668340878,0.028788709398808565,0.6996984342223137,0.11284000000000002,0.13351104224464885,-0.009449050088874925,-0.01299999999999979,-2.4979999999999998,-0.00036227066584189685,-0.018556492172555346,-0.11783834052659009,0.8360932669214591,4.0,4.0,0.0,10.0,0.0,2,2023
Brody Syer,OF,L/L,7808522,AUM,Gulf South,Sr,0.15384615384615385,49,40,2,49,2,2,30,39,3,161,208,41,10,0,6,32,1,101.28731246179493,0,0,0.255,0.429,0.403,0.174,0.3864852941176471,14.423076923076922,19.230769230769234,33.33333333333333,99.31804839510193,38.60108661478332,0.28039648206055023,-2.499647643841672,0.3185,-0.1059790771214783,1.005295628981167,1.9268000000000003,-80.93299999999999,0.9554160510188333,-1.3033522752739535,-1.1261690992669433,-0.07012626930077515,14.0,40.0,1.0,138.0,1.0,2,2023
Hunter Phillips,INF,R/R,7983982,AUM,Gulf South,Jr,0.16666666666666666,4,2,0,0,1,0,2,0,0,3,6,0,0,0,0,1,0,28.294194651492077,0,0,0.0,0.0,0.5,0.0,0.39799999999999996,33.33333333333333,33.33333333333333,0.0,106.51142954169401,1.1896651381288015,0.08426061506949101,0.15075408521619554,0.06448000000000001,0.09366804465666294,-0.03039560439560411,-0.022599999999999898,-4.89,-0.039142857142857104,-0.011133895303533209,-0.047135336210636036,0.20902331673036478,1.0,1.0,0.0,4.0,0.0,2,2023
Jackson Ceman,UT,R/R,7808501,AUM,Gulf South,Jr,0.18807339449541285,50,16,1,50,15,0,13,27,3,184,218,61,7,1,1,41,7,98.86125612352559,0,4,0.332,0.397,0.422,0.065,0.389394495412844,5.963302752293578,7.339449541284404,87.5,101.13546292243107,41.15614279707009,0.993111792581801,1.729417948037812,0.806,0.3000851308916043,-0.40334291238205244,1.2969999999999988,-120.746,1.708804235774409,0.46090329142021436,0.1617218877851947,1.106792768832403,14.0,34.0,0.0,156.0,4.0,2,2023
Jake Spivey,UT,R/R,7808504,AUM,Gulf South,Jr,0.21428571428571427,13,2,0,5,0,0,9,7,0,26,28,5,0,0,2,6,1,60.66030719812095,0,0,0.192,0.423,0.25,0.23099999999999998,0.2765357142857143,32.142857142857146,7.142857142857142,100.0,30.63116722596359,1.8020462785591784,-3.356508162384271,-0.3271632230346411,0.20956000000000002,-0.1934955069406789,0.08398493167815581,0.04600000000000019,-7.067,-0.0320401387045044,0.18144350782744467,-0.23567668105318018,-0.2729300498089056,0.0,3.0,0.0,20.0,0.0,2,2023
Cooper Doughman,C,R/R,7983977,AUM,Gulf South,So,0.12060301507537688,49,16,1,49,3,0,24,37,5,175,199,53,9,0,4,24,0,89.39820680005516,1,1,0.303,0.423,0.362,0.12,0.3517035175879397,12.060301507537687,8.040201005025125,0.0,77.58943647135104,29.29956445723665,-7.36301889089715,0.09258313752037162,3.9366600000000003,-0.2120740745956815,0.20231778445688609,-0.3315999999999986,-87.542,-0.5588397051249431,-0.85002554615152,2.015236909364965,-1.0726282256930733,7.0,21.0,2.0,126.0,7.0,2,2023
JJ Graham,UT,R/R,7983978,AUM,Gulf South,Fr,0.0,3,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,-100.0,0,0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,-142.12416094536863,-0.7215952148385758,-1.274297476368231,0.0,0.04836,0.0,0.0,0.0,-1.706,0.0,0.0,0.464648497842023,0.0,0.0,0.0,0.0,3.0,1.0,2,2023
Cole McWhorter,C,R/R,7983980,AUM,Gulf South,So,0.15,36,16,0,25,4,0,10,7,0,80,100,19,1,0,0,15,2,57.110376008054445,0,1,0.238,0.25,0.39,0.01200000000000001,0.33703000000000005,10.0,16.0,100.0,68.42270604421616,13.10559133191517,-5.317817385740005,0.133405525427308,2.89224,-0.11698616301084351,-0.031663925674900284,-0.4179999999999997,-64.14699999999999,-0.4096138331225029,0.2589706594885794,0.7340507865771644,-0.8596159206384358,5.0,19.0,1.0,65.0,3.0,2,2023
Brett Pitts,UT,R/R,7983970,AUM,Gulf South,Jr,0.1791044776119403,28,6,0,14,1,0,11,11,0,60,67,20,2,0,0,12,1,87.14116822518206,0,1,0.333,0.367,0.403,0.033999999999999975,0.3678208955223881,16.417910447761194,8.955223880597014,100.0,87.65816456138805,11.055266589296064,-1.2884172515329042,1.8914876069400162,0.4513600000000001,0.1399803117832817,0.04374088727705224,0.07559999999999999,-37.307,0.05671326119456347,0.10721753913722328,0.9579436335776856,0.8263264342251073,7.0,14.0,0.0,46.0,3.0,2,2023
Brody Perdue,C,R/R,7983966,AUM,Gulf South,So,1.0,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,142.3760030112733,0,0,0.5,0.5,0.5,0.0,0.4615,0.0,0.0,0.0,146.18067576261987,0.5365770967595823,0.16810892240647876,-0.11825564980946429,0.16068000000000002,0.08766771632067445,0.0,0.0736,-1.501,0.0,-0.0037112984345110695,-0.023567668105318018,-0.0909766832696352,0.0,1.0,0.0,2.0,0.0,2,2023
Jarren Wright,OF,L/R,7983967,AUM,Gulf South,Jr,0.16489361702127658,48,13,1,46,2,0,22,16,2,171,188,43,6,0,0,31,4,44.76877029313653,0,3,0.251,0.287,0.309,0.035999999999999976,0.28454787234042556,11.702127659574469,6.914893617021277,80.0,35.636462826488255,13.760187558465786,-20.875820830725946,1.8972414563239428,0.312,-1.3617737181334657,0.10939209404927208,-0.24409999999999765,-111.97,-0.3645004841501578,-0.02404645710994255,1.0505884115229418,0.8706995019109436,12.0,30.0,0.0,123.0,5.0,2,2023
Hayato Niki,OF,R/R,7808619,Academy of Art,PacWest,Sr,0.1925133689839572,48,6,2,48,6,0,18,21,1,174,187,60,13,1,1,36,6,101.00383017201287,1,4,0.345,0.448,0.385,0.10300000000000004,0.3781657754010696,9.62566844919786,3.2085561497326207,75.0,100.53151449537114,32.98859140258876,3.2444905029345117,0.28817338354338373,0.312,0.27474008289721913,0.42914393059660516,1.841800000000001,-102.309,1.334833534192128,-0.27366188779786477,-1.0908175971089662,1.6526528684502146,14.0,28.0,0.0,135.0,1.0,2,2023
Liam Rizzo,C,R/R,7808622,Academy of Art,PacWest,Jr,0.10778443113772455,42,8,1,41,5,0,27,28,4,150,167,36,6,0,2,18,1,48.19275541603434,0,0,0.24,0.32,0.293,0.08000000000000002,0.28208383233532935,16.16766467065868,4.790419161676647,50.0,40.5079198991534,11.769457700704063,-14.793455936955082,-0.9250489612156373,3.37428,-0.9319087583229484,-0.22250085887329585,-0.776599999999998,-79.70599999999999,-0.45013967826476353,-0.5832221743303209,1.1448590839442139,-1.4866858708295303,2.0,16.0,1.0,115.0,5.0,2,2023
Patrick Morgan,UT,R/R,7808627,Academy of Art,PacWest,So,0.125,30,7,0,20,0,0,26,11,1,72,80,20,4,0,2,10,0,81.8711037564662,0,0,0.278,0.417,0.338,0.13899999999999996,0.33527500000000005,32.5,8.75,0.0,73.73710929865528,10.329677034661133,-2.3950720133192953,0.022037253887279618,0.48360000000000003,-0.10659152659391673,0.013921625352852823,0.21480000000000024,-44.986,0.1876477895921175,-0.07793726712473246,-0.2541653793701766,0.3541399003821887,3.0,6.0,0.0,64.0,1.0,2,2023
Emil Jellinek,INF,R/R,7808629,Academy of Art,PacWest,So,0.11904761904761904,46,15,0,45,6,0,65,20,2,145,168,27,9,0,6,20,1,58.26114476033069,0,2,0.186,0.372,0.286,0.186,0.2929107142857143,38.69047619047619,8.928571428571429,100.0,47.27160881088125,13.845353746327515,-12.876619254431386,-0.022940392183119884,0.7415200000000001,-0.9183863010999374,-0.09702079505477446,-0.6127999999999982,-102.78399999999999,-0.5518920764332043,0.07752715166113472,-0.27265407768717287,0.17218653384291827,3.0,8.0,0.0,108.0,2.0,2,2023
Peter Torres,C,R/R,7987992,Academy of Art,PacWest,Sr,0.19444444444444445,8,5,1,8,5,0,4,6,0,26,36,10,1,0,0,7,3,139.1763543248341,0,3,0.385,0.423,0.556,0.03799999999999998,0.4879444444444444,11.11111111111111,13.88888888888889,75.0,169.11162555186192,10.708001854131133,4.981864782539941,-1.3402407036575568,0.6427200000000001,0.37737590798220616,0.1970266954924908,1.0355999999999994,-13.270000000000001,0.4826330030976887,-0.10157360877107721,0.20540414868352475,-1.4440712435700043,0.0,2.0,2.0,25.0,1.0,2,2023
Fernando Duenas,P,R/R,7987995,Academy of Art,PacWest,Jr,1.0,22,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,-100.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.71338718513852,-0.2405317382795253,-0.39959110137928067,0.0,0.35464,0.0,0.01791666666666673,0.0160000000000001,-1.857,0.008750000000000101,0.0,-0.011783834052659009,0.0,0.0,0.0,0.0,1.0,0.0,2,2023
Ryne Lina,3B,R/R,7985620,Academy of Art,PacWest,Jr,0.05925925925925926,42,8,0,39,6,0,38,9,0,121,135,23,4,1,1,8,0,30.540413482982153,0,0,0.19,0.264,0.274,0.07400000000000001,0.2607703703703704,28.14814814814815,5.9259259259259265,0.0,27.193132962014886,6.341886776586024,-15.13112724188095,0.7672942219497183,0.67704,-1.0179900152733168,-0.12305385445893402,-0.21999999999999864,-89.67999999999999,-0.12334614554106443,-0.11505025146984316,1.0101579395766431,-0.12781346615708167,2.0,8.0,0.0,84.0,4.0,2,2023
Larry Fonseca,INF,R/R,7988004,Academy of Art,PacWest,Jr,0.1440677966101695,36,15,0,31,1,0,20,6,1,101,118,20,2,0,0,17,1,27.999127182274776,0,0,0.198,0.218,0.305,0.01999999999999999,0.2687966101694916,16.94915254237288,12.711864406779661,100.0,32.207225604842186,6.587486415540829,-12.181518430230303,0.43312613037020986,0.5803200000000001,-0.8209837876636428,-0.02100992608237784,-0.3995999999999997,-78.22699999999999,-0.3953704297895079,0.07381585322662365,0.06907710983993831,0.2902331673036479,4.0,10.0,0.0,79.0,2.0,2,2023
