Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
Adrian,47,Michigan Intercol. Ath. Assn.,1576.0,171.0,4.0,28.0,72.0,1851.0,503.0,106.0,21.0,33.0,370.0,63.0,7.0,26.0,375.00104420429426,46.358724292699144,4.000499597305406,7.861362645348838,5.1329176378639465,315.0,14.0,334.0,47,2021,3,99.1022884351396,343.0,81.81818181818183,9.238249594813615,17.01782820097245,0.31916243654822335,0.47588832487309646,0.4051863857374392,0.1567258883248731,120.0464555918474,0.1998919502971367,0.41556646771568095,Adrian,-619.802,11.303400000000003,11.817528493874285,0.9119496855345912,0.5772342647464086
Albertus Magnus,19,Great Northeast,554.0,65.0,2.0,0.0,18.0,639.0,139.0,28.0,3.0,12.0,89.0,13.0,3.0,1.0,89.85887443194939,-31.719930876019056,-7.515397690050435,7.979127906976745,-0.5410094929980662,140.0,3.0,77.0,19,2021,3,112.28770102622698,96.0,81.25,10.172143974960877,21.90923317683881,0.2509025270758123,0.37725631768953066,0.350547730829421,0.12635379061371838,82.08070074108811,0.13928012519561817,0.3547102362204725,Albertus Magnus,-280.764,2.1134000000000026,2.4981524245485964,0.8325171821305841,0.04041380010441742
Albion,39,Michigan Intercol. Ath. Assn.,1236.0,105.0,1.0,16.0,32.0,1390.0,346.0,77.0,13.0,12.0,221.0,49.0,7.0,3.0,193.0286486510853,-55.05196063456716,-7.931720399968728,14.321446220930234,-3.261111242638943,282.0,16.0,195.0,37,2021,3,99.64216728006016,244.0,75.38461538461539,7.553956834532374,20.287769784172664,0.27993527508090615,0.39239482200647247,0.34820143884892085,0.11245954692556631,85.11285975285539,0.15899280575539568,0.35437824207492796,Albion,-544.0120000000001,3.616800000000004,7.131076377307059,0.8742919389978214,-2.99424308550541
Albright,19,MAC Commonwealth,599.0,52.0,0.0,6.0,18.0,675.0,148.0,27.0,3.0,9.0,79.0,8.0,2.0,1.0,74.13502936601236,-38.256160286688726,3.2796947892652635,3.491718750000001,-1.916829014252386,147.0,2.0,67.0,19,2021,3,99.7974298751119,109.0,80.0,7.703703703703704,21.777777777777775,0.24707846410684475,0.34724540901502504,0.32296296296296295,0.10016694490818029,67.67460740605522,0.11703703703703704,0.3263377777777778,Albright,-347.546,-0.1625999999999984,0.012903906246510322,0.6749404761904763,-0.2538140394152177
Alfred St.,41,AMCC,1258.0,197.0,1.0,24.0,51.0,1531.0,353.0,83.0,12.0,28.0,266.0,63.0,5.0,29.0,279.512102695906,-4.141176102750482,-3.8139334914591836,3.684734738372093,0.2146714030545332,244.0,20.0,234.0,41,2021,3,107.06527174824508,230.0,75.90361445783132,12.867406923579361,15.937295885042454,0.28060413354531,0.43243243243243246,0.3932070542129327,0.15182829888712246,106.4687677105927,0.1737426518615284,0.3963394375408764,Alfred St.,-649.058,6.991800000000001,8.578490894647931,0.9036684782608696,-0.8413614404305187
Allegheny,27,NCAC,734.0,74.0,4.0,15.0,30.0,857.0,211.0,49.0,7.0,15.0,148.0,50.0,5.0,8.0,143.66827518776603,-3.3880380348050254,8.40195615100233,8.226137354651165,1.7212801765210708,138.0,7.0,122.0,27,2021,3,95.7935329749904,140.0,87.71929824561403,8.634772462077013,16.102683780630105,0.28746594005449594,0.43460490463215257,0.37222870478413067,0.14713896457765663,101.52831211885989,0.17269544924154026,0.3819670200235571,Allegheny,-362.416,5.045000000000001,5.209935391480229,0.9925657298277425,-0.1271485811039037
Alma,33,Michigan Intercol. Ath. Assn.,1020.0,122.0,3.0,15.0,41.0,1201.0,303.0,45.0,16.0,18.0,210.0,22.0,4.0,13.0,215.0872091536925,-7.430679174417452,-5.474955225724359,18.489996366279073,1.0269245957398248,171.0,9.0,189.0,33,2021,3,103.60469990577684,224.0,70.96774193548387,10.15820149875104,14.238134887593674,0.29705882352941176,0.42549019607843136,0.39050791007493757,0.1284313725490196,104.09514477238409,0.17485428809325562,0.39298075313807534,Alma,-464.362,8.761400000000002,8.94545557621361,0.8672229639519359,1.1573673011630383
Alvernia,33,MAC Commonwealth,1074.0,104.0,2.0,12.0,52.0,1244.0,336.0,72.0,14.0,15.0,234.0,42.0,3.0,13.0,235.970691030458,27.27331691302695,2.743681534029345,17.50323401162791,4.3039413817556404,190.0,13.0,210.0,33,2021,3,100.53011484543173,235.0,76.36363636363637,8.360128617363344,15.27331189710611,0.3128491620111732,0.4478584729981378,0.3971061093247588,0.13500931098696461,111.19656599375114,0.18810289389067525,0.40325967741935487,Alvernia,-524.123,6.841000000000002,7.395058242388245,0.981113195747342,-0.4223663759935459
Amherst,13,NESCAC,378.0,40.0,1.0,4.0,19.0,442.0,106.0,17.0,5.0,4.0,77.0,15.0,0.0,3.0,69.57031368333948,-6.115074819994435,-1.0083602730035985,0.19471656976744173,0.16958293491615398,79.0,2.0,69.0,13,2021,3,99.21397636175834,80.0,88.23529411764706,9.049773755656108,17.873303167420815,0.2804232804232804,0.3835978835978836,0.3755656108597285,0.1031746031746032,90.12211429315013,0.17420814479638008,0.37219545454545455,Amherst,-190.781,4.010400000000001,3.537207411007794,0.934111880046136,0.7560684648989828
Anderson (IN),42,HCAC,1448.0,220.0,12.0,23.0,59.0,1762.0,439.0,101.0,9.0,38.0,347.0,132.0,15.0,8.0,366.3224913387361,41.56758529490569,-2.3105332467055306,5.147659883720929,4.21547820575303,270.0,28.0,304.0,42,2021,3,105.8808218931983,291.0,82.5,12.485811577752553,15.32349602724177,0.3031767955801105,0.46408839779005523,0.41430192962542567,0.16091160220994472,119.58062868673495,0.19693530079455165,0.419180667433832,Anderson (IN),-680.2080000000001,14.729899999999999,15.359140999868492,0.8818890417239799,1.343527139884026
