Player,Pos,B/T,player_id,Team,Conference,Yr,R/PA,GP,BB,CS,GS,HBP,IBB,K,RBI,SF,AB,PA,H,2B,3B,HR,R,SB,OPS+,Picked,Sac,BA,SlgPct,OBPct,ISO,wOBA,K%,BB%,SB%,wRC+,wRC,Batting,Baserunning,Adjustment,WAR,Clutch,WPA,REA,WPA/LI,wSB,wGDP,wTEB,EBT,Opportunities,OutsOB,GDPOpps,GDP,Division,Season
A. Camacho,2B,0.0,d3d-7158773,UMass Dartmouth,Little East,-,0.0,3,0.0,0.0,1,0.0,0.0,0.0,2.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2163585199771445,0.0,0.0,0.2,0.2,0.2,0.0,0.1956,0.0,0.0,0.0,-15.30460201242159,-0.1282494466459265,-0.9729776846359084,0.0,0.0465,0.0,-0.056272554605888,-0.092,0.1300000000000003,-0.0573076923076922,-0.0042628254221086,-0.0531453021854436,0.0,0.0,0.0,0.0,5.0,0.0,3,2021
A. Jaworski,SS,0.0,7151829,Penn College,United East,-,1.0,3,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-126.4820460036017,-0.22834418984732,-0.3962906764816599,0.0,0.13875,0.0,0.0,0.0,-1.0200000000000002,0.0,0.0,-0.0106290604370887,0.0,0.0,0.0,0.0,1.0,0.0,3,2021
A. Mancini,PH,0.0,7159313,Susquehanna,Landmark,-,1.0,1,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,401.08179259988566,0.0,0.0,1.0,1.0,1.0,0.0,0.978,0.0,0.0,0.0,453.2609346184504,0.7851273127433536,0.6235159425126903,0.0,-0.0185,0.0,0.0,0.0,1.0,0.0,-0.0042628254221086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021
A. Pugh,1B,0.0,d3d-7144547,Valley Forge,CSAC,-,0.0,4,1.0,0.0,1,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.893867346438554,0.0,0.0,0.0,0.0,0.25,0.0,0.20325,50.0,25.0,0.0,-24.830194705287106,-0.0708897127571557,-0.9962473360453398,0.0,-0.309,0.0,-0.097134453781513,-0.0342,-3.370000000000001,-0.0235714285714282,-0.0042628254221086,-0.0425162417483549,0.0,0.0,0.0,0.0,4.0,0.0,3,2021
A.J. Cook,INF,0.0,d3d-7154032,Elms,NECC,Fr,0.2222222222222222,24,9.0,2.0,24,9.0,0.0,19.0,12.0,1.0,80.0,99.0,28.0,4.0,1.0,0.0,22.0,10.0,123.37674307952122,1.0,0.0,0.35,0.425,0.465,0.075,0.4439292929292929,19.19191919191919,9.090909090909092,83.33333333333334,133.40653889223142,22.936930386462464,4.306059015852068,-0.3150646277490053,0.372,0.4262908722044656,0.0,0.0,0.0,0.0,0.5495670959585168,-0.7334051701591221,-0.1312265535484,5.0,25.0,0.0,69.0,0.0,3,2021
A.J. Corso,C,0.0,6915606,SUNY Maritime,Skyline,Sr,0.0,3,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,66.86023693576193,0.0,0.0,0.333,0.333,0.333,0.0,0.326,33.33333333333333,0.0,0.0,60.65308784408651,0.3284389330487136,-0.1629192147196993,0.0,0.2317499999999999,0.0,-0.0520776699029126,-0.0378,-2.725,-0.036,-0.0042628254221086,-0.0212581208741774,0.0,0.0,0.0,0.0,2.0,0.0,3,2021
A.J. Herrera,INF,0.0,7130438,Southern Va.,C2C,Fr,0.0588235294117647,17,4.0,0.0,5,0.0,0.0,13.0,1.0,0.0,30.0,34.0,3.0,1.0,0.0,0.0,2.0,0.0,-14.345130849375265,1.0,2.0,0.1,0.133,0.206,0.033,0.1903529411764706,38.23529411764706,11.76470588235294,0.0,-37.286299364847245,-1.0569667035135424,-7.944490635002152,0.4221893535240162,0.2635,-0.4858764170690432,-0.10034896750109,-0.3883999999999989,-29.76,-0.3051235599714363,-0.0255769525326521,0.2130153681986044,0.234750937858064,1.0,1.0,0.0,27.0,1.0,3,2021
A.J. Kinney,P,0.0,6925976,Fredonia,SUNYAC,Jr,0.1,5,2.0,1.0,3,0.0,0.0,0.0,1.0,0.0,8.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,64.3341277421083,0.0,0.0,0.25,0.25,0.4,0.0,0.3581999999999999,0.0,20.0,0.0,88.82070725542911,1.4284751999723957,-0.4037951453515813,0.0,0.0775,0.0,-0.0231619644723099,0.1616000000000002,-2.235,0.2089090909090917,-0.6548798325559482,-0.0637743626225323,0.0,0.0,0.0,0.0,6.0,0.0,3,2021
A.J. Mitchell,INF,0.0,6922820,Trine,Michigan Intercol. Ath. Assn.,Sr,0.1495327102803738,27,14.0,0.0,27,5.0,0.0,17.0,23.0,0.0,88.0,107.0,29.0,7.0,1.0,2.0,16.0,0.0,137.25924523861633,0.0,1.0,0.33,0.5,0.449,0.1699999999999999,0.4528411214953271,15.887850467289718,13.084112149532707,0.0,136.50161314328852,25.77857065006733,6.080829545077753,-1.4524354501474654,0.4185,0.4346011141229436,-0.2592188233929693,0.9135999999999996,-36.075,1.2531304309694622,-0.1619873660401304,-0.1696308075365896,-1.1208172765707454,1.0,12.0,1.0,63.0,1.0,3,2021
A.J. Pietrafesa,C,0.0,d3d-7154444,Mass. Maritime,MASCAC,Fr,0.125,4,2.0,0.0,3,0.0,0.0,3.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,-34.893867346438554,0.0,0.0,0.0,0.0,0.25,0.0,0.20325,37.5,25.0,100.0,-9.524077304559848,-0.1417794255143114,-1.2474354294161545,0.0184599831235557,0.309,0.002503965812004,0.0362413244650084,-0.0274,-6.378,-0.0623365625602465,0.1914743491557826,-0.0425162417483549,-0.130498124283872,0.0,2.0,0.0,4.0,0.0,3,2021
