team_name,Years,iPF,PF,H,R,total_home_games,total_away_games,PF_singles,PF_doubles,PF_triples,PF_home_runs,PF_walks,PF_stolen_bases,PF_strikeouts,PF_ground_balls,PF_line_drives,PF_fly_balls,PF_infield_flys,PF_FIP
Air Force,2021-2024,1.383522068828514,123.01132412971086,10.050632911392404,5.673611111111111,79.0,144.0,104.82883901941608,113.41630569789474,117.44247908569379,103.92260346179715,100.14903233555268,94.32881266980122,94.4345948429225,103.58132425117006,122.93958800824115,98.71404517453844,95.55913150682393,92.77894844937673
Morehead St.,2021-2024,1.376135556623758,122.56813339742548,10.16304347826087,5.785714285714286,92.0,126.0,102.75697791086075,105.63611014247194,94.72126829393409,125.81182621805544,101.6881189473855,102.73931278259964,98.48185169590134,101.28711428431588,109.97080276301891,99.2773373019615,103.14378951391774,86.0324134860878
New Mexico,2021-2024,1.36116267148911,121.6697602893466,9.68421052631579,5.609523809523809,95.0,105.0,104.41069541694839,108.16164908473706,117.07125232338338,103.60492697932338,101.6971374217532,104.67681925992358,97.35428623144249,107.22168601513013,108.52549536822733,98.04144772921414,93.14048097550285,93.55855226599277
Hartford,2021-2024,1.328483040655884,119.70898243935304,6.096153846153846,3.671232876712329,52.0,73.0,100.82538000041679,103.75726361592189,114.10588829223617,122.38638563823814,101.52015276794909,103.93540463108472,97.80189974583259,98.65541990855851,108.71990710567407,101.55460664117892,102.71156647544446,85.92578563207822
Mississippi Val.,2021-2024,1.2918030932942726,117.50818559765636,6.931034482758621,4.368421052631579,58.0,95.0,96.08008030109316,95.77811723054836,88.00518935759219,114.94521629353814,96.9300446023409,99.23183856053215,95.11516210146881,100.80420482277759,106.05599911196613,97.39197122410353,97.0082332727247,91.92397174739729
Texas Tech,2021-2024,1.288732394366197,117.32394366197182,9.746031746031743,6.166666666666667,126.0,114.0,102.9181644913661,103.80791079288765,109.65251866450838,107.4986330524619,102.26508104027978,102.56090335232683,96.92592224816494,103.70613800701571,100.93689459252711,100.9952798669089,94.4701429186264,90.84623548874163
Le Moyne,2021-2024,1.277756772085235,116.6654063251141,8.25,5.294117647058823,16.0,34.0,100.17873439094001,95.46815012091275,65.69591636009868,168.68235977684552,106.46769938951968,94.74913705053773,97.17427320049057,101.52549599113559,104.30896482036233,101.82048394922995,122.38315257354692,72.48327432209081
Canisius,2021-2024,1.2751639904383183,116.50983942629912,8.885245901639344,5.72093023255814,61.0,129.0,97.8125306285671,109.77361965820262,119.8671250788256,113.68655424831502,105.03167163473275,98.58575505529083,101.29930811684567,98.70449403482372,106.04959246921601,98.47464393863025,99.81353583850098,91.02699153773824
Longwood,2021-2024,1.2723426741393111,116.34056044835869,7.630434782608695,4.931034482758621,92.0,116.0,100.90617302272493,101.97116806507474,96.30748006376109,99.89974023699692,103.7335590403335,102.55749439824886,101.15989527203246,97.69110738542852,100.03402567047381,102.51632549844263,95.6605584112938,97.18842752362089
New Mexico St.,2021-2024,1.271813649361337,116.30881896168022,8.376146788990825,5.416666666666667,109.0,108.0,103.25839938738923,102.58060017828028,104.42858493943572,115.78101045626536,100.32574268228419,101.74249971385368,100.47277887430471,104.33311977266901,98.48711061619254,99.87457654125473,96.02899047246206,90.55531510094674
Kansas St.,2021-2024,1.254499193960151,115.26995163760908,7.867256637168142,5.204918032786885,113.0,122.0,100.08268980940629,100.3757247061706,93.61690295160335,111.39795373932975,99.21237794895022,106.00976512278908,98.70021848425932,100.92913945341438,99.3213563361952,100.83435469442696,99.4696341371807,92.56920630270436
Indiana,2021-2024,1.2539747187929768,115.2384831275786,8.892156862745098,5.887096774193548,102.0,124.0,100.52066879755928,102.63354183124125,110.24812589863211,109.20613445341773,102.0131994554964,100.32971490112831,100.32955746636159,99.62776162200824,103.29633279679555,100.49953975322535,98.58756913771015,93.08417870772254
Ball St.,2021-2024,1.2520594665926716,115.1235679955603,8.764705882352942,5.817567567567568,85.0,148.0,101.55669862625263,107.161389629156,111.3054220609209,120.48111567217808,100.3728170171746,95.68379181146445,99.04970547684675,99.88944099860298,103.06819160812309,102.82116921346545,97.74667273213444,89.50810047159472
Nevada,2021-2024,1.2514419716461154,115.08651829876692,8.85,5.879032258064516,80.0,124.0,101.14509614508461,109.36355296626358,103.73404353294495,108.7192903267895,102.2267164521513,98.21126615414384,97.42813819033897,103.0651177701468,107.120314266188,98.44311804285816,99.52089885322451,91.78904103338368
Coastal Carolina,2021-2024,1.2470677958828602,114.8240677529716,9.51968503937008,6.361111111111111,127.0,108.0,100.705788285731,102.18261447368934,96.07273776852648,113.18257264736519,104.70354967214988,98.70459830122995,99.82740182046061,100.49135186515647,102.33150251295211,100.67620878790706,100.67933272199183,89.04526641345636
UIW,2021-2024,1.246650463103073,114.79902778618438,7.696078431372549,5.1454545454545455,102.0,110.0,100.68213453846997,100.71533487864173,109.27745209751885,104.17998218300974,100.21635716948991,97.90307788063718,98.57345796448226,102.43297488670547,105.41943968681373,99.55082259104519,96.58966756183987,94.47282889881274
Northwestern St.,2021-2024,1.2431995907123403,114.59197544274042,6.888888888888889,4.627272727272727,108.0,110.0,98.6922505384928,100.35230689391868,103.92041928887747,99.22280955664904,101.91717938776368,98.09665081967421,100.73379274049854,99.03759377723331,100.42308082208156,100.05743760312775,99.94804544580367,99.46516205040801
Tennessee,2021-2024,1.2400582666262796,114.40349599757678,9.379518072289155,6.327102803738318,166.0,107.0,97.78759325730178,102.21553859366468,97.43430180741251,108.63828838991417,106.24059209429093,101.51824927754471,99.582205880671,98.91969551552545,97.51622848116142,101.94855533603,101.6895515842118,90.26062989122715
