Division,Year,Bases,0,1,2
2,2023,1B 2B 3B,3.174,2.14,1.11
2,2023,1B 2B _,2.205,1.334,0.654
2,2023,1B _ 3B,2.383,1.568,0.75
2,2023,1B _ _,1.382,0.802,0.362
2,2023,_ 2B 3B,2.656,1.759,0.821
2,2023,_ 2B _,1.694,0.996,0.479
2,2023,_ _ 3B,1.948,1.285,0.564
2,2023,_ _ _,0.829,0.445,0.177
