,0,1,2
_ _ _,0.834,0.451,0.176
1B _ _,1.38,0.82,0.365
_ 2B _,1.692,1.032,0.475
1B 2B _,2.145,1.34,0.656
_ _ 3B,1.98,1.306,0.549
1B _ 3B,2.309,1.588,0.758
_ 2B 3B,2.6,1.787,0.828
1B 2B 3B,3.048,2.149,1.112
