,0,1,2
_ _ _,0.748,0.402,0.151
1B _ _,1.269,0.755,0.327
_ 2B _,1.525,0.925,0.425
1B 2B _,2.015,1.254,0.603
_ _ 3B,1.808,1.18,0.49
1B _ 3B,2.242,1.513,0.661
_ 2B 3B,2.458,1.694,0.764
1B 2B 3B,2.993,2.05,1.007
