events,count,total_re24,linear_weights_above_average,linear_weights_above_outs,normalized_weight
home_run,8006.0,11990.999,1.498,1.938,1.835
triple,1996.0,2334.814,1.17,1.6099999999999999,1.524
double,15373.0,13276.917,0.864,1.304,1.235
single,52919.0,30676.009000000002,0.58,1.02,0.966
hit_by_pitch,10670.0,4715.463000000001,0.442,0.882,0.835
walk,35738.0,15025.894,0.42,0.86,0.814
out,202479.0,-89038.13,-0.44,0.0,0.0
wOBA scale,,,,,0.947
