"","events","count","total_re24","linear_weights_above_average","linear_weights_above_outs","normalized_weight"
"1","home_run",17959,25786.3859999991,1.436,1.903,1.725
"2","triple",7729,9407.30399999973,1.217,1.684,1.527
"3","double",52020,49673.0780000033,0.955,1.422,1.289
"4","single",188879,113387.763999926,0.6,1.067,0.967
"5","hit_by_pitch",38139,18556.6419999985,0.487,0.954,0.865
"6","walk",115337,52492.5350000202,0.455,0.922,0.836
"7","out",666759,-311707.471999586,-0.467,0,0
"8","wOBA scale",NA,NA,NA,NA,0.907
