Runners,Outs,Inning,Top/Bot,score_diff,leverage_index
3,0,1,Bottom,-100,0.0
3,0,1,Bottom,-99,0.0
3,0,1,Bottom,-98,0.0
3,0,1,Bottom,-97,0.0
3,0,1,Bottom,-96,0.0
3,0,1,Bottom,-95,0.0
3,0,1,Bottom,-94,0.0
3,0,1,Bottom,-93,0.0
3,0,1,Bottom,-92,0.0
3,0,1,Bottom,-91,0.0
3,0,1,Bottom,-90,0.0
3,0,1,Bottom,-89,0.0
3,0,1,Bottom,-88,0.0
3,0,1,Bottom,-87,0.0
3,0,1,Bottom,-86,0.0
3,0,1,Bottom,-85,0.0
3,0,1,Bottom,-84,0.0
3,0,1,Bottom,-83,0.0
3,0,1,Bottom,-82,0.0
3,0,1,Bottom,-81,0.0
3,0,1,Bottom,-80,0.0
3,0,1,Bottom,-79,0.0
3,0,1,Bottom,-78,0.0
3,0,1,Bottom,-77,0.0
3,0,1,Bottom,-76,0.0
3,0,1,Bottom,-75,0.0
3,0,1,Bottom,-74,0.0
3,0,1,Bottom,-73,0.0
3,0,1,Bottom,-72,0.0
3,0,1,Bottom,-71,0.0
3,0,1,Bottom,-70,0.0
3,0,1,Bottom,-69,0.0
3,0,1,Bottom,-68,0.0
3,0,1,Bottom,-67,0.0
3,0,1,Bottom,-66,0.0
3,0,1,Bottom,-65,0.0
3,0,1,Bottom,-64,0.0
3,0,1,Bottom,-63,0.0
3,0,1,Bottom,-62,0.0
3,0,1,Bottom,-61,0.0
3,0,1,Bottom,-60,0.0
3,0,1,Bottom,-59,0.0
3,0,1,Bottom,-58,0.0
3,0,1,Bottom,-57,0.0
3,0,1,Bottom,-56,0.0
3,0,1,Bottom,-55,0.0
3,0,1,Bottom,-54,0.0
3,0,1,Bottom,-53,0.0
3,0,1,Bottom,-52,0.0
3,0,1,Bottom,-51,0.0
3,0,1,Bottom,-50,0.0
3,0,1,Bottom,-49,0.0
3,0,1,Bottom,-48,0.0
3,0,1,Bottom,-47,0.0
3,0,1,Bottom,-46,0.0
3,0,1,Bottom,-45,0.0
3,0,1,Bottom,-44,0.0
3,0,1,Bottom,-43,0.0
3,0,1,Bottom,-42,0.0
