events,count,linear_weights_above_average,linear_weights_above_outs,normalized_weight
home_run,10781,1.433,1.8760000000000001,1.701
triple,2758,1.357,1.8,1.632
double,22212,0.934,1.377,1.249
single,80440,0.575,1.018,0.923
hit_by_pitch,16036,0.457,0.9,0.816
walk,53017,0.424,0.867,0.786
out,280699,-0.443,0,0
wOBA scale,NA,NA,NA,0.907
