Division,Year,Bases,0,1,2
3,2022,1B 2B 3B,3.099,2.17,1.127
3,2022,1B 2B _,2.177,1.368,0.652
3,2022,1B _ 3B,2.364,1.607,0.755
3,2022,1B _ _,1.394,0.824,0.36
3,2022,_ 2B 3B,2.656,1.822,0.822
3,2022,_ 2B _,1.706,1.033,0.484
3,2022,_ _ 3B,1.969,1.299,0.562
3,2022,_ _ _,0.85,0.444,0.163
