events,count,total_re24,linear_weights_above_average,linear_weights_above_outs,normalized_weight
home_run,11174.0,15992.697,1.431,1.8820000000000001,1.733
triple,2876.0,3502.816,1.218,1.669,1.537
double,22507.0,21067.836,0.936,1.387,1.277
single,79766.0,47119.863,0.591,1.042,0.96
hit_by_pitch,15811.0,7520.269,0.476,0.927,0.854
walk,51493.0,22939.523,0.445,0.896,0.825
out,294689.0,-133021.61,-0.451,0.0,0.0
wOBA scale,,,,,0.921
