"","events","count","total_re24","linear_weights_above_average","linear_weights_above_outs","normalized_weight"
"1","home_run",16836,24377.997000001,1.448,1.916,1.745
"2","triple",7361,9023.81499999981,1.226,1.694,1.543
"3","double",49769,47130.6520000046,0.947,1.415,1.289
"4","single",187198,112195.27700011,0.599,1.067,0.972
"5","hit_by_pitch",36415,17726.8409999988,0.487,0.955,0.87
"6","walk",114868,52695.3360000015,0.459,0.927,0.844
"7","out",648244,-303482.362000051,-0.468,0,0
"8","wOBA scale",NA,NA,NA,NA,0.911
