events,count,total_re24,linear_weights_above_average,linear_weights_above_outs,normalized_weight
home_run,19096.0,27180.702,1.423,1.837,1.793
triple,3579.0,4263.057,1.191,1.605,1.567
double,30704.0,27083.965,0.882,1.296,1.265
single,104471.0,60065.706,0.575,0.9889999999999999,0.965
hit_by_pitch,21032.0,9704.014000000001,0.461,0.875,0.854
walk,75865.0,32938.868,0.434,0.848,0.828
out,424150.0,-175564.429,-0.414,0.0,0.0
wOBA scale,,,,,0.976
