events,count,total_re24,linear_weights_above_average,linear_weights_above_outs,normalized_weight
home_run,12675.0,18608.734,1.468,1.841,1.914
triple,3001.0,3481.3650000000002,1.16,1.533,1.593
double,23873.0,19856.286,0.832,1.205,1.253
single,85918.0,47678.502,0.555,0.928,0.965
hit_by_pitch,16004.0,6791.884,0.424,0.7969999999999999,0.828
walk,57949.0,23398.175,0.404,0.777,0.808
out,354812.0,-132398.398,-0.373,0.0,0.0
wOBA scale,,,,,1.039
