events,count,total_re24,linear_weights_above_average,linear_weights_above_outs,normalized_weight
home_run,16995.0,24016.492000000002,1.413,1.8170000000000002,1.785
triple,3544.0,4163.041,1.175,1.5790000000000002,1.551
double,29902.0,26498.797,0.886,1.29,1.267
single,103333.0,59100.81,0.572,0.976,0.959
hit_by_pitch,19779.0,9011.003999999999,0.456,0.8600000000000001,0.845
walk,70960.0,30546.647999999997,0.43,0.8340000000000001,0.819
out,417284.0,-168472.22,-0.404,0.0,0.0
wOBA scale,,,,,0.982
