Division,Year,Bases,0,1,2
3,2024,1B 2B 3B,3.147,2.187,1.074
3,2024,1B 2B _,2.18,1.342,0.625
3,2024,1B _ 3B,2.43,1.61,0.753
3,2024,1B _ _,1.403,0.818,0.352
3,2024,_ 2B 3B,2.656,1.814,0.805
3,2024,_ 2B _,1.723,1.025,0.469
3,2024,_ _ 3B,1.95,1.315,0.543
3,2024,_ _ _,0.856,0.438,0.163
