Division,Year,Bases,0,1,2
3,2021,1B 2B 3B,2.987,2.087,1.067
3,2021,1B 2B _,2.103,1.272,0.64
3,2021,1B _ 3B,2.596,1.713,0.822
3,2021,1B _ _,1.421,0.929,0.436
3,2021,_ 2B 3B,2.665,1.762,0.838
3,2021,_ 2B _,1.667,1.029,0.486
3,2021,_ _ 3B,2.099,1.376,0.591
3,2021,_ _ _,0.834,0.482,0.201
