Division,Year,Bases,0,1,2
1,2023,1B 2B 3B,2.926,2.059,1.075
1,2023,1B 2B _,2.028,1.272,0.621
1,2023,1B _ 3B,2.326,1.516,0.717
1,2023,1B _ _,1.299,0.764,0.34
1,2023,_ 2B 3B,2.488,1.71,0.761
1,2023,_ 2B _,1.557,0.943,0.433
1,2023,_ _ 3B,1.892,1.204,0.506
1,2023,_ _ _,0.774,0.419,0.165
