"","events","count","total_re24","linear_weights_above_average","linear_weights_above_outs","normalized_weight"
"1","home_run",12003,18953.9009999999,1.579,2.019,1.948
"2","triple",5525,6596.25400000017,1.194,1.634,1.576
"3","double",36842,32052.2899999916,0.87,1.31,1.264
"4","single",134425,77165.5579999929,0.574,1.014,0.978
"5","hit_by_pitch",26183,11120.6130000009,0.425,0.865,0.834
"6","walk",81490,32821.4120000008,0.403,0.843,0.813
"7","out",479906,-211323.555000084,-0.44,0,0
"8","wOBA scale",NA,NA,NA,NA,0.965
