Division,Year,Bases,0,1,2
1,2021,1B 2B 3B,2.852,1.973,1.043
1,2021,1B 2B _,1.882,1.194,0.598
1,2021,1B _ 3B,2.309,1.477,0.695
1,2021,1B _ _,1.225,0.775,0.356
1,2021,_ 2B 3B,2.413,1.632,0.723
1,2021,_ 2B _,1.458,0.88,0.402
1,2021,_ _ 3B,1.848,1.186,0.485
1,2021,_ _ _,0.696,0.389,0.151
