"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
"20",2024,"Abilene Christian","WAC",1,"11","Blaine Palmer","So","P",19,0,5.4,26.2,26,18,16,16,27,0,126,107,2,1,0,4,4,3,0,14,4,0,0,403,19,33,3,0,1,10,"5-11","R/R",573995,923,8259463,"http://stats.ncaa.org/players/8259463?year_stat_category_id=15081"
"21",2024,"Abilene Christian","WAC",1,"55","Luke Krkovski","Jr","P",4,0,11.81,5.1,6,7,7,5,7,0,27,22,1,0,0,1,1,0,1,3,0,0,0,43,7,2,0,0,0,2,"6-5","L/L",573995,923,8263181,"http://stats.ncaa.org/players/8263181?year_stat_category_id=15081"
"22",2024,"Abilene Christian","WAC",1,"30","Rolando De La Cruz","Sr","P",17,7,5.79,37.1,42,28,24,21,33,0,180,152,5,1,4,2,4,5,0,0,0,0,1,688,44,32,1,2,1,9,"6-0","R/R",573995,923,8279150,"http://stats.ncaa.org/players/8279150?year_stat_category_id=15081"
"23",2024,"Abilene Christian","WAC",1,"14","Austin Glaze","Sr","P",15,15,6.39,69,78,50,49,24,74,1,309,277,16,0,1,10,5,4,0,0,0,0,4,0,39,86,4,5,0,21,"6-1","R/R",573995,923,8284460,"http://stats.ncaa.org/players/8284460?year_stat_category_id=15081"
"24",2024,"Abilene Christian","WAC",1,"16","Parker Matthews","Fr","P",11,0,9.26,11.2,11,13,12,11,11,0,62,44,1,0,0,4,5,6,0,0,0,0,1,200,14,8,0,0,0,4,"6-5","B/R",573995,923,8282558,"http://stats.ncaa.org/players/8282558?year_stat_category_id=15081"
"25",2024,"Abilene Christian","WAC",1,"29","Nick Meyer","Sr","P",3,0,4.5,4,5,2,2,3,5,0,20,17,0,0,0,0,1,0,0,3,2,0,0,51,6,1,0,0,0,1,"6-7","L/L",573995,923,8282589,"http://stats.ncaa.org/players/8282589?year_stat_category_id=15081"
"26",2024,"Abilene Christian","WAC",1,"41","Brett Garcia","Sr","P",22,2,3.98,40.2,32,20,18,16,67,0,171,150,4,1,1,4,5,3,0,17,5,1,1,599,36,14,3,5,3,23,"6-2","R/R",573995,923,8381542,"http://stats.ncaa.org/players/8381542?year_stat_category_id=15081"
"27",2024,"Abilene Christian","WAC",1,"45","Brett Lanman","Fr","P",16,15,3.48,72.1,56,33,28,32,79,0,303,261,17,2,0,6,6,4,0,0,0,5,1,955,45,85,7,2,0,26,"6-4","L/L",573995,923,8381588,"http://stats.ncaa.org/players/8381588?year_stat_category_id=15081"
"28",2024,"Abilene Christian","WAC",1,"25","Beau Leisure","Fr","P",2,0,27,1,3,4,3,2,1,0,10,7,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,"6-4","R/R",573995,923,8381593,"http://stats.ncaa.org/players/8381593?year_stat_category_id=15081"
"29",2024,"Abilene Christian","WAC",1,"21","OJ Gonzalez","Fr","P",3,0,5.4,5,4,3,3,5,7,0,25,19,0,0,0,2,1,1,0,1,0,0,0,34,3,5,0,0,0,4,"6-0","R/R",573995,923,8381575,"http://stats.ncaa.org/players/8381575?year_stat_category_id=15081"
"30",2024,"Abilene Christian","WAC",1,"37","Chandler Benson","Jr","P",15,0,8.36,28,41,27,26,11,22,0,141,126,3,0,0,7,4,2,0,5,4,1,1,412,35,26,2,0,1,10,"5-11","L/L",573995,923,8381495,"http://stats.ncaa.org/players/8381495?year_stat_category_id=15081"
"31",2024,"Abilene Christian","WAC",1,"43","Nolan Foster","Fr","P",5,0,16.62,4.1,6,8,8,6,8,0,24,17,0,0,0,2,1,0,0,1,0,0,1,94,1,3,0,0,0,1,"6-2","R/R",573995,923,8381528,"http://stats.ncaa.org/players/8381528?year_stat_category_id=15081"
