year,team_name,conference,division,Jersey,player_name,Yr,Pos,App,GS,ERA,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,Ht,B/T,team_id,conference_id,player_url,player_id.1,player_id.2,player_id
2022,Millsaps,SAA,3.0,29.0,Connor Ladner,Fr,INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,R/R,527212.0,30169.0,http://stats.ncaa.org/players/7559301?year_stat_category_id=14941,,,7559301?year_stat_category_id=14941
2022,Oglethorpe,SAA,3.0,18.0,Connor Ledet,Jr,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,527011.0,30169.0,http://stats.ncaa.org/players/7335725?year_stat_category_id=14941,,,7335725?year_stat_category_id=14941
2022,Pacific Lutheran,NWC,3.0,3.0,Connor Lemma,Sr,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,526996.0,25300.0,http://stats.ncaa.org/players/7350189?year_stat_category_id=14941,,,7350189?year_stat_category_id=14941
2022,SUNY Cobleskill,North Atlantic,3.0,15.0,Connor Mann,Jr,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-10,R/R,527069.0,30026.0,http://stats.ncaa.org/players/7341147?year_stat_category_id=14941,,,7341147?year_stat_category_id=14941
2022,SUNY Poly,North Atlantic,3.0,12.0,Connor Marcello,Fr,P,5.0,0.0,7.3,12.1,13.0,11.0,10.0,7.0,8.0,0.0,59.0,49.0,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,228.0,11.0,16.0,1.0,2.0,0.0,4.0,6-0,R/R,527027.0,30026.0,http://stats.ncaa.org/players/7590504?year_stat_category_id=14941,,,7590504?year_stat_category_id=14941
2022,Misericordia,MAC Freedom,3.0,15.0,Connor Maryniak,Fr,INF,12.0,1.0,4.82,28.0,26.0,17.0,15.0,6.0,31.0,0.0,116.0,108.0,4.0,1.0,2.0,2.0,6.0,0.0,1.0,7.0,4.0,2.0,0.0,148.0,30.0,22.0,0.0,4.0,3.0,9.0,5-10,R/R,527033.0,28745.0,http://stats.ncaa.org/players/7572905?year_stat_category_id=14941,,,7572905?year_stat_category_id=14941
2022,SUNY Cobleskill,North Atlantic,3.0,30.0,Connor Maxwell,Jr,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6-0,R/R,527069.0,30026.0,http://stats.ncaa.org/players/7355440?year_stat_category_id=14941,,,7355440?year_stat_category_id=14941
2022,Endicott,CCC,3.0,47.0,Connor McDonald,Jr,P,2.0,0.0,0.0,1.1,2.0,1.0,0.0,1.0,1.0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-,,527026.0,839.0,http://stats.ncaa.org/players/7344128?year_stat_category_id=14941,,,7344128?year_stat_category_id=14941
2022,Norwich,Great Northeast,3.0,28.0,Connor McGee,Sr,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,526854.0,23257.0,http://stats.ncaa.org/players/7338187?year_stat_category_id=14941,,,7338187?year_stat_category_id=14941
2022,St. John Fisher,Empire 8,3.0,13.0,Connor McHugh,Jr,P,15.0,11.0,2.1,55.2,34.0,18.0,13.0,28.0,43.0,1.0,234.0,198.0,4.0,1.0,3.0,0.0,5.0,5.0,2.0,0.0,0.0,2.0,1.0,284.0,63.0,53.0,7.0,2.0,0.0,12.0,-,,526886.0,863.0,http://stats.ncaa.org/players/7357468?year_stat_category_id=14941,,,7357468?year_stat_category_id=14941
2022,Marian (WI),NACC,3.0,40.0,Connor Medvecz,So,P,12.0,0.0,6.97,10.1,10.0,8.0,8.0,7.0,7.0,0.0,47.0,39.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,80.0,13.0,8.0,1.0,1.0,1.0,4.0,5-8,R/L,526991.0,30097.0,http://stats.ncaa.org/players/7331880?year_stat_category_id=14941,,,7331880?year_stat_category_id=14941
2022,Muhlenberg,Centennial,3.0,9.0,Connor Mikulski,Sr,OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6-1,R/R,526841.0,9683.0,http://stats.ncaa.org/players/7334266?year_stat_category_id=14941,,,7334266?year_stat_category_id=14941
2022,Denison,NCAC,3.0,15.0,Connor Miller,Fr,INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-11,R/R,527139.0,897.0,http://stats.ncaa.org/players/7564348?year_stat_category_id=14941,,,7564348?year_stat_category_id=14941
2022,Va. Wesleyan,ODAC,3.0,26.0,Connor Mock,Fr,P,17.0,4.0,8.54,32.2,40.0,33.0,31.0,19.0,21.0,0.0,167.0,129.0,6.0,0.0,0.0,4.0,3.0,10.0,0.0,0.0,0.0,4.0,5.0,598.0,37.0,38.0,1.0,3.0,0.0,7.0,5-8,L/L,526923.0,903.0,http://stats.ncaa.org/players/7561448?year_stat_category_id=14941,,,7561448?year_stat_category_id=14941
2022,Chapman,SCIAC,3.0,29.0,Connor Montgomery,So,OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,527123.0,910.0,http://stats.ncaa.org/players/7332970?year_stat_category_id=14941,,,7332970?year_stat_category_id=14941
2022,Fitchburg St.,MASCAC,3.0,29.0,Connor Morehouse,Sr,C,1.0,1.0,27.0,0.1,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,527155.0,870.0,http://stats.ncaa.org/players/7559675?year_stat_category_id=14941,,,7559675?year_stat_category_id=14941
2022,Wilkes,MAC Freedom,3.0,21.0,Connor Morgan,Fr,OF,1.0,0.0,22.5,2.0,5.0,5.0,5.0,1.0,1.0,0.0,12.0,11.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,3.0,0.0,0.0,0.0,1.0,-,R/R,526944.0,28745.0,http://stats.ncaa.org/players/7578095?year_stat_category_id=14941,,,7578095?year_stat_category_id=14941
2022,New England Col.,NECC,3.0,35.0,Connor Morin,Sr,1B,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,-,,526844.0,888.0,http://stats.ncaa.org/players/7561718?year_stat_category_id=14941,,,7561718?year_stat_category_id=14941
2022,Carroll (WI),CCIW,3.0,28.0,Connor Nolen,So,INF,19.0,0.0,1.5,18.0,9.0,4.0,3.0,12.0,32.0,0.0,76.0,61.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0,1.0,1.0,285.0,8.0,11.0,2.0,1.0,4.0,8.0,6-3,L/R,527115.0,836.0,http://stats.ncaa.org/players/7331503?year_stat_category_id=14941,,,7331503?year_stat_category_id=14941
2022,Geneva,PAC,3.0,15.0,Connor O'Brien,Fr,P,3.0,0.0,11.81,5.1,16.0,8.0,7.0,3.0,2.0,0.0,36.0,33.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,72.0,6.0,7.0,0.0,0.0,0.0,1.0,-,,527070.0,907.0,http://stats.ncaa.org/players/7540246?year_stat_category_id=14941,,,7540246?year_stat_category_id=14941
2022,Whitworth,NWC,3.0,16.0,Connor O'Brien,Sr,INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6-2,R/R,527007.0,25300.0,http://stats.ncaa.org/players/7336293?year_stat_category_id=14941,,,7336293?year_stat_category_id=14941
