year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,RBI2out,Ht,B/T,team_id,conference_id,player_url,player_id.1,player_id.2,player_id
2023,Austin,SCAC,3.0,45.0,A. Jezek,,rf,6.0,2.0,0.2,0.333,0.3,0.0,10.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,548690.0,835.0,http://stats.ncaa.org/players/8019378?year_stat_category_id=15000,,,
2023,Centenary (NJ),Atlantic East,3.0,9.0,A. Pitshone,So,p,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,548758.0,30233.0,http://stats.ncaa.org/players/8015771?year_stat_category_id=15000,,,
2023,Elms,Great Northeast,3.0,11.0,A.J. Cook,Jr,INF,39.0,38.0,0.358,0.514,0.482,54.0,137.0,49.0,7.0,5.0,66.0,0.0,30.0,35.0,11.0,2.0,1.0,31.0,0.0,2.0,1.0,29.0,0.0,0.0,-,,548593.0,23257.0,http://stats.ncaa.org/players/7811510?year_stat_category_id=15000,,,
2023,Valley Forge,CSAC,3.0,3.0,A.J. Costantini,Fr,OF,29.0,23.0,0.145,0.283,0.145,9.0,76.0,11.0,0.0,0.0,11.0,0.0,11.0,9.0,6.0,1.0,2.0,20.0,1.0,3.0,0.0,7.0,0.0,0.0,-,,548802.0,21062.0,http://stats.ncaa.org/players/8016304?year_stat_category_id=15000,,,
2023,Mary Washington,C2C,3.0,30.0,A.J. Johnson,Fr,INF,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,548924.0,15810.0,http://stats.ncaa.org/players/8002089?year_stat_category_id=15000,,,
2023,St. Norbert,NACC,3.0,23.0,A.J. Kisting,So,C,4.0,4.0,0.1,0.182,0.1,1.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-,R/R,548621.0,30097.0,http://stats.ncaa.org/players/7812382?year_stat_category_id=15000,,,
2023,MSOE,NACC,3.0,13.0,A.J. Lee,Fr,UT,21.0,10.0,0.333,0.365,0.429,5.0,42.0,14.0,1.0,0.0,18.0,1.0,14.0,4.0,1.0,5.0,1.0,12.0,1.0,1.0,0.0,3.0,1.0,0.0,-,,548762.0,30097.0,http://stats.ncaa.org/players/8017450?year_stat_category_id=15000,,,
2023,Occidental,SCIAC,3.0,10.0,A.J. Naha,Jr,C,22.0,13.0,0.114,0.25,0.136,3.0,44.0,5.0,1.0,0.0,6.0,0.0,2.0,4.0,4.0,0.0,2.0,11.0,0.0,1.0,1.0,2.0,0.0,0.0,6-2,R/R,548585.0,910.0,http://stats.ncaa.org/players/7811304?year_stat_category_id=15000,,,
2023,Mass. Maritime,MASCAC,3.0,17.0,A.J. Pietrafesa,Jr,C,40.0,39.0,0.289,0.359,0.333,15.0,135.0,39.0,4.0,1.0,45.0,0.0,25.0,10.0,7.0,4.0,6.0,25.0,4.0,0.0,0.0,2.0,0.0,0.0,5-10,,548929.0,870.0,http://stats.ncaa.org/players/7821759?year_stat_category_id=15000,,,
2023,Susquehanna,Landmark,3.0,47.0,A.J. Sferlazza,So,OF,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5-8,L/L,548638.0,30101.0,http://stats.ncaa.org/players/7812937?year_stat_category_id=15000,,,
2023,Berea,CCS,3.0,21.0,A.J. Wylie,So,UT,31.0,26.0,0.236,0.32,0.371,21.0,89.0,21.0,4.0,1.0,33.0,2.0,4.0,10.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,9.0,0.0,0.0,5-7,,548804.0,30251.0,http://stats.ncaa.org/players/7817965?year_stat_category_id=15000,,,
2023,Amherst,NESCAC,3.0,51.0,A.J. Zaccareo,So,UT,4.0,0.0,0.333,0.5,0.333,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6-4,R/R,548813.0,12817.0,http://stats.ncaa.org/players/7818263?year_stat_category_id=15000,,,
2023,Yeshiva,Skyline,3.0,2.0,A.J. Zimbalist,So,OF,12.0,3.0,0.1,0.25,0.1,1.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,5-11,R/R,548686.0,13054.0,http://stats.ncaa.org/players/8010459?year_stat_category_id=15000,,,
2023,Wentworth,CCC,3.0,3.0,A.T. DiPina,Jr,C,25.0,25.0,0.275,0.353,0.407,11.0,91.0,25.0,6.0,0.0,37.0,2.0,18.0,8.0,3.0,0.0,0.0,23.0,0.0,1.0,1.0,4.0,0.0,0.0,5-7,R/R,548660.0,839.0,http://stats.ncaa.org/players/7813581?year_stat_category_id=15000,,,
2023,MSOE,NACC,3.0,11.0,Aagam Shah,Fr,P,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,548762.0,30097.0,http://stats.ncaa.org/players/8046651?year_stat_category_id=15000,,,
