"year","team_name","conference","division","Jersey","player_name","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","IBB","RBI2out","Ht","B/T","team_id","conference_id","player_id","player_url"
2025,"AUM","Gulf South",2,"1","Ryan Revera","Jr","C",4,3,0.2,0.273,0.2,1,10,2,0,0,2,0,2,1,0,0,0,3,0,1,0,0,0,0,"-","R/R",596813,858,9211936,"http://stats.ncaa.org/players/9211936"
2025,"AUM","Gulf South",2,"26","Payte Williams","Sr","P",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-1","R/R",596813,858,8880873,"http://stats.ncaa.org/players/8880873"
2025,"AUM","Gulf South",2,"25","Cole Strachan","Sr","UT",14,13,0.212,0.333,0.365,10,52,11,5,0,19,1,8,5,5,1,0,10,1,0,0,2,0,0,"6-0","R/R",596813,858,8878855,"http://stats.ncaa.org/players/8878855"
2025,"AUM","Gulf South",2,"2","Tyrese Rooks","Sr","OF",16,16,0.362,0.457,0.522,12,69,25,4,2,36,1,10,8,4,0,1,9,1,0,3,4,0,0,"5-8","L/L",596813,858,8887120,"http://stats.ncaa.org/players/8887120"
2025,"AUM","Gulf South",2,"8","Hayden Grier","Sr","C",11,10,0.243,0.396,0.324,6,37,9,3,0,12,0,5,5,5,1,0,4,2,0,0,0,0,0,"5-10","R/R",596813,858,8880050,"http://stats.ncaa.org/players/8880050"
2025,"AUM","Gulf South",2,"30","Ryan Slaten","Sr","P",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-5","R/R",596813,858,8876068,"http://stats.ncaa.org/players/8876068"
2025,"AUM","Gulf South",2,"27","Jayce James","Sr","P",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-1","L/L",596813,858,8882267,"http://stats.ncaa.org/players/8882267"
2025,"AUM","Gulf South",2,"11","Chance Sweeney","Fr","OF",7,1,0,0.167,0,2,5,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,"-","R/L",596813,858,9211940,"http://stats.ncaa.org/players/9211940"
2025,"AUM","Gulf South",2,"28","Tyson Tubbs","Jr","P",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","L/R",596813,858,9211952,"http://stats.ncaa.org/players/9211952"
2025,"AUM","Gulf South",2,"22","RH Frankland","Sr","OF",11,8,0.1,0.289,0.133,4,30,3,1,0,4,0,3,7,1,0,0,9,1,0,0,0,0,0,"6-1","L/L",596813,858,8881692,"http://stats.ncaa.org/players/8881692"
