year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,RBI2out,Ht,B/T,team_id,conference_id,player_url,player_id.1,player_id.2,player_id
2024,Minn.-Morris,UMAC,3.0,0.0,A 7Goedhard,,ph,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574634.0,30115.0,http://stats.ncaa.org/players/8686924?year_stat_category_id=15080,,,8686924
2024,Carthage,CCIW,3.0,9.0,A. Boyle,,p,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574755.0,836.0,http://stats.ncaa.org/players/8681295?year_stat_category_id=15080,,,8681295
2024,Manhattanville,Skyline,3.0,59.0,A. Enjem,Fr,2b,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574837.0,13054.0,http://stats.ncaa.org/players/8686421?year_stat_category_id=15080,,,8686421
2024,Fontbonne,SLIAC,3.0,26.0,A. Fischer,Fr,p,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574670.0,12974.0,http://stats.ncaa.org/players/8588048?year_stat_category_id=15080,,,8588048
2024,Penn St. Harrisburg,United East,3.0,39.0,A. Flores,,c,5.0,2.0,0.286,0.286,0.429,1.0,7.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574708.0,30071.0,http://stats.ncaa.org/players/8683192?year_stat_category_id=15080,,,8683192
2024,Coe,American Rivers,3.0,6.0,A. Gomez,Fr,dh,38.0,27.0,0.24,0.336,0.333,19.0,96.0,23.0,2.0,2.0,32.0,1.0,16.0,12.0,2.0,0.0,2.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,-,,574768.0,864.0,http://stats.ncaa.org/players/8596684?year_stat_category_id=15080,,,d3d-8596684
2024,Adrian,Michigan Intercol. Ath. Assn.,3.0,34.0,A. Horwath,,p,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574722.0,873.0,http://stats.ncaa.org/players/8595836?year_stat_category_id=15080,,,d3d-8595836
2024,Va. Wesleyan,ODAC,3.0,17.0,A. Jackson,,p,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574566.0,903.0,http://stats.ncaa.org/players/8678810?year_stat_category_id=15080,,,d3d-8678810
2024,Oswego St.,SUNYAC,3.0,17.0,A. Kerr,,p,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574506.0,917.0,http://stats.ncaa.org/players/8679845?year_stat_category_id=15080,,,8679845
2024,Mass. Maritime,MASCAC,3.0,24.0,A. Marsden,,c,19.0,15.0,0.286,0.483,0.429,7.0,42.0,12.0,1.0,1.0,18.0,1.0,9.0,15.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574844.0,870.0,http://stats.ncaa.org/players/8681995?year_stat_category_id=15080,,,8681995
2024,St. Joseph's (ME),Great Northeast,3.0,4.0,A. Merrifiel,,ph,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574532.0,23257.0,http://stats.ncaa.org/players/8682021?year_stat_category_id=15080,,,8682021
2024,Manhattanville,Skyline,3.0,77.0,A. Mezzaucel,,,21.0,3.0,0.231,0.444,0.308,12.0,13.0,3.0,1.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,-,,574837.0,13054.0,http://stats.ncaa.org/players/8681830?year_stat_category_id=15080,,,d3d-8681830
2024,Simpson,American Rivers,3.0,19.0,A. Parkins,Fr,ph,9.0,1.0,0.143,0.25,0.143,2.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,-,,574544.0,864.0,http://stats.ncaa.org/players/8679647?year_stat_category_id=15080,,,8679647
2024,Yeshiva,Skyline,3.0,12.0,A. Perl,,rf,14.0,14.0,0.286,0.359,0.286,2.0,35.0,10.0,0.0,0.0,10.0,0.0,3.0,3.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,-,,574601.0,13054.0,http://stats.ncaa.org/players/8684928?year_stat_category_id=15080,,,8684928
2024,Manhattanville,Skyline,3.0,58.0,A. Peterson,,pr,9.0,6.0,0.231,0.5,0.231,3.0,13.0,3.0,0.0,0.0,3.0,0.0,1.0,5.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,-,,574837.0,13054.0,http://stats.ncaa.org/players/8683201?year_stat_category_id=15080,,,8683201
2024,Centenary (NJ),Atlantic East,3.0,9.0,A. Pitshone,Jr,p,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574673.0,30233.0,http://stats.ncaa.org/players/8276082?year_stat_category_id=15080,,,d3d-8015771
2024,Capital,OAC,3.0,23.0,A. Rocco,,ph,8.0,2.0,0.154,0.267,0.462,3.0,13.0,2.0,1.0,0.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574752.0,901.0,http://stats.ncaa.org/players/8681821?year_stat_category_id=15080,,,8681821
2024,St. Joseph's (ME),Great Northeast,3.0,41.0,A. Sayers,,p,7.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,574532.0,23257.0,http://stats.ncaa.org/players/8682133?year_stat_category_id=15080,,,d3d-8682133
