Unnamed: 0,year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,RBI2out,Ht,B/T,team_id,conference_id,player_id,player_url
20,2021,A&M-Corpus Christi,Southland,1,9,Dom Lopez,Fr,P,11,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508948,914,6899531,http://stats.ncaa.org/players/6899531?year_stat_category_id=14840
21,2021,A&M-Corpus Christi,Southland,1,36,Tyler Miller,So,P,17,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508948,914,6899532,http://stats.ncaa.org/players/6899532?year_stat_category_id=14840
22,2021,A&M-Corpus Christi,Southland,1,13,Josh Caraway,Fr,C,45,42,0.287,0.377,0.553,32,150,43,14,4,83,6,27,15,8,2,0,53,3,1,1,4,0,0,,,508948,914,7118058,http://stats.ncaa.org/players/7118058?year_stat_category_id=14840
23,2021,A&M-Corpus Christi,Southland,1,18,Leo Markotic,So,2B,48,41,0.257,0.344,0.336,15,140,36,6,1,47,1,19,14,6,3,3,39,7,1,1,5,0,0,,,508948,914,7118060,http://stats.ncaa.org/players/7118060?year_stat_category_id=14840
24,2021,A&M-Corpus Christi,Southland,1,10,Brendan Ryan,So,INF,45,39,0.305,0.388,0.461,27,141,43,5,4,65,3,19,14,5,0,0,31,1,3,0,6,1,0,,,508948,914,7118055,http://stats.ncaa.org/players/7118055?year_stat_category_id=14840
25,2021,A&M-Corpus Christi,Southland,1,1,Itchy Burts,Sr,OF,54,54,0.285,0.347,0.386,30,207,59,10,1,80,3,33,19,4,6,3,34,3,8,1,13,4,0,,,508948,914,7118049,http://stats.ncaa.org/players/7118049?year_stat_category_id=14840
26,2021,A&M-Corpus Christi,Southland,1,2,Luke Marbach,Sr,1B,44,43,0.301,0.415,0.51,37,153,46,9,1,78,7,28,20,12,3,0,17,0,2,0,11,0,0,,,508948,914,7118050,http://stats.ncaa.org/players/7118050?year_stat_category_id=14840
27,2021,A&M-Corpus Christi,Southland,1,41,Nick Mueller,Fr,OF,13,7,0.118,0.444,0.294,6,17,2,0,0,5,1,3,10,0,0,0,7,1,0,0,0,0,0,,,508948,914,7118111,http://stats.ncaa.org/players/7118111?year_stat_category_id=14840
28,2021,A&M-Corpus Christi,Southland,1,35,Sebastian Mejia,Fr,P,5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508948,914,7118099,http://stats.ncaa.org/players/7118099?year_stat_category_id=14840
29,2021,A&M-Corpus Christi,Southland,1,28,Tyler Byrd,Fr,C,23,12,0.244,0.392,0.317,5,41,10,0,0,13,1,2,9,1,0,0,17,0,0,0,0,0,0,,,508948,914,7118077,http://stats.ncaa.org/players/7118077?year_stat_category_id=14840
30,2021,A&M-Corpus Christi,Southland,1,44,Trevor Davis,So,OF,6,2,0.0,0.375,0.0,0,5,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,,,508948,914,7118134,http://stats.ncaa.org/players/7118134?year_stat_category_id=14840
31,2021,A&M-Corpus Christi,Southland,1,29,Colin Purcell,Fr,P,9,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508948,914,7118079,http://stats.ncaa.org/players/7118079?year_stat_category_id=14840
32,2021,A&M-Corpus Christi,Southland,1,30,Nick Urbantke,Sr,P,12,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508948,914,7118081,http://stats.ncaa.org/players/7118081?year_stat_category_id=14840
33,2021,A&M-Corpus Christi,Southland,1,5,Cole Fluta,Sr,INF,37,36,0.234,0.317,0.271,14,107,25,4,0,29,0,12,9,4,0,4,15,1,0,0,0,0,0,,,508948,914,7118054,http://stats.ncaa.org/players/7118054?year_stat_category_id=14840
34,2021,A&M-Corpus Christi,Southland,1,16,Scott Hastings,Sr,1B,32,20,0.224,0.299,0.276,7,76,17,4,0,21,0,14,5,4,2,1,13,6,2,1,0,1,0,,,508948,914,7118059,http://stats.ncaa.org/players/7118059?year_stat_category_id=14840
35,2021,A&M-Corpus Christi,Southland,1,24,Mike Williams,Sr,OF,49,48,0.324,0.365,0.465,26,185,60,6,1,86,6,37,11,2,2,1,39,4,3,1,6,3,0,,,508948,914,7118063,http://stats.ncaa.org/players/7118063?year_stat_category_id=14840
