"year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
2025,"AUM","Gulf South",2,"26","Payte Williams","Sr","P",4,4,4.5,16,17,12,8,9,20,0,80,67,3,0,0,4,3,4,0,0,0,0,0,242,12,15,1,3,0,8,"6-1","R/R",596813,858,8880873,"http://stats.ncaa.org/players/8880873"
2025,"AUM","Gulf South",2,"30","Ryan Slaten","Sr","P",3,1,12.6,5,11,9,7,3,2,0,29,25,2,0,0,2,0,0,0,0,0,0,1,77,7,5,0,1,0,1,"6-5","R/R",596813,858,8876068,"http://stats.ncaa.org/players/8876068"
2025,"AUM","Gulf South",2,"27","Jayce James","Sr","P",3,1,12.46,4.1,6,6,6,7,1,0,26,17,0,0,0,0,2,2,0,0,0,0,0,61,4,6,0,1,0,0,"6-1","L/L",596813,858,8882267,"http://stats.ncaa.org/players/8882267"
2025,"AUM","Gulf South",2,"28","Tyson Tubbs","Jr","P",4,0,27,2,7,8,6,2,1,0,17,13,1,0,0,1,1,1,0,1,1,0,1,67,2,3,0,1,0,1,"-","L/R",596813,858,9211952,"http://stats.ncaa.org/players/9211952"
2025,"AUM","Gulf South",2,"39","Clay Slagle","Sr","P",5,5,5.88,26,29,17,17,11,26,0,117,101,2,0,1,4,1,3,1,0,0,0,2,322,16,32,1,1,0,9,"6-2","R/R",596813,858,8897279,"http://stats.ncaa.org/players/8897279"
2025,"AUM","Gulf South",2,"3","Lucas Baggett","Jr","P",7,0,3.55,12.2,12,5,5,5,6,0,56,48,0,1,0,1,1,3,1,10,0,0,0,141,7,22,1,0,0,0,"5-10","R/R",596813,858,8897513,"http://stats.ncaa.org/players/8897513"
2025,"AUM","Gulf South",2,"33","Carter Borden","Jr","P",4,0,6.23,4.1,7,3,3,5,4,0,23,18,2,0,0,1,0,0,0,1,1,0,0,92,2,5,0,0,0,2,"-","R/L",596813,858,9211955,"http://stats.ncaa.org/players/9211955"
2025,"AUM","Gulf South",2,"35","Sellers Neuendorf","Fr","P",3,0,8.44,5.1,8,5,5,1,3,0,27,22,2,0,0,0,0,4,0,2,0,0,0,72,4,7,0,0,0,1,"-","R/R",596813,858,9211957,"http://stats.ncaa.org/players/9211957"
2025,"AUM","Gulf South",2,"38","Charlie Bagwell","Jr","P",4,0,0.96,9.1,4,1,1,3,5,0,38,30,2,0,0,0,1,4,0,0,0,1,0,91,14,7,0,0,0,2,"-","R/R",596813,858,9211960,"http://stats.ncaa.org/players/9211960"
2025,"AUM","Gulf South",2,"37","Heath Henley","Fr","P",4,0,7.5,6,10,5,5,2,2,0,31,27,2,1,0,0,1,1,0,6,4,1,0,92,9,7,0,0,0,2,"-","R/R",596813,858,9211959,"http://stats.ncaa.org/players/9211959"
