Unnamed: 0,year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,RBI2out,Ht,B/T,team_id,conference_id,player_id,player_url
1,2022,A&M-Corpus Christi,Southland,1,27,Sean Sieve,So,p,11,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-3,,526333,914,7593870,http://stats.ncaa.org/players/7593870?year_stat_category_id=14940
2,2022,A&M-Corpus Christi,Southland,1,32,Justin Lewis,Jr,P,4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7357161,http://stats.ncaa.org/players/7357161?year_stat_category_id=14940
3,2022,A&M-Corpus Christi,Southland,1,4,Diego Johnson,So,3B,27,26,0.308,0.4,0.364,18,107,33,4,1,39,0,17,14,3,1,0,13,3,0,0,1,0,0,-,,526333,914,7353530,http://stats.ncaa.org/players/7353530?year_stat_category_id=14940
4,2022,A&M-Corpus Christi,Southland,1,39,Brandon Petkoff,So,OF,38,32,0.31,0.449,0.552,24,116,36,3,2,64,7,29,23,7,1,0,24,2,0,1,2,0,0,-,,526333,914,7357761,http://stats.ncaa.org/players/7357761?year_stat_category_id=14940
5,2022,A&M-Corpus Christi,Southland,1,3,Tre Jones,So,OF,45,37,0.354,0.441,0.743,40,144,51,15,4,107,11,37,23,1,2,1,48,2,0,1,6,0,0,6-4,L/L,526333,914,7332659,http://stats.ncaa.org/players/7332659?year_stat_category_id=14940
6,2022,A&M-Corpus Christi,Southland,1,26,Dylan Johnson,So,P,5,2,0.0,0.143,0.0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-,,526333,914,7332674,http://stats.ncaa.org/players/7332674?year_stat_category_id=14940
7,2022,A&M-Corpus Christi,Southland,1,44,Trevor Davis,Jr,OF,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-5,R/R,526333,914,7341434,http://stats.ncaa.org/players/7341434?year_stat_category_id=14940
8,2022,A&M-Corpus Christi,Southland,1,10,Brendan Ryan,Jr,OF,42,41,0.327,0.433,0.528,41,159,52,13,2,84,5,26,14,18,3,0,22,3,1,4,25,3,0,-,,526333,914,7333967,http://stats.ncaa.org/players/7333967?year_stat_category_id=14940
9,2022,A&M-Corpus Christi,Southland,1,18,Leo Markotic,Jr,2B,49,49,0.3,0.359,0.437,41,190,57,14,0,83,4,38,18,4,8,0,54,4,3,1,1,0,0,-,,526333,914,7342897,http://stats.ncaa.org/players/7342897?year_stat_category_id=14940
10,2022,A&M-Corpus Christi,Southland,1,2,Nick Mueller,So,OF,6,2,0.143,0.333,0.143,1,7,1,0,0,1,0,0,2,0,0,0,3,0,0,0,2,0,0,6-1,R/R,526333,914,7347876,http://stats.ncaa.org/players/7347876?year_stat_category_id=14940
11,2022,A&M-Corpus Christi,Southland,1,21,Justin Taylor,Jr,C,45,41,0.215,0.299,0.319,23,144,31,9,0,46,2,16,12,6,2,3,55,2,3,0,0,0,0,-,,526333,914,7336558,http://stats.ncaa.org/players/7336558?year_stat_category_id=14940
12,2022,A&M-Corpus Christi,Southland,1,22,Jaime Ramirez Jr.,So,P,16,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7331573,http://stats.ncaa.org/players/7331573?year_stat_category_id=14940
13,2022,A&M-Corpus Christi,Southland,1,7,Henry Bird,Sr,P,13,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7351011,http://stats.ncaa.org/players/7351011?year_stat_category_id=14940
14,2022,A&M-Corpus Christi,Southland,1,35,Sebastian Mejia,So,P,15,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-11,R/R,526333,914,7336813,http://stats.ncaa.org/players/7336813?year_stat_category_id=14940
15,2022,A&M-Corpus Christi,Southland,1,15,Colin Purcell,So,P,15,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7332021,http://stats.ncaa.org/players/7332021?year_stat_category_id=14940
16,2022,A&M-Corpus Christi,Southland,1,34,Hayden Thomas,Jr,P,16,15,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7334714,http://stats.ncaa.org/players/7334714?year_stat_category_id=14940
17,2022,A&M-Corpus Christi,Southland,1,5,Tucker McEnroe,So,SS,22,20,0.273,0.309,0.494,12,77,21,4,2,38,3,18,3,1,0,0,21,4,0,2,0,0,0,6-2,R/R,526333,914,7339897,http://stats.ncaa.org/players/7339897?year_stat_category_id=14940
18,2022,A&M-Corpus Christi,Southland,1,31,Leo Perez,Sr,P,15,11,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7341215,http://stats.ncaa.org/players/7341215?year_stat_category_id=14940
19,2022,A&M-Corpus Christi,Southland,1,23,Nate White,So,2B,36,19,0.271,0.37,0.429,15,70,19,2,0,30,3,18,10,1,0,0,16,2,1,0,0,0,0,-,,526333,914,7346057,http://stats.ncaa.org/players/7346057?year_stat_category_id=14940
20,2022,A&M-Corpus Christi,Southland,1,38,Wesley Mitchell,So,3B,24,10,0.224,0.283,0.388,9,49,11,2,0,19,2,8,4,0,0,0,21,1,0,0,0,0,0,-,,526333,914,7348704,http://stats.ncaa.org/players/7348704?year_stat_category_id=14940
21,2022,A&M-Corpus Christi,Southland,1,9,Dom Lopez,So,P,8,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7331016,http://stats.ncaa.org/players/7331016?year_stat_category_id=14940
22,2022,A&M-Corpus Christi,Southland,1,40,Caden Queck,So,OF,10,1,0.111,0.333,0.444,1,9,1,0,0,4,1,3,3,0,0,0,7,0,0,0,0,0,0,-,,526333,914,7347383,http://stats.ncaa.org/players/7347383?year_stat_category_id=14940
23,2022,A&M-Corpus Christi,Southland,1,6,JT Moeller,So,P,19,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-1,,526333,914,7340142,http://stats.ncaa.org/players/7340142?year_stat_category_id=14940
24,2022,A&M-Corpus Christi,Southland,1,33,Daniel Nelson,Sr,P,15,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7350191,http://stats.ncaa.org/players/7350191?year_stat_category_id=14940
25,2022,A&M-Corpus Christi,Southland,1,36,Tyler Miller,Jr,P,14,5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7341338,http://stats.ncaa.org/players/7341338?year_stat_category_id=14940
26,2022,A&M-Corpus Christi,Southland,1,13,Josh Caraway,So,C,53,53,0.268,0.43,0.519,47,183,49,6,5,95,10,41,32,23,4,0,62,1,4,2,3,0,0,-,,526333,914,7342645,http://stats.ncaa.org/players/7342645?year_stat_category_id=14940
27,2022,A&M-Corpus Christi,Southland,1,24,Cassius Shy,Sr,P,19,9,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7336303,http://stats.ncaa.org/players/7336303?year_stat_category_id=14940
28,2022,A&M-Corpus Christi,Southland,1,17,Marco Gutierrez,Fr,P,11,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7547522,http://stats.ncaa.org/players/7547522?year_stat_category_id=14940
