Unnamed: 0,year,team_name,conference,division,Jersey,player_name,Yr,Pos,App,GS,ERA,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,Ht,B/T,team_id,conference_id,player_url,player_id
1,2024,AUM,Gulf South,2,28,Luke Turner,Sr,P,16,13,6.75,66.2,88,56,50,25,50,0,314,272,14,5,3,9,7,12,0,0,0,4,1,937,68,66,2,3,0,17,6-1,R/R,574326,858,http://stats.ncaa.org/players/8273813?year_stat_category_id=15081,8273813.0
2,2024,AUM,Gulf South,2,5,Brett Pitts,Sr,UT,19,0,2.44,44.1,44,15,12,16,45,0,194,162,4,1,0,3,2,9,1,1,0,4,3,584,43,34,3,1,3,15,5-11,R/R,574326,858,http://stats.ncaa.org/players/8267151?year_stat_category_id=15081,8267151.0
3,2024,AUM,Gulf South,2,3,Lucas Baggett,So,P,11,0,0.73,12.1,9,8,1,8,7,0,58,47,3,0,0,0,0,1,0,2,0,0,2,213,12,16,4,0,3,2,5-10,R/R,574326,858,http://stats.ncaa.org/players/8268214?year_stat_category_id=15081,8268214.0
4,2024,AUM,Gulf South,2,17,Grant Hickman,Sr,P,14,0,7.08,20.1,16,16,16,20,18,0,97,74,1,0,0,3,3,3,2,5,3,0,0,280,18,20,1,1,3,6,6-1,R/R,574326,858,http://stats.ncaa.org/players/8273312?year_stat_category_id=15081,8273312.0
5,2024,AUM,Gulf South,2,24,Clayton Weatherly,Sr,P,4,0,0.0,3.2,2,0,0,2,5,0,16,14,2,0,0,0,0,0,0,0,0,0,0,67,2,3,0,0,0,0,6-3,R/R,574326,858,http://stats.ncaa.org/players/8262983?year_stat_category_id=15081,8262983.0
6,2024,AUM,Gulf South,2,33,Michael Myers,Sr,P,24,0,7.15,39.0,54,33,31,3,25,0,179,164,9,0,0,7,1,7,1,10,7,1,4,432,37,51,5,1,0,6,5-8,R/R,574326,858,http://stats.ncaa.org/players/8279381?year_stat_category_id=15081,8279381.0
7,2024,AUM,Gulf South,2,39,Clay Slagle,Jr,P,16,14,5.59,67.2,82,50,42,20,57,0,310,279,17,2,0,13,1,5,0,2,1,3,3,0,58,84,7,3,0,19,6-2,R/R,574326,858,http://stats.ncaa.org/players/8279474?year_stat_category_id=15081,8279474.0
8,2024,AUM,Gulf South,2,37,Carson Beach,So,P,14,3,5.11,24.2,44,23,14,15,18,0,136,110,5,0,0,3,7,7,0,3,2,3,1,437,20,28,0,1,0,4,6-1,R/R,574326,858,http://stats.ncaa.org/players/8286923?year_stat_category_id=15081,8286923.0
9,2024,AUM,Gulf South,2,10,Cody Lee,Fr,UT,13,2,13.75,18.1,32,36,28,23,12,0,117,84,5,1,0,2,7,7,0,4,3,2,1,445,18,22,1,4,0,3,5-10,,574326,858,http://stats.ncaa.org/players/8422623?year_stat_category_id=15081,8422623.0
10,2024,AUM,Gulf South,2,19,Camden Lovrich,Sr,P,4,1,5.79,4.2,5,4,3,6,3,0,26,18,1,0,0,0,6,1,0,0,0,1,0,40,3,8,0,0,0,1,6-0,R/R,574326,858,http://stats.ncaa.org/players/8422632?year_stat_category_id=15081,8422632.0
11,2024,AUM,Gulf South,2,30,Ryan Slaten,Jr,P,18,9,6.14,66.0,75,51,45,26,41,0,304,255,16,1,0,14,3,9,2,1,0,7,7,825,67,82,4,4,1,15,6-5,,574326,858,http://stats.ncaa.org/players/8422645?year_stat_category_id=15081,8422645.0
12,2024,AUM,Gulf South,2,26,Payte Williams,Jr,P,15,13,7.26,65.2,87,57,53,30,41,1,317,274,19,1,0,12,5,5,2,0,0,7,1,0,60,88,4,5,0,9,6-1,,574326,858,http://stats.ncaa.org/players/8422643?year_stat_category_id=15081,8422643.0
13,2024,AUM,Gulf South,2,27,Jayce James,Jr,P,1,1,2.25,4.0,2,1,1,0,3,0,17,14,0,0,0,0,0,3,0,0,0,0,0,57,6,3,0,1,0,1,6-1,,574326,858,http://stats.ncaa.org/players/8422644?year_stat_category_id=15081,8422644.0
14,2024,AUM,Gulf South,2,14,Trey Bacon,Sr,UT,11,0,8.04,15.2,13,15,14,19,15,0,82,57,2,0,0,1,3,3,0,4,2,0,3,310,13,19,1,0,0,3,5-11,R/R,574326,858,http://stats.ncaa.org/players/8422628?year_stat_category_id=15081,8422628.0
15,2024,AUM,Gulf South,2,36,AJ Crocker,Jr,P,6,0,16.88,5.1,8,10,10,9,3,0,33,22,0,0,0,2,4,1,0,0,0,1,0,118,4,8,0,0,0,2,6-0,R/R,574326,858,http://stats.ncaa.org/players/8422647?year_stat_category_id=15081,8422647.0
16,2024,Adams St.,RMAC,2,14,Wilhelm Lorenz,Jr,P,9,0,25.77,7.1,25,25,21,3,3,0,49,45,4,0,1,5,0,1,0,8,6,0,0,148,9,6,0,0,0,1,6-2,R/R,574467,13128,http://stats.ncaa.org/players/8271678?year_stat_category_id=15081,8271678.0
17,2024,Adams St.,RMAC,2,21,Ty Addington,Jr,P,20,0,4.63,23.1,26,13,12,10,19,0,104,87,5,2,0,5,1,3,0,0,0,2,2,370,19,27,0,1,5,4,6-2,L/R,574467,13128,http://stats.ncaa.org/players/8267283?year_stat_category_id=15081,8267283.0
18,2024,Adams St.,RMAC,2,5,Connor Murray,Jr,1B,12,11,10.2,47.2,82,62,54,23,43,0,246,216,17,2,1,11,3,2,0,0,0,2,3,827,48,42,4,5,0,13,5-7,R/R,574467,13128,http://stats.ncaa.org/players/8266139?year_stat_category_id=15081,8266139.0
19,2024,Adams St.,RMAC,2,8,Ayden Tausher,So,OF,3,0,42.43,2.1,12,14,11,2,1,0,24,21,3,1,0,4,0,1,0,0,0,0,0,35,4,2,0,0,0,0,6-1,L/L,574467,13128,http://stats.ncaa.org/players/8270568?year_stat_category_id=15081,8270568.0
20,2024,Adams St.,RMAC,2,4,Joseph Raker,Jr,1B,3,0,6.0,3.0,4,2,2,1,3,0,15,14,0,0,0,1,0,0,0,0,0,0,0,20,3,3,0,0,0,1,5-9,R/R,574467,13128,http://stats.ncaa.org/players/8265146?year_stat_category_id=15081,8265146.0
21,2024,Adams St.,RMAC,2,18,Ray Sifferman,Jr,P,7,0,22.3,7.2,13,20,19,9,3,0,48,38,2,2,0,4,2,1,1,0,0,0,0,126,5,15,0,0,0,0,5-11,L/R,574467,13128,http://stats.ncaa.org/players/8264007?year_stat_category_id=15081,8264007.0
22,2024,Adams St.,RMAC,2,34,CJ Pino,Jr,P,13,0,10.34,15.2,27,18,18,8,12,0,78,69,5,1,0,4,5,1,0,4,0,0,0,220,15,15,1,0,0,0,5-8,R/R,574467,13128,http://stats.ncaa.org/players/8277419?year_stat_category_id=15081,8277419.0
23,2024,Adams St.,RMAC,2,11,Cesar Loma,Sr,P,12,12,5.8,59.0,64,40,38,25,59,0,265,230,13,1,0,10,7,4,0,0,0,6,0,875,56,54,4,4,0,14,5-8,R/R,574467,13128,http://stats.ncaa.org/players/8282176?year_stat_category_id=15081,8282176.0
24,2024,Adams St.,RMAC,2,44,Mike Bathauer,Sr,3B,5,0,9.0,4.0,7,4,4,0,3,0,20,18,2,0,0,0,0,1,0,3,3,1,0,30,9,0,0,1,2,2,6-2,R/R,574467,13128,http://stats.ncaa.org/players/8278555?year_stat_category_id=15081,8278555.0
25,2024,Adams St.,RMAC,2,45,Ricardo Santiago,So,P,6,0,27.0,7.0,20,22,21,3,2,0,47,39,7,1,0,3,0,3,1,0,0,1,1,161,9,9,0,1,0,1,6-1,R/R,574467,13128,http://stats.ncaa.org/players/8281417?year_stat_category_id=15081,8281417.0
26,2024,Adams St.,RMAC,2,37,Phil Carter,Jr,OF,12,12,10.23,53.2,96,72,61,19,46,0,276,245,23,1,1,12,2,4,0,0,0,6,2,785,62,45,3,6,0,15,6-4,R/R,574467,13128,http://stats.ncaa.org/players/8426017?year_stat_category_id=15081,8426017.0
27,2024,Adams St.,RMAC,2,24,Will Cohen,Jr,P,12,2,10.64,22.0,19,27,26,12,18,0,115,84,5,0,0,3,4,18,0,2,2,0,1,396,18,28,1,1,0,7,6-5,R/R,574467,13128,http://stats.ncaa.org/players/8426019?year_stat_category_id=15081,8426019.0
28,2024,Adams St.,RMAC,2,29,Zach Radigan,Jr,P,20,1,5.7,36.1,48,24,23,15,34,0,174,152,10,1,1,4,4,4,0,9,7,1,2,614,39,32,5,1,0,7,6-0,R/R,574467,13128,http://stats.ncaa.org/players/8426025?year_stat_category_id=15081,8426025.0
