"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
"1",2021,"A&M-Corpus Christi","Southland",1,"3","Tre Jones","Fr","OF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,508948,914,6899505,"http://stats.ncaa.org/players/6899505?year_stat_category_id=14841"
"2",2021,"A&M-Corpus Christi","Southland",1,"27","Cassius Shy","Jr","P",18,3,6.09,34,35,31,23,24,29,0,172,133,4,1,0,3,2,9,0,11,5,4,2,633,35,32,0,5,2,10,NA,NA,508948,914,6899506,"http://stats.ncaa.org/players/6899506?year_stat_category_id=14841"
"3",2021,"A&M-Corpus Christi","Southland",1,"15","Tristan Welch","Jr","OF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,508948,914,6899507,"http://stats.ncaa.org/players/6899507?year_stat_category_id=14841"
"4",2021,"A&M-Corpus Christi","Southland",1,"22","Jaime Ramirez Jr.","Fr","P",17,3,4.27,52.2,44,27,25,28,51,0,224,194,10,2,1,5,2,1,0,13,5,1,0,879,49,47,7,2,1,16,NA,NA,508948,914,6899508,"http://stats.ncaa.org/players/6899508?year_stat_category_id=14841"
"5",2021,"A&M-Corpus Christi","Southland",1,"4","Diego Johnson","Fr","INF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,508948,914,6899511,"http://stats.ncaa.org/players/6899511?year_stat_category_id=14841"
"6",2021,"A&M-Corpus Christi","Southland",1,"26","Dylan Johnson","Fr","P",14,5,6.2,20.1,24,16,14,13,14,0,99,80,4,0,0,4,1,5,0,7,4,1,0,385,21,21,0,2,0,6,NA,NA,508948,914,6899512,"http://stats.ncaa.org/players/6899512?year_stat_category_id=14841"
"7",2021,"A&M-Corpus Christi","Southland",1,"20","Bryce Balusek","Fr","INF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,508948,914,6899513,"http://stats.ncaa.org/players/6899513?year_stat_category_id=14841"
"8",2021,"A&M-Corpus Christi","Southland",1,"32","Justin Lewis","So","P",4,0,23.14,2.1,6,6,6,6,4,0,20,13,2,0,0,0,0,1,0,6,6,0,0,80,0,3,0,0,0,0,NA,NA,508948,914,6899514,"http://stats.ncaa.org/players/6899514?year_stat_category_id=14841"
"9",2021,"A&M-Corpus Christi","Southland",1,"23","Nate White","Fr","INF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,508948,914,6899515,"http://stats.ncaa.org/players/6899515?year_stat_category_id=14841"
"10",2021,"A&M-Corpus Christi","Southland",1,"33","Daniel Nelson","Jr","P",11,2,14.4,10,22,20,16,11,11,0,68,54,4,0,0,0,3,3,0,9,3,0,0,219,9,11,0,1,0,5,NA,NA,508948,914,6899516,"http://stats.ncaa.org/players/6899516?year_stat_category_id=14841"
"11",2021,"A&M-Corpus Christi","Southland",1,"25","Nic Hernandez","Fr","P",1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,NA,NA,508948,914,6899517,"http://stats.ncaa.org/players/6899517?year_stat_category_id=14841"
"12",2021,"A&M-Corpus Christi","Southland",1,"7","Henry Bird","Jr","P",15,4,6.75,38.2,40,33,29,19,31,0,177,144,8,2,0,8,2,6,0,9,5,2,6,564,26,55,1,3,1,14,NA,NA,508948,914,6899518,"http://stats.ncaa.org/players/6899518?year_stat_category_id=14841"
"13",2021,"A&M-Corpus Christi","Southland",1,"39","Brandon Petkoff","Fr","OF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,508948,914,6899519,"http://stats.ncaa.org/players/6899519?year_stat_category_id=14841"
"14",2021,"A&M-Corpus Christi","Southland",1,"6","John Gaddis","Jr","P",13,10,2.25,64,42,19,16,18,72,2,256,226,8,0,0,6,5,4,0,1,1,8,0,940,52,63,5,3,0,15,NA,NA,508948,914,6899521,"http://stats.ncaa.org/players/6899521?year_stat_category_id=14841"
"15",2021,"A&M-Corpus Christi","Southland",1,"31","Leo Perez","Jr","P",15,6,6.38,42.1,49,34,30,19,34,0,202,173,11,3,0,4,6,6,0,3,3,3,1,629,51,41,2,4,0,11,NA,NA,508948,914,6899522,"http://stats.ncaa.org/players/6899522?year_stat_category_id=14841"
"16",2021,"A&M-Corpus Christi","Southland",1,"11","Steven Rivera-Chijin","Sr","SS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,508948,914,6899526,"http://stats.ncaa.org/players/6899526?year_stat_category_id=14841"
"17",2021,"A&M-Corpus Christi","Southland",1,"34","Hayden Thomas","So","P",15,14,3.31,81.2,73,41,30,39,94,0,363,308,7,1,2,4,11,10,0,0,0,4,2,0,68,71,4,3,0,33,NA,NA,508948,914,6899527,"http://stats.ncaa.org/players/6899527?year_stat_category_id=14841"
"18",2021,"A&M-Corpus Christi","Southland",1,"17","Mason Hopkins","So","P",7,2,16.62,8.2,21,17,16,4,7,0,53,47,2,0,1,3,0,2,0,1,0,0,0,139,7,11,0,0,0,2,NA,NA,508948,914,6899528,"http://stats.ncaa.org/players/6899528?year_stat_category_id=14841"
"19",2021,"A&M-Corpus Christi","Southland",1,"21","Justin Taylor","So","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,508948,914,6899529,"http://stats.ncaa.org/players/6899529?year_stat_category_id=14841"
"20",2021,"A&M-Corpus Christi","Southland",1,"9","Dom Lopez","Fr","P",11,0,11.7,10,15,13,13,7,10,0,57,42,2,0,0,3,2,4,0,5,2,3,1,233,11,9,0,1,0,2,NA,NA,508948,914,6899531,"http://stats.ncaa.org/players/6899531?year_stat_category_id=14841"
"21",2021,"A&M-Corpus Christi","Southland",1,"36","Tyler Miller","So","P",17,1,3.19,31,26,13,11,12,28,0,129,111,4,0,0,4,2,2,0,24,10,2,2,489,21,38,3,3,0,9,NA,NA,508948,914,6899532,"http://stats.ncaa.org/players/6899532?year_stat_category_id=14841"
